id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2519525779.0,2.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519525777.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519568273.0,1019.0,0.0,0.0,296,0.0,0.0,4.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519568287.0,789.0,0.0,0.0,122,0.0,0.0,4.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519497873.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519500429.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'JerseyNumber', 'TeamFormation', 'TeamPlayerFormation', 'CaptainPlayerId', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,,Sporting,Boavista,
2519525809.0,3.0,0.0,0.0,296,52.815,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,447229.0,43.47,26.792,,,,,,,,,,,79.0,Youssef Chermiti,False,Sporting,Boavista,-0.004268819999999998
,,0.0,0.0,296,43.47,26.792,,,Carry,,,,,408962.0,47.775,26.180000000000003,,,,,,,,,,,15.0,Manuel Ugarte,False,Sporting,Boavista,0.002219519999999999
2519525837.0,4.0,0.0,3.0,296,47.775,26.180000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,408962.0,37.38,3.604,,,,,,,,,,,15.0,Manuel Ugarte,False,Sporting,Boavista,-0.0035833099999999993
2519525855.0,5.0,0.0,6.0,296,36.75,4.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,443663.0,47.67,18.836000000000002,,,,,,,,,,,26.0,Ousmane Diomande,False,Sporting,Boavista,0.0030286099999999993
2519525879.0,6.0,0.0,7.0,296,47.67,18.836000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,408962.0,39.58500000000001,5.644000000000001,,,,,,,,,,,15.0,Manuel Ugarte,False,Sporting,Boavista,-0.0030286099999999993
,,0.0,7.0,296,39.58500000000001,5.644000000000001,,,Carry,,,,,443663.0,39.480000000000004,8.568,,,,,,,,,,,26.0,Ousmane Diomande,False,Sporting,Boavista,0.0
2519525911.0,7.0,0.0,11.0,296,39.480000000000004,8.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,443663.0,32.13,28.220000000000002,,,,,,,,,,,26.0,Ousmane Diomande,False,Sporting,Boavista,-0.00082343
,,0.0,11.0,296,32.13,28.220000000000002,,,Carry,,,,,71268.0,30.240000000000002,30.26,,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Boavista,0.0
2519525955.0,8.0,0.0,13.0,296,30.240000000000002,30.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,71268.0,34.02,13.668000000000003,,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Boavista,-0.0007288600000000013
,,0.0,13.0,296,34.02,13.668000000000003,,,Carry,,,,,443663.0,43.260000000000005,12.648000000000001,,,,,,,,,,,26.0,Ousmane Diomande,False,Sporting,Boavista,0.0015522900000000013
2519525975.0,9.0,0.0,18.0,296,43.260000000000005,12.648000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,443663.0,35.805,32.300000000000004,,,,,,,,,,,26.0,Ousmane Diomande,False,Sporting,Boavista,0.0004792700000000004
2519526009.0,10.0,0.0,20.0,296,35.805,32.300000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,71268.0,47.88,49.232000000000006,,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Boavista,0.0016648199999999991
