id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2548177357.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548177365.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548251741.0,617.0,0.0,0.0,264,0.0,0.0,18.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548251763.0,1109.0,0.0,0.0,296,0.0,0.0,18.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548125883.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition', 'TeamFormation', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548128559.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamFormation', 'JerseyNumber', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Sporting,Maritimo,
2548177401.0,3.0,0.0,0.0,264,52.71000000000001,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,361831.0,28.875,33.388000000000005,,,,,,,,,,,,,False,Sporting,Maritimo,-0.005571519999999998
2548177429.0,4.0,0.0,2.0,264,28.980000000000004,36.448,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,137058.0,38.535000000000004,62.56,,,,,,,,,,,,,False,Sporting,Maritimo,-6.108999999999976e-05
2548177449.0,5.0,0.0,5.0,264,37.905,64.05600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,329366.0,26.040000000000003,58.208,,,,,,,,,,,,,False,Sporting,Maritimo,-0.0018388500000000012
2548177473.0,6.0,0.0,9.0,264,26.145,57.188,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,401126.0,3.57,35.02,,,,,,,,,,,,,False,Sporting,Maritimo,-1.3259999999999314e-05
