id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2513396323.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513396335.0,3.0,0.0,0.0,2188,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513444191.0,757.0,0.0,0.0,2188,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513444345.0,979.0,0.0,0.0,296,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513378459.0,1.0,0.0,0.0,2188,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513378509.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'TeamPlayerFormation', 'TeamFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,Sporting,Estoril,
2513396339.0,3.0,0.0,0.0,296,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,135563.0,48.510000000000005,37.196000000000005,,,,,,,,,20.0,Paulinho,False,Sporting,Estoril,-0.0020492999999999987
2513396345.0,4.0,0.0,3.0,296,47.98500000000001,38.148,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'Length', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,344378.0,40.53,52.156000000000006,,,,,,,,,28.0,Pote,False,Sporting,Estoril,-0.0026987899999999995
,,0.0,3.0,296,40.53,52.156000000000006,,,Carry,,,,,283978.0,46.410000000000004,50.79600000000001,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.0016982100000000003
2513396351.0,5.0,0.0,5.0,296,46.410000000000004,50.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,283978.0,48.405,34.204,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.0005547
,,0.0,5.0,296,48.405,34.204,,,Carry,,,,,409279.0,48.93000000000001,30.124,,,,,,,,,5.0,Hidemasa Morita,False,Sporting,Estoril,0.0
2513396365.0,6.0,0.0,8.0,296,48.93000000000001,30.124,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'Length', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,409279.0,64.89,3.06,,,,,,,,,5.0,Hidemasa Morita,False,Sporting,Estoril,0.0026046199999999967
,,0.0,8.0,296,64.89,3.06,,,Carry,,,,,125211.0,62.160000000000004,3.944,,,,,,,,,19.0,Héctor Bellerín,False,Sporting,Estoril,0.0
2513396377.0,7.0,0.0,12.0,296,62.160000000000004,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Zone', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,125211.0,41.685,7.276,,,,,,,,,19.0,Héctor Bellerín,False,Sporting,Estoril,-0.006187929999999996
2513396395.0,8.0,0.0,15.0,296,40.74,7.684000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,259929.0,37.589999999999996,29.784,,,,,,,,,3.0,Jeremiah St. Juste,False,Sporting,Estoril,0.0013637900000000001
,,0.0,15.0,296,37.589999999999996,29.784,,,Carry,,,,,71268.0,47.98500000000001,35.292,,,,,,,,,4.0,Sebastián Coates,True,Sporting,Estoril,0.002219519999999999
2513396405.0,9.0,0.0,20.0,296,47.98500000000001,35.292,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Angle', 'Zone', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,71268.0,54.705000000000005,55.624,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Estoril,0.0012721500000000014
,,0.0,20.0,296,54.705000000000005,55.624,,,Carry,,,,,283978.0,53.97,54.128,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.0
2513396413.0,10.0,0.0,22.0,296,53.97,54.128,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,283978.0,66.99,64.87200000000001,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.0013324699999999953
,,0.0,22.0,296,66.99,64.87200000000001,,,Carry,,,,,296364.0,62.895,59.43200000000001,,,,,,,,,11.0,Nuno Santos,False,Sporting,Estoril,0.0
2513396419.0,11.0,0.0,24.0,296,62.895,59.43200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,296364.0,52.5,62.83200000000001,,,,,,,,,11.0,Nuno Santos,False,Sporting,Estoril,-0.00622003
2513396429.0,12.0,0.0,26.0,296,53.550000000000004,62.900000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,283978.0,45.36000000000001,44.268,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,-0.0004446799999999994
,,0.0,26.0,296,45.36000000000001,44.268,,,Carry,,,,,71268.0,45.78,41.276,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Estoril,0.0005547
2513396451.0,13.0,0.0,29.0,296,45.78,41.276,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,71268.0,47.67,23.528000000000002,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Estoril,-0.0005547
,,0.0,29.0,296,47.67,23.528000000000002,,,Carry,,,,,259929.0,55.650000000000006,20.672,,,,,,,,,3.0,Jeremiah St. Juste,False,Sporting,Estoril,0.0025646799999999997
2513396469.0,14.0,0.0,33.0,296,55.650000000000006,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,259929.0,74.655,3.06,,,,,,,,,3.0,Jeremiah St. Juste,False,Sporting,Estoril,0.004365330000000001
,,0.0,33.0,296,74.655,3.06,,,Carry,,,,,125211.0,81.9,4.896000000000001,,,,,,,,,19.0,Héctor Bellerín,True,Sporting,Estoril,0.00634183
2513396479.0,15.0,0.0,38.0,296,81.9,4.896000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,125211.0,65.52,10.676,,,,,,,,,19.0,Héctor Bellerín,False,Sporting,Estoril,-0.00885965
,,0.0,38.0,296,65.52,10.676,,,Carry,,,,,259929.0,65.625,12.376000000000001,,,,,,,,,3.0,Jeremiah St. Juste,False,Sporting,Estoril,0.0
2513396511.0,16.0,0.0,41.0,296,65.625,12.376000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,259929.0,59.64,41.208000000000006,,,,,,,,,3.0,Jeremiah St. Juste,False,Sporting,Estoril,-0.0018081900000000012
,,0.0,41.0,296,59.64,41.208000000000006,,,Carry,,,,,283978.0,63.105000000000004,44.676,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.002456040000000003
2513396523.0,17.0,0.0,44.0,296,63.105000000000004,44.676,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'PassEndX', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,283978.0,69.51,48.28,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.0
2513396527.0,18.0,0.0,45.0,296,69.72000000000001,48.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,368409.0,60.58500000000001,47.53200000000001,,,,,,,,,17.0,Trincão,False,Sporting,Estoril,-0.002495360000000002
,,0.0,45.0,296,60.58500000000001,47.53200000000001,,,Carry,,,,,283978.0,66.99,59.364000000000004,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,0.000594639999999997
2513396529.0,4.0,0.0,47.0,2188,45.045,15.912,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']",[55],False,119543.0,,,,,,,,,,,,,,Sporting,Estoril,
2513396535.0,19.0,0.0,47.0,296,59.955000000000005,52.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'StandingSave', 'Offensive', 'OppositeRelatedEvent']","[91, 54]",True,283978.0,,,,,,,,,,,2.0,Matheus Reis,,Sporting,Estoril,
2513396537.0,20.0,0.0,49.0,296,66.99,59.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'PassEndX', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,283978.0,68.355,65.212,,,,,,,,,2.0,Matheus Reis,False,Sporting,Estoril,-0.0012528700000000031
2513396557.0,21.0,0.0,50.0,296,68.355,65.212,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,296364.0,57.54,51.408,,,,,,,,,11.0,Nuno Santos,False,Sporting,Estoril,-0.0013324699999999953
,,0.0,50.0,296,57.54,51.408,,,Carry,,,,,71268.0,60.165,46.376000000000005,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Estoril,0.0007378299999999983
