id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2522646393.0,2.0,0.0,297,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522646385.0,2.0,0.0,288,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522709995.0,874.0,0.0,297,,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522710029.0,905.0,0.0,288,,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522603469.0,1.0,0.0,288,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId', 'PlayerPosition', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522603697.0,1.0,0.0,297,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber', 'PlayerPosition', 'TeamFormation', 'CaptainPlayerId']",[],False,0.0,,,,,,,,,,,,,,Braga,Porto,
2522646403.0,3.0,0.0,297,358801.0,52.605000000000004,34.204,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'StandingSave', 'Length', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,0.0,54.495,32.504,,,,,,,,,9.0,Mehdi Taremi,False,Braga,Porto,0.0
,,0.0,297,120608.0,54.495,32.504,,,Carry,,,,,0.0,55.545,30.464,,,,,,,,,25.0,Otávio,False,Braga,Porto,0.0
2522646443.0,4.0,0.0,297,120608.0,55.545,30.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,1.0,67.41000000000001,7.548,,,,,,,,,25.0,Otávio,False,Braga,Porto,0.000555319999999998
,,0.0,297,384430.0,67.41000000000001,7.548,,,Carry,,,,,1.0,64.05,7.208,,,,,,,,,30.0,Evanilson,False,Braga,Porto,0.0
2522646467.0,5.0,0.0,297,384430.0,64.05,7.208,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,5.0,57.015,8.568,,,,,,,,,30.0,Evanilson,False,Braga,Porto,-0.0013324699999999953
2522646479.0,6.0,0.0,297,422950.0,57.12,7.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,7.0,45.36000000000001,23.256000000000004,,,,,,,,,17.0,Rodrigo Conceição,False,Braga,Porto,-0.0004446799999999994
,,0.0,297,114301.0,45.36000000000001,23.256000000000004,,,Carry,,,,,7.0,46.515,25.432000000000002,,,,,,,,,8.0,Matheus Uribe,False,Braga,Porto,0.0005547
2522646509.0,7.0,0.0,297,114301.0,46.515,25.432000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,10.0,45.885000000000005,49.57200000000001,,,,,,,,,8.0,Matheus Uribe,False,Braga,Porto,0.0
2522646549.0,8.0,0.0,297,28521.0,46.62,50.048,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,15.0,40.53,38.556000000000004,,,,,,,,,5.0,Iván Marcano,False,Braga,Porto,-0.0016648199999999991
2522646583.0,9.0,0.0,297,322771.0,39.165,38.692,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,19.0,46.935,44.268,,,,,,,,,2.0,Fábio Cardoso,False,Braga,Porto,0.0016648199999999991
2522646599.0,10.0,0.0,297,244779.0,46.410000000000004,45.016000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,21.0,39.58500000000001,54.400000000000006,,,,,,,,,16.0,Marko Grujic,False,Braga,Porto,-0.0021440899999999995
,,0.0,297,28521.0,39.58500000000001,54.400000000000006,,,Carry,,,,,21.0,33.915,55.35200000000001,,,,,,,,,5.0,Iván Marcano,False,Braga,Porto,-0.0015522900000000013
2522646611.0,11.0,0.0,297,28521.0,33.915,55.35200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,22.0,14.91,37.944,,,,,,,,,5.0,Iván Marcano,False,Braga,Porto,0.00023232000000000114
2522646631.0,12.0,0.0,297,373842.0,14.805,37.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'Angle', 'StandingSave', 'Length', 'PassEndY', 'Longball']","[91, 120, 128, 36, 37, 216, 218]",True,25.0,66.78,41.412,,,,,,,,,99.0,Diogo Costa,True,Braga,Porto,
2522646643.0,3.0,0.0,288,363935.0,33.705000000000005,28.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'PassEndX', 'HeadPass', 'Zone', 'PassEndY']","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,29.0,40.95,38.284,,,,,,,,,,,False,Braga,Porto,
