id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2465227061.0,2.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465227045.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465251277.0,853.0,0.0,0.0,288,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465251343.0,842.0,0.0,0.0,297,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465180701.0,1.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'JerseyNumber', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465183681.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation', 'CaptainPlayerId', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,,Porto,Braga,
2465227085.0,3.0,0.0,0.0,297,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,384430.0,41.160000000000004,28.900000000000002,,,,,,,,,,,30.0,Evanilson,False,Porto,Braga,-0.004268819999999998
2465227091.0,4.0,0.0,2.0,297,41.160000000000004,28.900000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'Longball', 'Chipped', 'PassEndY', 'Length']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,354146.0,71.19,60.044000000000004,,,,,,,,,,,28.0,Bruno Costa,True,Porto,Braga,0.00859483
,,0.0,2.0,297,71.19,60.044000000000004,,,Carry,,,,,10105.0,75.81,63.308,,,,,,,,,,,3.0,Pepe,False,Porto,Braga,0.0
2465227121.0,5.0,0.0,6.0,297,75.81,63.308,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,10105.0,83.265,43.044000000000004,,,,,,,,,,,3.0,Pepe,True,Porto,Braga,0.007330730000000001
,,0.0,6.0,297,83.265,43.044000000000004,,,Carry,,,,,384430.0,83.37,44.676,,,,,,,,,,,30.0,Evanilson,False,Porto,Braga,0.0
2465227127.0,6.0,0.0,8.0,297,84.84,48.620000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Zone', 'Angle', 'StandingSave', 'PassEndY']","[91, 120, 29, 36, 217, 218]",True,358801.0,85.26,48.620000000000005,,,,,,,,,,,9.0,Mehdi Taremi,False,Porto,Braga,
2465244623.0,423.0,0.0,8.0,297,83.37,44.676,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,384430.0,83.47500000000001,48.620000000000005,,,,,,,,,,,30.0,Evanilson,False,Porto,Braga,0.0
