id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2555133771.0,2.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555133781.0,3.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555225583.0,1074.0,0.0,0.0,297,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555225597.0,673.0,0.0,0.0,107,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555081311.0,1.0,0.0,0.0,297,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555082235.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'TeamFormation', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Porto,Vitoria de Guimaraes,
2555133789.0,3.0,0.0,0.0,297,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,358801.0,54.18000000000001,31.756000000000004,,,,,,,,,,9.0,Mehdi Taremi,False,Porto,Vitoria de Guimaraes,0.0
2555133809.0,4.0,0.0,1.0,297,54.075,31.756000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,120608.0,44.31,27.540000000000003,,,,,,,,,,25.0,Otávio,False,Porto,Vitoria de Guimaraes,-0.0020492999999999987
,,0.0,1.0,297,44.31,27.540000000000003,,,Carry,,,,,114301.0,44.52,29.172,,,,,,,,,,8.0,Matheus Uribe,False,Porto,Vitoria de Guimaraes,0.0
2555133853.0,5.0,0.0,2.0,297,44.52,29.172,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,114301.0,44.31,42.568000000000005,,,,,,,,,,8.0,Matheus Uribe,False,Porto,Vitoria de Guimaraes,0.0
