id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2552618963.0,2.0,0.0,0.0,786,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552618981.0,2.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552687765.0,735.0,0.0,0.0,786,0.0,0.0,15.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552687773.0,963.0,0.0,0.0,121,0.0,0.0,15.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552584817.0,1.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamFormation', 'InvolvedPlayers', 'PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552585483.0,1.0,0.0,0.0,786,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552619007.0,3.0,0.0,0.0,786,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,70735.0,36.75,37.876000000000005,,,,,,,,,,,,,False,Pacos de Ferreira,Rio Ave,-0.004268819999999998
2552619057.0,4.0,0.0,3.0,786,37.38,35.7,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Chipped', 'Zone', 'PassEndX', 'Angle', 'PassEndY', 'Longball', 'Length']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,380682.0,67.83,18.088,,,,,,,,,,,,,True,Pacos de Ferreira,Rio Ave,0.006724860000000001
2552619069.0,5.0,0.0,6.0,786,71.925,16.66,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[197, 199]",False,427566.0,,,,,,,,,,,,,,,,Pacos de Ferreira,Rio Ave,
2552619049.0,3.0,0.0,6.0,121,33.075,51.34,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[198, 200]",False,356232.0,,,,,,,,,,,,,4.0,Patrick William,,Pacos de Ferreira,Rio Ave,
