name,team,shirtNo,photo,playerId,fotmob_player_id,Assists,xA,key_passes,final_third_passes,penalty_box_passes,prog_passes,xG,Goals,Shots,SCA,GCA,defensive_actions,final_third_entries,penalty_box_entries,prog_carries,minutes
Zié Ouattara,Portimonense,3.0,https://static-img.zz.pt/jogadores/46/624546_20220808160944_zie_ouattara_1659971384.jpg,404051.0,960049.0,0.0,1.3,16.0,26.0,11.0,46.0,0.7,1.0,8.0,30.0,2.0,151.0,22.0,5.0,32.0,1163.0
Pepe,Porto,3.0,https://static-img.zz.pt/jogadores/30/130_20220817115008_pepe.png,10105.0,25921.0,0.0,0.5,7.0,109.0,5.0,111.0,0.3,0.0,7.0,17.0,1.0,291.0,10.0,0.0,12.0,1966.0
Miguel Nóbrega,Rio-Ave,3.0,https://static-img.zz.pt/jogadores/53/295253_20220803215147_miguel_nobrega.png,444574.0,993805.0,1.0,0.5,3.0,16.0,0.0,13.0,0.2,0.0,3.0,5.0,1.0,71.0,2.0,0.0,3.0,561.0
Xavi Quintillà,Santa-Clara,3.0,https://static-img.zz.pt/jogadores/55/295655_20220803225624_xavi_quintilla.png,369884.0,522578.0,1.0,0.6,12.0,30.0,7.0,36.0,0.9,1.0,3.0,20.0,1.0,76.0,6.0,0.0,9.0,722.0
Jeremiah St. Juste,Sporting,3.0,https://static-img.zz.pt/jogadores/79/391479_20220907200328_jeremiah_st_juste.png,259929.0,611831.0,1.0,0.5,5.0,104.0,3.0,108.0,0.7,1.0,7.0,24.0,2.0,124.0,26.0,0.0,40.0,909.0
Mikel Villanueva,Vitoria-de-Guimaraes,3.0,https://static-img.zz.pt/jogadores/11/323911_20220729164523_mikel_villanueva_1659109523.jpg,318502.0,423663.0,1.0,1.1,6.0,78.0,3.0,65.0,1.1,1.0,9.0,24.0,4.0,303.0,9.0,1.0,7.0,2536.0
Bruno Wilson,Vizela,3.0,https://static-img.zz.pt/jogadores/09/75309_20220813000239_bruno_wilson.png,331637.0,540414.0,1.0,0.9,3.0,44.0,1.0,41.0,1.2,0.0,12.0,13.0,2.0,326.0,11.0,1.0,4.0,2048.0
Sema Velázquez,Arouca,4.0,https://static-img.zz.pt/jogadores/22/72222_20220806111306_sema_velazquez.png,40822.0,116183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0
Lucas Veríssimo,Benfica,4.0,https://static-img.zz.pt/jogadores/81/491981_20220916101452_lucas_verissimo.jpg,300640.0,699694.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0
Robson Reis,Boavista,4.0,https://static-img.zz.pt/jogadores/69/693269_20220819203651_robson_reis.png,417656.0,1252914.0,0.0,0.2,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,122.0
Sikou Niakaté,Braga,4.0,https://static-img.zz.pt/jogadores/88/560488_20220803190316_sikou_niakate.jpg,422882.0,821312.0,0.0,0.2,6.0,63.0,4.0,67.0,0.7,3.0,10.0,13.0,3.0,335.0,7.0,3.0,15.0,2127.0
Léo Bolgado,Casa-Pia,4.0,https://static-img.zz.pt/jogadores/92/547792_20220913170712_leo_bolgado.png,447000.0,1286294.0,0.0,0.0,1.0,9.0,0.0,11.0,0.3,1.0,2.0,3.0,0.0,92.0,1.0,0.0,0.0,487.0
Lucas Áfrico,Estoril,4.0,https://static-img.zz.pt/jogadores/42/970342__20230116083303_lucas_africo.jpg,361912.0,953960.0,0.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,27.0,2.0,0.0,0.0,354.0
Enea Mihaj,Famalicao,4.0,https://static-img.zz.pt/jogadores/44/538544_20220927150649_enea_mihaj.png,363299.0,784876.0,0.0,0.0,3.0,45.0,1.0,59.0,1.2,0.0,11.0,9.0,2.0,277.0,3.0,1.0,3.0,2226.0
Né Lopes,Gil-Vicente,4.0,https://static-img.zz.pt/jogadores/79/545879_20220803184212_ne_lopes.png,447137.0,1079294.0,0.0,0.1,2.0,17.0,1.0,18.0,0.6,0.0,6.0,5.0,1.0,56.0,2.0,0.0,1.0,450.0
Matheus Costa,Maritimo,4.0,https://static-img.zz.pt/jogadores/41/529741_20220810203344_matheus_costa.png,422005.0,816256.0,0.0,0.1,4.0,24.0,0.0,23.0,0.3,0.0,6.0,15.0,0.0,162.0,2.0,0.0,5.0,1084.0
Pedro Ganchas,Pacos-de-Ferreira,4.0,https://static-img.zz.pt/jogadores/35/234435_20220808234528_pedro_ganchas.jpg,433139.0,1185327.0,0.0,0.0,0.0,7.0,0.0,5.0,0.4,0.0,2.0,3.0,0.0,39.0,1.0,0.0,0.0,269.0
Lucas Alves,Portimonense,4.0,https://static-img.zz.pt/jogadores/19/983919__20230222074921_lucas_alves.jpg,136134.0,541582.0,0.0,0.0,0.0,10.0,0.0,9.0,0.2,0.0,2.0,3.0,0.0,74.0,0.0,0.0,1.0,530.0
Lucas Alves,Portimonense,4.0,https://static-img.zz.pt/jogadores/19/983919__20230222074921_lucas_alves.jpg,136134.0,541582.0,0.0,0.0,1.0,21.0,2.0,20.0,0.1,0.0,4.0,5.0,0.0,68.0,3.0,0.0,2.0,360.0
David Carmo,Porto,4.0,https://static-img.zz.pt/jogadores/75/233475_20220817115009_david_carmo.png,374812.0,954962.0,0.0,0.0,0.0,27.0,1.0,18.0,0.9,0.0,4.0,2.0,0.0,76.0,1.0,0.0,3.0,636.0
Patrick William,Rio-Ave,4.0,https://static-img.zz.pt/jogadores/68/549568_20220803215201_patrick_william.png,356232.0,934713.0,1.0,2.7,12.0,103.0,13.0,113.0,1.3,2.0,19.0,40.0,3.0,272.0,21.0,0.0,24.0,1901.0
Kennedy Boateng,Santa-Clara,4.0,https://static-img.zz.pt/jogadores/65/551265_20220519191244_kennedy_boateng.png,422199.0,793670.0,0.0,0.2,3.0,29.0,0.0,41.0,2.9,3.0,19.0,12.0,1.0,378.0,2.0,0.0,4.0,2315.0
Sebastián Coates,Sporting,4.0,https://static-img.zz.pt/jogadores/85/85285_20220907200338_sebastian_coates.png,71268.0,165526.0,0.0,1.4,8.0,134.0,8.0,106.0,2.4,1.0,17.0,37.0,2.0,289.0,8.0,0.0,13.0,2558.0
Ivanildo Fernandes,Vizela,4.0,https://static-img.zz.pt/jogadores/21/406921_20220813002900_ivanildo_fernandes.png,362492.0,668699.0,0.0,0.8,2.0,21.0,0.0,35.0,0.6,0.0,7.0,2.0,0.0,206.0,0.0,0.0,3.0,1483.0
David Simão,Arouca,5.0,https://static-img.zz.pt/jogadores/59/56059_20220904223601_david_simao.png,36712.0,115512.0,4.0,1.7,32.0,136.0,15.0,139.0,0.5,0.0,16.0,58.0,3.0,330.0,19.0,0.0,16.0,2580.0
Serdar Saatci,Braga,5.0,https://static-img.zz.pt/jogadores/57/839057_20230214183346_serdar_saatci.png,406688.0,1188625.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,0.0,1.0,215.0
