id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,teamColor,name,homeTeam,awayTeam,round,shortName,fullName
2451196409,AttemptSaved,7842,603808,Joao Carvalho,90.8000030517578,36.2875,83,,True,True,94.7719298231,36.05875,35.44875000000001,1.2199999940000001,0.0816814601421356,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.6167328042328032, 'y': 0.32275132116402117, 'zoomRatio': 1}",Joao,Carvalho,#0858A0,Estoril,Pacos de Ferreira,Estoril,4,,
2451196467,AttemptSaved,7842,955808,Rosier Loreintz,83.27329753426885,30.231999908447264,84,,False,True,101.9655172416,33.161249999999995,36.5925,1.1365263102,0.0403257608413696,0.2406,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.31415343915343885, 'y': 0.30066833603174603, 'zoomRatio': 1}",Rosier,Loreintz,#0858A0,Estoril,Pacos de Ferreira,Estoril,4,,
2451562709,Miss,10212,819916,André Vidigal,75.27718274953443,47.71413798622574,13,,False,False,,,32.55125,6.1488275975999995,0.0124905109405517,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 1.1595692846465544, 'y': 0.6772486772486772, 'zoomRatio': 0.41633953129523665}",André,Vidigal,#003010,Maritimo,Maritimo,Portimonense,4,,
2451570349,AttemptSaved,9765,1285815,Filipe Relvas,96.9912265970607,28.62309459576756,16,,False,True,104.051724138,33.61875,36.21125,0.7319999964,0.0508118271827697,0.1673,Header,FromCorner,FirstHalf,False,"{'x': 0.41501322751322767, 'y': 0.19365079269841268, 'zoomRatio': 1}",Filipe,Relvas,#000000,Portimonense,Maritimo,Portimonense,4,,
2451576909,Miss,10212,819916,André Vidigal,76.74126385606556,42.7553125,21,,False,False,101.0172413796,67.4096682461,66.5569668238,0.8925263114,0.0154783129692077,,LeftFoot,FromCorner,FirstHalf,False,"{'x': 0, 'y': 0.027414295570911105, 'zoomRatio': 0.11610418195458924}",André,Vidigal,#003010,Maritimo,Maritimo,Portimonense,4,,
2451579395,AttemptSaved,10212,819916,André Vidigal,92.5,40.97380824153511,25,,True,True,101.206896552,36.8975,35.29625000000001,1.2199999940000001,0.0636438727378845,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.6570767195767175, 'y': 0.32275132116402117, 'zoomRatio': 1}",André,Vidigal,#003010,Maritimo,Maritimo,Portimonense,4,,
2451580937,AttemptSaved,9765,866406,Willyan,92.8000030517578,37.05,27,,False,True,103.57758620700001,33.8475,34.61,0.7319999964,0.0218518674373626,0.0214,Header,FromCorner,FirstHalf,False,"{'x': 0.8386243386243388, 'y': 0.19365079269841268, 'zoomRatio': 1}",,Willyan,#000000,Portimonense,Maritimo,Portimonense,4,,
2451581373,Miss,10212,421148,Stefano Beltrame,74.0383495168,32.55124883651733,28,,False,False,,,27.782619046999997,7.4783448432,0.0098457336425781,,RightFoot,FromCorner,FirstHalf,False,"{'x': 1.563054140275323, 'y': 0.6772486772486772, 'zoomRatio': 0.3423217374534136}",Stefano,Beltrame,#003010,Maritimo,Maritimo,Portimonense,4,,
2451582225,AttemptSaved,10212,941726,Antonio Zarzana,90.5,23.298597661412874,30,,False,True,102.8189655174,32.474999999999994,34.22875,0.3659999982,0.0749675631523132,0.0299,LeftFoot,FastBreak,FirstHalf,False,"{'x': 0.9394841269841275, 'y': 0.09682539634920634, 'zoomRatio': 1}",Antonio,Zarzana,#003010,Maritimo,Maritimo,Portimonense,4,,
2451588851,Miss,10212,421148,Stefano Beltrame,81.69660537933112,24.48968099905643,36,,False,False,,,28.707142856,2.551,0.0155480802059173,,RightFoot,RegularPlay,FirstHalf,False,"{'x': 2, 'y': 0.48197031028729426, 'zoomRatio': 0.7141700403316238}",Stefano,Beltrame,#003010,Maritimo,Maritimo,Portimonense,4,,
