id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2545989559.0,12.0,0.0,29.0,2008,31.185000000000002,2.72,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,323355.0,22.89,16.388,,,,,,,,,,,3.0,Nélson Monte,False,Famalicao,Chaves,-0.0003527700000000005
,,0.0,29.0,2008,22.89,16.388,,,Carry,,,,,232384.0,21.630000000000003,18.360000000000003,,,,,,,,,,,26.0,Carlos Ponck,False,Famalicao,Chaves,0.0005892200000000014
2545989619.0,13.0,0.0,32.0,2008,21.630000000000003,18.360000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,232384.0,22.995,42.772000000000006,,,,,,,,,,,26.0,Carlos Ponck,False,Famalicao,Chaves,0.0
,,0.0,32.0,2008,22.995,42.772000000000006,,,Carry,,,,,380662.0,30.765,48.620000000000005,,,,,,,,,,,44.0,João Queirós,False,Famalicao,Chaves,0.00109158
2545989663.0,14.0,0.0,37.0,2008,30.765,48.620000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,380662.0,40.214999999999996,65.688,,,,,,,,,,,44.0,João Queirós,False,Famalicao,Chaves,0.00015804999999999986
,,0.0,37.0,2008,40.214999999999996,65.688,,,Carry,,,,,390741.0,37.17,64.60000000000001,,,,,,,,,,,5.0,Bruno Langa,False,Famalicao,Chaves,0.0
2545989707.0,15.0,0.0,40.0,2008,37.17,64.60000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Angle', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,390741.0,26.040000000000003,64.396,,,,,,,,,,,5.0,Bruno Langa,False,Famalicao,Chaves,-0.0028141300000000015
2545989785.0,16.0,0.0,43.0,2008,26.355000000000004,63.784000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Length', 'PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 127, 35, 38, 215, 218]",True,255627.0,23.205000000000002,29.240000000000002,,,,,,,,,,,10.0,João Teixeira,False,Famalicao,Chaves,0.0003888999999999993
,,0.0,43.0,2008,23.205000000000002,29.240000000000002,,,Carry,,,,,232384.0,31.185000000000002,22.644,,,,,,,,,,,26.0,Carlos Ponck,False,Famalicao,Chaves,0.0009391300000000016
2545989809.0,17.0,0.0,49.0,2008,31.185000000000002,22.644,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,232384.0,34.964999999999996,3.944,,,,,,,,,,,26.0,Carlos Ponck,False,Famalicao,Chaves,-0.0013280300000000009
2545989857.0,18.0,0.0,52.0,2008,35.805,4.0120000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'Zone', 'StandingSave', 'Longball', 'PassEndY', 'Chipped', 'PassEndX']","[91, 120, 124, 128, 36, 37, 217, 218]",True,323355.0,76.23,18.224,,,,,,,,,,,3.0,Nélson Monte,True,Famalicao,Chaves,
2545989869.0,3.0,0.0,55.0,935,28.980000000000004,52.224000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,380619.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545989871.0,19.0,0.0,55.0,2008,76.02000000000001,15.776,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[198, 199]",False,320350.0,,,,,,,,,,,,,20.0,Juninho,,Famalicao,Chaves,
2545989893.0,4.0,0.0,55.0,935,29.19,54.604,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'HeadPass', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 139, 36, 37, 215, 218]",True,380619.0,33.39,60.928,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0008183099999999992
2545989895.0,5.0,0.0,56.0,935,33.285000000000004,60.928,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,401060.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545989921.0,6.0,0.0,56.0,935,33.285000000000004,60.928,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Chipped', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 117, 30, 124, 36, 38, 216, 218]",True,401060.0,40.845,60.52,,,,,,,,,,,,,False,Famalicao,Chaves,0.0014860800000000007
2545989925.0,7.0,0.0,57.0,935,40.845,60.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,402892.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545989917.0,20.0,0.0,59.0,2008,67.83,10.948000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,438899.0,,,,,,,,,,,,,21.0,Guima,,Famalicao,Chaves,
,,0.0,59.0,2008,67.83,10.948000000000002,,,Carry,,,,,438899.0,66.78,8.16,,,,,,,,,,,21.0,Guima,False,Famalicao,Chaves,-0.0012528700000000031
2545989941.0,21.0,1.0,0.0,2008,66.78,8.16,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,438899.0,71.82000000000001,3.3320000000000003,,,,,,,,,,,21.0,Guima,False,Famalicao,Chaves,0.0037706900000000036
2545989951.0,22.0,1.0,2.0,2008,71.08500000000001,4.216,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,364014.0,69.19500000000001,16.932,,,,,,,,,,,17.0,Issah Abass,False,Famalicao,Chaves,-0.0025178200000000005
2545989989.0,23.0,1.0,3.0,2008,69.19500000000001,17.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,255627.0,76.86,17.816000000000003,,,,,,,,,,,10.0,João Teixeira,False,Famalicao,Chaves,0.005418930000000002
2545989997.0,24.0,1.0,5.0,2008,76.54500000000002,17.952,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive', 'StandingSave']","[91, 53]",True,320350.0,,,,,,,,,,,,,20.0,Juninho,,Famalicao,Chaves,
2545990009.0,8.0,1.0,5.0,935,28.455000000000002,50.048,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Defensive']","[91, 143]",True,402207.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
