id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2504527227.0,2.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504527181.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504622423.0,730.0,0.0,0.0,2008,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504622445.0,919.0,0.0,0.0,264,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504487259.0,1.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504487267.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Chaves,Maritimo,
2504527337.0,3.0,0.0,0.0,2008,52.395,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndY', 'PassEndX', 'Length']","[91, 117, 30, 35, 216, 218]",True,320350.0,49.35,34.068000000000005,,,,,,,,,,20.0,Juninho,False,Chaves,Maritimo,0.0
,,0.0,0.0,2008,49.35,34.068000000000005,,,Carry,,,,,255627.0,55.650000000000006,29.444,,,,,,,,,,10.0,João Teixeira,False,Chaves,Maritimo,0.0020492999999999987
2504527361.0,4.0,0.0,2.0,2008,55.650000000000006,29.444,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,255627.0,42.21000000000001,5.236000000000001,,,,,,,,,,10.0,João Teixeira,False,Chaves,Maritimo,-0.005632609999999998
2504527367.0,5.0,0.0,6.0,2008,42.21000000000001,4.964,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'PassEndX', 'Chipped', 'Length', 'Angle', 'Zone']","[91, 120, 29, 124, 36, 37, 216, 218]",True,447020.0,66.25500000000001,24.412,,,,,,,,,,2.0,Habib Sylla,True,Chaves,Maritimo,
