id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2448648193.0,2.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448648165.0,2.0,0.0,0.0,2899,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448757329.0,817.0,0.0,0.0,2008,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448757383.0,865.0,0.0,0.0,2899,0.0,0.0,14.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448614385.0,1.0,0.0,0.0,2899,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'TeamPlayerFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448615511.0,1.0,0.0,0.0,2008,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Chaves,Vizela,
2448648249.0,3.0,0.0,0.0,2899,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,143050.0,44.415,27.812,,,,,,,,,,,,False,Chaves,Vizela,-0.002219519999999999
2448648275.0,4.0,0.0,1.0,2899,44.415,27.812,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,322742.0,55.545,33.79600000000001,,,,,,,,,,,,False,Chaves,Vizela,0.0020492999999999987
2448648285.0,5.0,0.0,3.0,2899,55.964999999999996,34.748000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'Angle']","[91, 120, 29, 36, 37, 216, 218]",True,143050.0,57.75,36.312000000000005,,,,,,,,,,,,False,Chaves,Vizela,
2448648257.0,3.0,0.0,4.0,2008,47.775,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,362386.0,,,,,,,,,,,,8.0,João Mendes,,Chaves,Vizela,
,,0.0,4.0,2008,47.775,33.79600000000001,,,Carry,,,,,362386.0,47.775,31.688000000000002,,,,,,,,,,8.0,João Mendes,False,Chaves,Vizela,0.0
2448648407.0,4.0,0.0,7.0,2008,47.775,31.688000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,362386.0,57.96000000000001,14.620000000000001,,,,,,,,,,8.0,João Mendes,False,Chaves,Vizela,0.0012721500000000014
,,0.0,7.0,2008,57.96000000000001,14.620000000000001,,,Carry,,,,,444823.0,60.69,10.608,,,,,,,,,,73.0,Benny,False,Chaves,Vizela,0.0
2448648439.0,5.0,0.0,10.0,2008,60.69,10.608,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 36, 37, 216, 218]",True,444823.0,67.30499999999999,14.824000000000002,,,,,,,,,,73.0,Benny,False,Chaves,Vizela,0.0025853399999999985
,,0.0,10.0,2008,67.30499999999999,14.824000000000002,,,Carry,,,,,381794.0,102.9,9.316,,,,,,,,,,77.0,João Correia,True,Chaves,Vizela,0.01922243
2448648453.0,6.0,0.0,14.0,2008,102.9,9.316,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndY', 'Length', 'RightFoot', 'Zone', 'Cross', 'PassEndX']","[91, 137, 126, 36, 37, 217, 218]",True,381794.0,105.0,11.356,,,,,,,,,,77.0,João Correia,False,Chaves,Vizela,
2448648719.0,7.0,0.0,27.0,2899,3.045,40.800000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'GoalKick', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,326410.0,9.870000000000001,52.156000000000006,,,,,,,,,,,,False,Chaves,Vizela,-0.0019098400000000003
2448648765.0,8.0,0.0,28.0,2899,9.870000000000001,52.156000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,416912.0,21.630000000000003,63.03600000000001,,,,,,,,,,,,False,Chaves,Vizela,-0.00033735000000000015
2448648827.0,9.0,0.0,31.0,2899,21.735,63.03600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Chipped', 'Length', 'StandingSave', 'Longball', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 124, 128, 36, 38, 217, 218]",True,129360.0,74.44500000000001,60.044000000000004,,,,,,,,,,,,True,Chaves,Vizela,
2448649143.0,12.0,0.0,37.0,2008,28.455000000000002,17.884,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,121484.0,,,,,,,,,,,,19.0,Steven Vitória,,Chaves,Vizela,
2448648947.0,8.0,0.0,37.0,2008,24.465000000000003,17.476,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,121484.0,6.825,29.92,,,,,,,,,,19.0,Steven Vitória,False,Chaves,Vizela,-0.0006024800000000007
,,0.0,37.0,2008,28.455000000000002,17.884,,,Carry,,,,,121484.0,24.465000000000003,17.476,,,,,,,,,,19.0,Steven Vitória,False,Chaves,Vizela,-0.0016808000000000014
2448648981.0,9.0,0.0,43.0,2008,5.775,29.784,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,363078.0,16.17,15.708000000000002,,,,,,,,,,1.0,Paulo Vítor,False,Chaves,Vizela,-0.0006246700000000008
2448649055.0,10.0,0.0,47.0,2008,16.17,15.708000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,121484.0,11.55,32.844,,,,,,,,,,19.0,Steven Vitória,False,Chaves,Vizela,0.0006246700000000008
2448649135.0,11.0,0.0,50.0,2008,11.55,32.844,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,363078.0,19.740000000000002,47.39600000000001,,,,,,,,,,1.0,Paulo Vítor,False,Chaves,Vizela,-0.0010497700000000002
,,0.0,50.0,2008,19.740000000000002,47.39600000000001,,,Carry,,,,,323355.0,25.935,48.620000000000005,,,,,,,,,,3.0,Nélson Monte,False,Chaves,Vizela,0.0
2448649193.0,13.0,0.0,56.0,2008,25.935,48.620000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 38, 215, 218]",True,323355.0,25.935,31.28,,,,,,,,,,3.0,Nélson Monte,False,Chaves,Vizela,0.00015244999999999842
,,0.0,56.0,2008,25.935,31.28,,,Carry,,,,,121484.0,27.51,26.656000000000002,,,,,,,,,,19.0,Steven Vitória,False,Chaves,Vizela,0.0
2448649209.0,14.0,0.0,58.0,2008,27.51,26.656000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'Chipped', 'PassEndY', 'Angle', 'Longball', 'StandingSave', 'Length']","[91, 120, 124, 128, 36, 38, 216, 218]",True,121484.0,60.795,7.616,,,,,,,,,,19.0,Steven Vitória,True,Chaves,Vizela,
2448649227.0,10.0,0.0,59.0,2899,45.78,60.724000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,['Zone'],"[91, 101, 56]",True,129360.0,,,,,,,,,,,,,,,Chaves,Vizela,
2448649305.0,11.0,1.0,2.0,2899,73.08,52.768,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Length', 'Angle', 'StandingSave', 'HeadPass', 'PassEndX', 'PassEndY']","[91, 120, 29, 139, 36, 38, 217, 218]",True,421851.0,77.49,43.452000000000005,,,,,,,,,,,,False,Chaves,Vizela,
2448649325.0,15.0,1.0,3.0,2008,24.78,33.184,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave', 'HeadPass', 'PassEndY']","[91, 118, 120, 29, 139, 36, 38, 215, 218]",True,323355.0,33.6,10.88,,,,,,,,,,3.0,Nélson Monte,False,Chaves,Vizela,
2448649343.0,12.0,1.0,6.0,2899,74.235,54.53600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,129360.0,,,,,,,,,,,,,,,Chaves,Vizela,
2448649415.0,13.0,1.0,8.0,2899,69.92999999999999,58.004000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,129360.0,60.900000000000006,55.148,,,,,,,,,,,,False,Chaves,Vizela,-0.0025853399999999985
2448649533.0,14.0,1.0,10.0,2899,58.589999999999996,55.42,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'Angle', 'PassEndY', 'Longball']","[91, 117, 127, 35, 38, 216, 218]",True,444578.0,44.31,25.976000000000003,,,,,,,,,,,,False,Chaves,Vizela,-0.0034263900000000014
2448649597.0,15.0,1.0,16.0,2899,45.045,26.452,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,331637.0,40.74,44.744,,,,,,,,,,,,False,Chaves,Vizela,-0.00215424
2448649655.0,16.0,1.0,20.0,2899,43.995,51.68000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,416912.0,57.855000000000004,63.784000000000006,,,,,,,,,,,,False,Chaves,Vizela,0.0008905599999999986
2448649879.0,18.0,1.0,21.0,2899,55.755,66.028,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,129360.0,,,,,,,,,,,,,,,Chaves,Vizela,
2448650059.0,18.0,1.0,42.0,2008,50.08500000000001,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone', 'ThrowIn']","[91, 212, 35, 37, 216]",True,381794.0,44.83500000000001,11.491999999999999,,,,,,,,,,77.0,João Correia,False,Chaves,Vizela,-0.00033624999999999974
,,1.0,42.0,2008,44.83500000000001,11.491999999999999,,,Carry,,,,,255627.0,41.580000000000005,18.02,,,,,,,,,,10.0,João Teixeira,False,Chaves,Vizela,-0.0011536600000000008
2449910667.0,819.0,1.0,43.0,2008,41.580000000000005,18.02,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'StandingSave', 'Zone']","[91, 53]",True,255627.0,,,,,,,,,,,,10.0,João Teixeira,,Chaves,Vizela,
2448650067.0,19.0,1.0,44.0,2008,41.055,15.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Foul', 'OppositeRelatedEvent', 'Offensive']","[91, 63]",True,255627.0,,,,,,,,,,,,10.0,João Teixeira,,Chaves,Vizela,
