id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2319910667.0,2.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319910663.0,2.0,0.0,0.0,264.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319926467.0,848.0,0.0,0.0,264.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319926471.0,744.0,0.0,0.0,292.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319892057.0,1.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319893521.0,1.0,0.0,0.0,264.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition', 'InvolvedPlayers', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Belenenses SAD,Maritimo,
2319910687.0,3.0,0.0,0.0,264.0,52.605000000000004,33.93200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length']","[90, 116, 29, 34, 37, 215, 217]",True,335707.0,40.53,27.676000000000005,,,,,,,,,,,,False,Belenenses SAD,Maritimo,-0.002219519999999999
2319910701.0,4.0,0.0,1.0,264.0,40.425,27.200000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX']","[90, 116, 29, 34, 36, 215, 217]",True,422003.0,35.70000000000001,37.672000000000004,,,,,,,,,,,,False,Belenenses SAD,Maritimo,0.0
2319910711.0,5.0,0.0,2.0,264.0,35.07,36.312000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,282241.0,27.405,10.336000000000002,,,,,,,,,,,,False,Belenenses SAD,Maritimo,-0.0007288599999999996
2319910719.0,6.0,0.0,6.0,264.0,28.455000000000002,9.996000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX']","[90, 116, 29, 34, 36, 214, 217]",True,381584.0,22.155,30.396000000000004,,,,,,,,,,,,False,Belenenses SAD,Maritimo,-0.0004294100000000016
