id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2352509921.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352509929.0,2.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352605363.0,849.0,0.0,0.0,1463.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352605353.0,825.0,0.0,0.0,292.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352461405.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352462827.0,1.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Portimonense,Belenenses SAD,
2352509977.0,3.0,0.0,0.0,1463.0,54.075,33.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[90, 116, 29, 34, 37, 215, 217]",True,423988.0,45.15,20.944000000000003,,,,,,,,,,,,False,Portimonense,Belenenses SAD,-0.0026039999999999987
2352509989.0,4.0,0.0,1.0,1463.0,45.15,20.944000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,81959.0,43.89,31.076000000000004,,,,,,,,,,,,False,Portimonense,Belenenses SAD,0.0005547
2352510017.0,5.0,0.0,2.0,1463.0,43.785000000000004,30.736000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[90, 116, 29, 34, 37, 215, 217]",True,342698.0,37.695,4.828,,,,,,,,,,,,False,Portimonense,Belenenses SAD,-0.0013637900000000001
2352510069.0,6.0,0.0,5.0,1463.0,37.695,4.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Zone', 'Angle', 'PassEndX']","[90, 116, 29, 34, 36, 214, 217]",True,308886.0,19.53,19.924000000000003,,,,,,,,,,,,False,Portimonense,Belenenses SAD,-0.0012496299999999998
