id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2347115131.0,2.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347115135.0,2.0,0.0,292.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347136117.0,905.0,0.0,292.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347136125.0,900.0,0.0,122.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347101541.0,1.0,0.0,122.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'CaptainPlayerId', 'JerseyNumber', 'TeamFormation', 'InvolvedPlayers']",[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347103819.0,1.0,0.0,292.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'CaptainPlayerId', 'JerseyNumber', 'PlayerPosition', 'TeamFormation', 'InvolvedPlayers']",[],False,0.0,,,,,,,,,,,,,,Boavista,Belenenses SAD,
2347115141.0,3.0,0.0,122.0,404198.0,52.710000000000015,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'StandingSave', 'Angle', 'PassEndX']","[90, 118, 116, 29, 35, 36, 215, 217]",True,0.0,53.97,35.70000000000001,,,,,,,,,,,False,Boavista,Belenenses SAD,0.0
2347115153.0,4.0,0.0,122.0,423076.0,53.97,35.70000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Length', 'PassEndY', 'Angle']","[90, 118, 116, 29, 35, 36, 215, 217]",True,1.0,61.845,48.416,,,,,,,,,,,False,Boavista,Belenenses SAD,-3.931999999999894e-05
2347115169.0,5.0,0.0,122.0,280768.0,64.68,50.18400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,3.0,36.855,57.596,,,,,,,,,,,False,Boavista,Belenenses SAD,-0.007204130000000001
2347115177.0,6.0,0.0,122.0,423077.0,36.855,57.596,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[90, 116, 29, 35, 37, 215, 217]",True,6.0,39.585000000000015,46.104,,,,,,,,,,,False,Boavista,Belenenses SAD,0.0005445499999999995
