id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2338810237.0,3.0,0.0,292.0,381650.0,31.080000000000002,59.29600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[90, 117, 119, 28, 138, 35, 36, 215, 217]",True,6.0,41.160000000000004,68.0,,,,,,,,,,27.0,Chima Akas,False,Belenenses SAD,Tondela,0.0006677699999999998
2338810387.0,8.0,0.0,8071.0,394930.0,58.589999999999996,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'ThrowIn', 'Angle', 'Length', 'PassEndY']","[90, 211, 34, 36, 215]",True,11.0,42.525,5.372000000000001,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.0034732899999999987
2338810485.0,9.0,0.0,8071.0,394932.0,42.210000000000015,8.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,15.0,38.32500000000001,40.528000000000006,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0004792700000000004
2338810607.0,10.0,0.0,8071.0,375327.0,40.425,43.044000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[90, 116, 29, 35, 37, 215, 217]",True,22.0,41.160000000000004,16.592,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.0005445499999999995
2338810641.0,11.0,0.0,8071.0,394932.0,43.575,14.484000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle']","[90, 118, 116, 29, 35, 37, 215, 217]",True,26.0,56.910000000000004,4.0120000000000005,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.002588769999999999
2338810681.0,12.0,0.0,8071.0,283364.0,57.33000000000001,3.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,28.0,44.415,4.42,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.002252519999999999
2338810703.0,13.0,0.0,8071.0,394930.0,44.52,4.760000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[90, 118, 116, 29, 35, 36, 215, 217]",True,30.0,53.235000000000014,16.32,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.003634690000000001
2338810753.0,14.0,0.0,8071.0,116223.0,53.235000000000014,16.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length']","[90, 118, 116, 29, 35, 37, 215, 217]",True,31.0,64.155,4.760000000000001,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0013324699999999988
2338810839.0,15.0,0.0,8071.0,119089.0,63.105000000000004,3.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Chipped', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX', 'Longball', 'Angle']","[90, 118, 116, 123, 126, 204, 35, 36, 216, 217]",True,33.0,100.17000000000003,12.036,,,,,,,,,,,,True,Belenenses SAD,Tondela,0.029026609999999998
2338810887.0,16.0,0.0,8071.0,283364.0,101.325,11.832000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'RightFoot', 'Chipped', 'Zone', 'Cross', 'Angle', 'PassEndY', 'Length']","[90, 136, 123, 125, 34, 36, 216, 217]",True,37.0,85.26,38.080000000000005,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.011363949999999998
2338810919.0,5.0,0.0,292.0,235920.0,30.03,29.444,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,40.0,,,,,,,,,,,,7.0,Pedro Nuno,,Belenenses SAD,Tondela,
2338810975.0,6.0,0.0,292.0,235920.0,28.455000000000002,32.980000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone', 'PassEndX']","[90, 116, 29, 35, 36, 215, 217]",True,40.0,41.58000000000001,33.25200000000001,,,,,,,,,,7.0,Pedro Nuno,False,Belenenses SAD,Tondela,0.0013027000000000004
,,0.0,,383185.0,41.58000000000001,33.25200000000001,,,Carry,,,,,40.0,40.635000000000005,34.74800000000001,,,,,,,,,,25.0,Safira,False,Belenenses SAD,Tondela,0.0
,,0.0,,235920.0,30.03,29.444000000000006,,,Carry,,,,,40.0,28.455000000000002,32.980000000000004,,,,,,,,,,7.0,Pedro Nuno,False,Belenenses SAD,Tondela,0.0
2338811013.0,7.0,0.0,292.0,383185.0,40.635000000000005,34.74800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['LayOff', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'Length']","[90, 117, 119, 28, 34, 36, 214, 217]",True,41.0,27.195,42.160000000000004,,,,,,,,,,25.0,Safira,False,Belenenses SAD,Tondela,-0.0013027000000000004
2338811019.0,17.0,0.0,8071.0,344991.0,63.945,19.652,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,43.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338811063.0,18.0,0.0,8071.0,344991.0,64.68,20.196000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'PassEndX', 'Zone', 'StandingSave']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,45.0,73.5,37.128,,,,,,,,,,,,True,Belenenses SAD,Tondela,0.004500169999999998
