id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2400467591.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400467579.0,2.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400643743.0,735.0,0.0,0.0,292.0,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400643755.0,808.0,0.0,0.0,1463.0,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400389745.0,1.0,0.0,0.0,292.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400395459.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'CaptainPlayerId', 'InvolvedPlayers', 'JerseyNumber', 'TeamPlayerFormation', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,Belenenses SAD,Portimonense,
2400467687.0,3.0,0.0,0.0,292.0,52.395,33.93200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,400848.0,32.025,44.336000000000006,,,,,,,,,,10.0,Afonso Sousa,False,Belenenses SAD,Portimonense,-0.003741359999999999
,,0.0,0.0,,32.025,44.336000000000006,,,Carry,,,,,391491.0,31.080000000000002,45.56,,,,,,,,,,14.0,Danny Henriques,False,Belenenses SAD,Portimonense,0.0
2400467849.0,4.0,0.0,2.0,292.0,31.080000000000002,45.56,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Chipped', 'Angle', 'Longball', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,391491.0,64.575,63.44400000000001,,,,,,,,,,14.0,Danny Henriques,True,Belenenses SAD,Portimonense,0.006345979999999999
,,0.0,2.0,,64.575,63.44400000000001,,,Carry,,,,,383185.0,65.52,62.08400000000001,,,,,,,,,,25.0,Safira,False,Belenenses SAD,Portimonense,0.0
