id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379184793.0,6.0,0.0,2188.0,356232.0,35.28,26.248,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,9.0,32.34,49.16400000000001,,,,,,,,,97.0,Patrick Willian,False,Maritimo,Estoril,-0.0002191399999999996
,,0.0,,421890.0,32.34,49.16400000000001,,,Carry,,,,,9.0,33.39,51.68000000000002,,,,,,,,,3.0,Bernardo Vital,False,Maritimo,Estoril,-0.00050972
2379184823.0,7.0,0.0,2188.0,421890.0,33.39,51.68000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 70]",True,12.0,,,,,,,,,,,3.0,Bernardo Vital,,Maritimo,Estoril,
2379184811.0,3.0,0.0,264.0,403771.0,71.61,16.32,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'Offensive', 'StandingSave', 'OppositeRelatedEvent']","[91, 142]",True,12.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379184917.0,8.0,0.0,2188.0,105928.0,28.665000000000006,61.2,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,16.0,39.375,50.660000000000004,,,,,,,,,31.0,Joãozinho,False,Maritimo,Estoril,0.00291515
,,0.0,,333315.0,39.375,50.660000000000004,,,Carry,,,,,16.0,48.405,45.90000000000001,,,,,,,,,21.0,João Gamboa,False,Maritimo,Estoril,0.00159954
2379184983.0,9.0,0.0,2188.0,333315.0,48.405,45.90000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,19.0,64.68,45.356,,,,,,,,,21.0,João Gamboa,True,Maritimo,Estoril,0.005060040000000002
2379185009.0,10.0,0.0,2188.0,69742.0,64.68,45.356,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'LayOff', 'StandingSave', 'Angle', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,19.0,57.225,33.32,,,,,,,,,17.0,Rui Fonte,False,Maritimo,Estoril,-0.002456040000000003
,,0.0,,421893.0,57.225,33.32,,,Carry,,,,,19.0,61.005,43.112,,,,,,,,,10.0,André Franco,False,Maritimo,Estoril,-3.931999999999894e-05
2379185119.0,11.0,0.0,2188.0,421893.0,61.005,43.112,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PlayerCaughtOffside', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 217]",True,22.0,81.375,65.008,,,,,,,,,10.0,André Franco,,Maritimo,Estoril,
2379185249.0,5.0,0.0,264.0,329366.0,30.765,16.592,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,22.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379185687.0,6.0,0.0,264.0,422005.0,20.790000000000006,18.972,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'IndirectFreekickTaken', 'Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'FreekickTaken']","[91, 117, 30, 132, 36, 37, 215, 218]",True,46.0,22.47,43.724000000000004,,,,,,,,,,,False,Maritimo,Estoril,0.0
2379185811.0,7.0,0.0,264.0,137058.0,24.675,47.6,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,51.0,28.245,65.48400000000001,,,,,,,,,,,False,Maritimo,Estoril,-0.0002364500000000009
2379185855.0,8.0,0.0,264.0,329366.0,27.51,63.98800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,54.0,38.115,56.44000000000001,,,,,,,,,,,False,Maritimo,Estoril,0.0036986500000000012
2379185881.0,9.0,0.0,264.0,241843.0,37.59,56.16800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,56.0,37.065,64.66800000000002,,,,,,,,,,,False,Maritimo,Estoril,-0.0008845199999999998
2379185971.0,10.0,0.0,264.0,329366.0,36.75,65.008,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'StandingSave', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,58.0,28.875,61.2,,,,,,,,,,,False,Maritimo,Estoril,-0.0014860800000000007
