id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2377230497.0,2.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377230499.0,2.0,0.0,0.0,5948.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377241221.0,884.0,0.0,0.0,5948.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377241231.0,753.0,0.0,0.0,2188.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377227267.0,1.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377227289.0,1.0,0.0,0.0,5948.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,,Estoril,Arouca,
2377230505.0,3.0,0.0,0.0,2188.0,52.815,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,69742.0,42.0,24.48,,,,,,,,,,,17.0,Rui Fonte,False,Estoril,Arouca,-0.00215424
2377230517.0,4.0,0.0,1.0,2188.0,40.74,24.48,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,421893.0,30.450000000000006,46.784,,,,,,,,,,,10.0,André Franco,False,Estoril,Arouca,-0.0015871199999999992
,,0.0,1.0,,30.450000000000006,46.784,,,Carry,,,,,421890.0,32.550000000000004,46.51200000000001,,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Arouca,0.0
2377230525.0,5.0,0.0,5.0,2188.0,32.550000000000004,46.51200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,421890.0,33.81,25.568,,,,,,,,,,,3.0,Bernardo Vital,False,Estoril,Arouca,0.0002191399999999996
,,0.0,5.0,,33.81,25.568,,,Carry,,,,,356232.0,35.385000000000005,18.360000000000003,,,,,,,,,,,97.0,Patrick Willian,False,Estoril,Arouca,-0.0002191399999999996
2377230533.0,6.0,0.0,11.0,2188.0,35.385000000000005,18.360000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,356232.0,15.645000000000001,30.804000000000002,,,,,,,,,,,97.0,Patrick Willian,False,Estoril,Arouca,-0.00027740000000000056
,,0.0,11.0,,15.645000000000001,30.804000000000002,,,Carry,,,,,349664.0,9.45,25.432000000000002,,,,,,,,,,,12.0,Thiago Rodrigues,False,Estoril,Arouca,-0.0019473200000000006
