id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2385013211.0,3.0,0.0,19.0,296.0,67.515,61.54000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 139, 205, 36, 38, 217, 218]",True,283978.0,84.105,59.704,,,,,,,,,,,,True,Sporting,Estoril,0.01011252
2385013215.0,4.0,0.0,21.0,296.0,84.105,59.704,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135563.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385013231.0,13.0,0.0,21.0,2188.0,25.83,16.252,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421890.0,,,,,,,,,,,,3.0,Bernardo Vital,,Sporting,Estoril,
2385013219.0,5.0,0.0,21.0,296.0,84.105,59.704,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY']","[91, 120, 29, 36, 38, 217, 218]",True,135563.0,84.315,55.48800000000002,,,,,,,,,,,,False,Sporting,Estoril,0.0019695999999999984
2385013247.0,14.0,0.0,23.0,2188.0,25.830000000000002,16.252,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,421890.0,38.010000000000005,25.568,,,,,,,,,,3.0,Bernardo Vital,False,Sporting,Estoril,0.0032026400000000014
,,0.0,23.0,,38.010000000000005,25.568,,,Carry,,,,,142746.0,37.275,30.6,,,,,,,,,,6.0,Francisco Geraldes,False,Sporting,Estoril,0.0
2385013269.0,15.0,0.0,25.0,2188.0,37.275,30.6,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,142746.0,39.165,45.696000000000005,,,,,,,,,,6.0,Francisco Geraldes,False,Sporting,Estoril,6.527999999999916e-05
,,0.0,25.0,,39.165,45.696000000000005,,,Carry,,,,,105928.0,45.57,47.39600000000001,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.00159954
2385013297.0,16.0,0.0,28.0,2188.0,45.57,47.39600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,105928.0,67.41000000000001,65.824,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.00315932
,,0.0,28.0,,67.41000000000001,65.824,,,Carry,,,,,329403.0,91.875,52.156000000000006,,,,,,,,,,11.0,Arthur Gomes,True,Sporting,Estoril,0.023219319999999998
2385013305.0,17.0,0.0,35.0,2188.0,91.875,52.156000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,329403.0,102.79500000000004,51.544000000000004,,,,,,,,,,11.0,Arthur Gomes,False,Sporting,Estoril,0.00580729
,,0.0,35.0,,102.79500000000004,51.544000000000004,,,Carry,,,,,105928.0,103.11000000000001,48.21200000000001,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.017948739999999998
2385013319.0,18.0,0.0,36.0,2188.0,103.11000000000001,48.21200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[91, 120, 29, 35, 38, 217, 218]",True,105928.0,100.69500000000001,39.644,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.19302766999999998
2385013323.0,6.0,0.0,37.0,296.0,4.095,27.200000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 94, 95, 215]",True,395992.0,0.0,23.732,,,,,,,,,,,,,Sporting,Estoril,
2385013325.0,7.0,0.0,37.0,296.0,0.0,24.344,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'Zone', 'OppositeRelatedEvent']",[122],False,395992.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385013329.0,19.0,0.0,37.0,2188.0,105.0,43.656000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['OppositeRelatedEvent', 'MissLeft', 'Zone']",[122],False,105928.0,,,,,,,,,,,,31.0,Joãozinho,,Sporting,Estoril,
2385013463.0,20.0,1.0,2.0,2188.0,104.58,67.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'CornerTaken', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 31, 32, 34, 35, 38, 217, 218]",True,329403.0,100.80000000000001,55.48800000000002,,,,,,,,,,11.0,Arthur Gomes,True,Sporting,Estoril,0.00855131
2385013481.0,21.0,1.0,3.0,2188.0,101.22000000000001,54.94400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,354446.0,93.66000000000001,63.51200000000001,,,,,,,,,,9.0,André Clóvis,False,Sporting,Estoril,-0.011626489999999996
,,1.0,3.0,,93.66000000000001,63.51200000000001,,,Carry,,,,,329403.0,100.905,62.22000000000001,,,,,,,,,,11.0,Arthur Gomes,False,Sporting,Estoril,0.003075179999999997
2385013529.0,22.0,1.0,7.0,2188.0,100.905,62.22000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'IntentionalAssist', 'Angle', 'PassEndX', 'PassEndY', 'Cross', 'ShotAssist', 'Chipped', 'LeftFoot', 'Zone', 'Longball', 'StandingSave', 'KeyPass']","[91, 119, 123, 138, 124, 125, 39, 41, 35, 38, 217, 218]",True,329403.0,93.03,28.900000000000002,,,,,,,,,,11.0,Arthur Gomes,True,Sporting,Estoril,0.07012512
2385013539.0,23.0,1.0,10.0,2188.0,93.24,27.472,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[197, 199]",False,402736.0,,,,,,,,,,,,28.0,Nahuel Ferraresi,,Sporting,Estoril,
2385013531.0,8.0,1.0,10.0,296.0,11.76,40.528000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[198, 200]",False,283978.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385013543.0,24.0,1.0,10.0,2188.0,92.61,27.744,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",MissedShots,Successful,"['FromCorner', 'Head', 'Zone', 'RelatedEventId', 'GoalMouthZ', 'IntentionalAssist', 'GoalMouthY', 'Assisted', 'BoxCentre']","[91, 7, 90, 10, 86, 1, 5, 14]",True,402736.0,,,22.0,329403.0,41.7,58.5,True,,,,,28.0,Nahuel Ferraresi,,Sporting,Estoril,
2385013689.0,10.0,1.0,23.0,296.0,4.305,40.120000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'GoalKick', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,23285.0,7.665,52.224000000000004,,,,,,,,,,,,False,Sporting,Estoril,-0.0019098400000000003
2385013691.0,11.0,1.0,33.0,296.0,7.665,52.224000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,106597.0,4.095,37.672000000000004,,,,,,,,,,,,False,Sporting,Estoril,0.0019098400000000003
2385013699.0,12.0,1.0,34.0,296.0,4.095,37.672000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,23285.0,2.7300000000000013,16.796,,,,,,,,,,,,False,Sporting,Estoril,-0.0019098400000000003
2385013723.0,13.0,1.0,36.0,296.0,2.7300000000000013,16.796,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,70953.0,14.700000000000001,3.3320000000000003,,,,,,,,,,,,False,Sporting,Estoril,0.0002954400000000001
2385013793.0,14.0,1.0,42.0,296.0,21.735,20.06,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone', 'StandingSave']","[91, 117, 127, 36, 37, 215, 218]",True,362352.0,28.14,62.62800000000002,,,,,,,,,,,,False,Sporting,Estoril,-0.0002364500000000009
2385013819.0,15.0,1.0,48.0,296.0,48.089999999999996,56.71200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,283978.0,59.85,65.41600000000001,,,,,,,,,,,,False,Sporting,Estoril,0.0008905599999999986
2385013831.0,16.0,1.0,51.0,296.0,60.90000000000001,64.66800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,394933.0,57.855000000000004,56.1,,,,,,,,,,,,False,Sporting,Estoril,0.001382170000000002
2385013851.0,17.0,1.0,52.0,296.0,57.855000000000004,56.1,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,344378.0,54.81,61.336000000000006,,,,,,,,,,,,False,Sporting,Estoril,-0.001382170000000002
2385013871.0,18.0,1.0,56.0,296.0,50.925000000000004,50.79600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,394933.0,46.2,31.552,,,,,,,,,,,,False,Sporting,Estoril,0.0005547
2385013885.0,19.0,1.0,59.0,296.0,46.2,29.92,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Longball', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 119, 117, 127, 36, 38, 216, 218]",True,395992.0,60.58500000000002,1.088,,,,,,,,,,,,False,Sporting,Estoril,-0.0001100200000000006
2385013897.0,20.0,2.0,2.0,296.0,60.27,2.5160000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'PassEndY', 'Length', 'Zone', 'PassEndX', 'Angle', 'Longball', 'StandingSave']","[91, 120, 124, 128, 36, 37, 217, 218]",True,362352.0,84.105,32.504,,,,,,,,,,,,True,Sporting,Estoril,0.0203773
2385013895.0,26.0,2.0,4.0,2188.0,21.0,35.428000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,421890.0,,,,,,,,,,,,3.0,Bernardo Vital,,Sporting,Estoril,
2385013901.0,21.0,2.0,4.0,296.0,84.0,32.572,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[198, 199]",False,344378.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385013909.0,27.0,2.0,5.0,2188.0,20.790000000000003,32.096000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Head', 'Length', 'Zone', 'PassEndX', 'Angle', 'PassEndY']","[91, 94, 95, 57, 215]",True,421890.0,25.62,49.028,,,,,,,,,,3.0,Bernardo Vital,,Sporting,Estoril,
2385013921.0,28.0,2.0,6.0,2188.0,22.89,52.156000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'HeadPass', 'Angle']","[91, 117, 30, 139, 36, 37, 216, 218]",True,402736.0,40.425,52.564,,,,,,,,,,28.0,Nahuel Ferraresi,False,Sporting,Estoril,0.002723370000000001
2385013947.0,29.0,2.0,7.0,2188.0,40.425,52.564,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'Length', 'HeadPass', 'PassEndY', 'StandingSave']","[91, 117, 30, 139, 35, 37, 215, 218]",True,329403.0,30.975,63.98800000000002,,,,,,,,,,11.0,Arthur Gomes,False,Sporting,Estoril,-0.0023706000000000005
2385013949.0,30.0,2.0,9.0,2188.0,30.975,63.988,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,105928.0,,,,,,,,,,,,31.0,Joãozinho,,Sporting,Estoril,
,,2.0,9.0,,30.975,63.98800000000002,,,Carry,,,,,105928.0,28.98000000000001,62.016000000000005,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.0
2385013959.0,31.0,2.0,12.0,2188.0,28.98000000000001,62.016000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX']","[91, 117, 30, 38, 215, 218]",True,105928.0,28.98000000000001,54.40000000000001,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.0008183100000000009
2385013979.0,32.0,2.0,13.0,2188.0,29.71500000000001,54.604,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,421892.0,28.14,63.44400000000001,,,,,,,,,,32.0,Loreintz Rosier,False,Sporting,Estoril,-0.0008183100000000009
2385013987.0,33.0,2.0,15.0,2188.0,29.19,63.78400000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY', 'StandingSave']","[91, 118, 120, 29, 36, 37, 216, 218]",True,105928.0,38.745,65.144,,,,,,,,,,31.0,Joãozinho,False,Sporting,Estoril,0.0014860800000000007
2385013999.0,22.0,2.0,16.0,296.0,65.83500000000001,3.74,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'HeadPass']","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,70953.0,72.34500000000001,4.352,,,,,,,,,,,,False,Sporting,Estoril,0.00377069
2385014003.0,23.0,2.0,17.0,296.0,72.03,4.352,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave', 'OtherBodyPart']","[91, 69]",True,362352.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385014025.0,34.0,2.0,18.0,2188.0,32.550000000000004,57.46,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'PassEndX', 'Longball', 'Angle', 'Zone', 'Length']","[91, 120, 128, 36, 38, 217, 218]",True,421892.0,78.75,51.204,,,,,,,,,,32.0,Loreintz Rosier,True,Sporting,Estoril,0.013420309999999998
2385014027.0,24.0,2.0,22.0,296.0,31.185,21.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395992.0,,,,,,,,,,,,,,,Sporting,Estoril,
2385014079.0,25.0,2.0,22.0,296.0,29.085,22.1,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,395992.0,9.45,37.74,,,,,,,,,,,,False,Sporting,Estoril,-0.0016940600000000007
2385014093.0,26.0,2.0,32.0,296.0,14.91,36.924000000000014,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,23285.0,25.095,34.61200000000001,,,,,,,,,,,,False,Sporting,Estoril,-0.000661730000000001
2385014105.0,27.0,2.0,36.0,296.0,26.35500000000001,38.89600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,395992.0,22.575,53.992,,,,,,,,,,,,False,Sporting,Estoril,-0.0007416699999999998
2385014117.0,28.0,2.0,39.0,296.0,22.575,53.992,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,106597.0,27.405,65.48400000000001,,,,,,,,,,,,False,Sporting,Estoril,0.0003527700000000005
2385014137.0,29.0,2.0,41.0,296.0,27.72,65.212,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,283978.0,18.06,56.44000000000001,,,,,,,,,,,,False,Sporting,Estoril,0.00033735000000000015
2385014155.0,30.0,2.0,43.0,296.0,19.635000000000005,52.836000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,106597.0,22.365000000000002,36.924000000000014,,,,,,,,,,,,False,Sporting,Estoril,0.0007416699999999998
2385014163.0,31.0,2.0,47.0,296.0,27.72,31.552,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,395992.0,30.345,17.476,,,,,,,,,,,,False,Sporting,Estoril,0.0009391300000000016
2385014175.0,32.0,2.0,49.0,296.0,31.5,17.612000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,70953.0,39.48,21.488000000000003,,,,,,,,,,,,False,Sporting,Estoril,0.0015871199999999992
2385014191.0,33.0,2.0,50.0,296.0,39.48,21.352,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,408962.0,39.165,1.904,,,,,,,,,,,,False,Sporting,Estoril,-0.0014290699999999993
2385014225.0,34.0,2.0,53.0,296.0,38.535,3.6040000000000014,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,94868.0,36.64500000000001,14.756,,,,,,,,,,,,False,Sporting,Estoril,0.0008845199999999998
2385014241.0,35.0,2.0,58.0,296.0,42.73500000000002,22.712,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,70953.0,48.300000000000004,38.556,,,,,,,,,,,,False,Sporting,Estoril,0.00215424
2385014261.0,36.0,3.0,0.0,296.0,49.35,40.528000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,395992.0,64.155,58.07200000000001,,,,,,,,,,,,False,Sporting,Estoril,0.00385749
2385014275.0,35.0,3.0,3.0,2188.0,32.655,13.056,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,322665.0,,,,,,,,,,,,92.0,António Xavier,,Sporting,Estoril,
