id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2389664633.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389664623.0,2.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389719399.0,715.0,0.0,0.0,2188.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389719411.0,1002.0,0.0,0.0,290.0,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389634657.0,1.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamFormation', 'JerseyNumber', 'CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389636025.0,1.0,0.0,0.0,2188.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'InvolvedPlayers', 'TeamFormation', 'JerseyNumber', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,Gil Vicente,Estoril,
2389664681.0,3.0,0.0,0.0,2188.0,52.29,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'StandingSave', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,342704.0,39.27000000000001,26.860000000000007,,,,,,,,,18.0,Leonardo Ruiz,False,Gil Vicente,Estoril,-0.002219519999999999
,,0.0,0.0,,39.27000000000001,26.860000000000007,,,Carry,,,,,421893.0,39.375,23.12,,,,,,,,,10.0,André Franco,False,Gil Vicente,Estoril,6.527999999999916e-05
2389664709.0,4.0,0.0,2.0,2188.0,39.375,23.12,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,421893.0,23.835,50.048000000000016,,,,,,,,,10.0,André Franco,False,Gil Vicente,Estoril,-0.002678699999999999
2389664745.0,5.0,0.0,4.0,2188.0,23.94,50.25200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,149140.0,25.830000000000002,63.17200000000001,,,,,,,,,15.0,Raúl Silva,False,Gil Vicente,Estoril,-0.0015645000000000017
