id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isOwnGoal,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2324558495.0,2.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324558489.0,2.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324629587.0,758.0,0.0,0.0,935.0,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324629593.0,918.0,0.0,0.0,296.0,0.0,0.0,11.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324517179.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'PlayerPosition', 'CaptainPlayerId', 'TeamPlayerFormation', 'InvolvedPlayers', 'TeamFormation']",[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324521293.0,1.0,0.0,0.0,935.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'PlayerPosition', 'CaptainPlayerId', 'JerseyNumber', 'TeamPlayerFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324558529.0,3.0,0.0,0.0,296.0,52.395,34.20400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'Angle', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,135563.0,35.805,35.90400000000001,,,,,,,,,,,,,False,Famalicao,Sporting,-0.0035222199999999995
2324558567.0,4.0,0.0,1.0,296.0,35.805,36.04,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY']","[90, 116, 29, 34, 36, 214, 217]",True,322774.0,28.56,53.38,,,,,,,,,,,,,False,Famalicao,Sporting,-0.0007288599999999996
2324558623.0,5.0,0.0,4.0,296.0,27.615000000000002,52.496,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,106597.0,9.66,36.448,,,,,,,,,,,,,False,Famalicao,Sporting,-0.0011843400000000007
2324558653.0,6.0,0.0,8.0,296.0,9.555,35.22400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'Length', 'PassEndX', 'PassEndY']","[90, 116, 29, 35, 37, 214, 217]",True,23285.0,13.334999999999999,18.972,,,,,,,,,,,,,False,Famalicao,Sporting,0.0003668899999999999
2324558729.0,7.0,0.0,13.0,296.0,24.150000000000002,17.81600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Chipped', 'Zone', 'Longball', 'StandingSave', 'PassEndX', 'Angle', 'Length']","[90, 119, 123, 127, 35, 37, 216, 217]",True,395992.0,95.34,7.208000000000001,,,,,,,,,,,,,True,Famalicao,Sporting,0.02483768
2324558717.0,3.0,0.0,19.0,935.0,7.035,62.220000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,400826.0,,,,,,,,,,,,,31.0,Luiz Júnior,,Famalicao,Sporting,
2324558787.0,4.0,0.0,19.0,935.0,6.615,62.56,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'Length', 'PassEndX', 'Longball', 'PassEndY']","[90, 116, 126, 35, 37, 214, 217]",True,400826.0,22.26,29.036000000000005,,,,,,,,,,,31.0,Luiz Júnior,False,Famalicao,Sporting,0.0037824599999999996
,,0.0,19.0,,22.26,29.036000000000005,,,Carry,,,,,380619.0,20.685,28.832000000000004,,,,,,,,,,,15.0,Riccieli,False,Famalicao,Sporting,0.0
2324558795.0,5.0,0.0,21.0,935.0,20.685,28.832000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Chipped', 'StandingSave', 'Length', 'PassEndX', 'PassEndY']","[90, 117, 119, 28, 123, 35, 36, 215, 217]",True,380619.0,37.38,36.516000000000005,,,,,,,,,,,15.0,Riccieli,False,Famalicao,Sporting,0.0024609700000000016
2324558797.0,8.0,0.0,23.0,296.0,71.82000000000001,26.588000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[90, 100, 55]",True,394933.0,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324558825.0,9.0,0.0,24.0,296.0,71.29500000000003,26.18000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length']","[90, 118, 116, 29, 34, 36, 215, 217]",True,394933.0,64.47,29.10400000000001,,,,,,,,,,,,,False,Famalicao,Sporting,-0.0038807899999999985
2324558829.0,10.0,0.0,26.0,296.0,64.47,29.24,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,322774.0,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324558855.0,11.0,0.0,26.0,296.0,64.47,29.240000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Length', 'Zone', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,322774.0,46.935,41.752,,,,,,,,,,,,,False,Famalicao,Sporting,-0.005124720000000001
2324558859.0,12.0,0.0,28.0,296.0,46.935,41.752,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[90, 68]",True,106597.0,,,,,,,,,,,,,,,,Famalicao,Sporting,
2324558869.0,6.0,0.0,29.0,935.0,41.685,25.840000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,119622.0,,,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Sporting,
2325633225.0,762.0,0.0,29.0,935.0,48.09,24.276000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[90, 53]",True,119622.0,,,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Sporting,
2325633227.0,924.0,0.0,29.0,296.0,56.91,43.724,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'OppositeRelatedEvent', 'Zone']",[54],False,106597.0,,,,,,,,,,,,,,,,Famalicao,Sporting,
,,0.0,29.0,,41.685,25.84000000000001,,,Carry,,,,,119622.0,48.089999999999996,24.276000000000003,,,,,,,,,,,7.0,Ivo Rodrigues,False,Famalicao,Sporting,0.0016648199999999991
2324558947.0,7.0,0.0,30.0,935.0,41.685,25.84000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'Angle']","[90, 116, 29, 35, 36, 215, 217]",True,119622.0,43.89,32.776,,,,,,,,,,,7.0,Ivo Rodrigues,False,Famalicao,Sporting,0.0
,,0.0,30.0,,43.89,32.776,,,Carry,,,,,402892.0,76.125,51.816,,,,,,,,,,,10.0,Iván Jaime,True,Famalicao,Sporting,0.011388749999999998
2324558987.0,8.0,0.0,36.0,935.0,76.125,51.816,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,402892.0,86.625,63.24,,,,,,,,,,,10.0,Iván Jaime,False,Famalicao,Sporting,0.0035479100000000013
,,0.0,36.0,,86.625,63.24,,,Carry,,,,,297245.0,84.73500000000004,65.008,,,,,,,,,,,11.0,Bruno Rodrigues,False,Famalicao,Sporting,0.0
