id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2331424657.0,8.0,0.0,17.0,935.0,50.82,24.34400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[90, 118, 116, 29, 35, 37, 215, 217]",True,422248.0,58.17,22.032,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Maritimo,0.0025646799999999997
2331424677.0,9.0,0.0,20.0,935.0,57.54,23.256000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Foul', 'OppositeRelatedEvent', 'Offensive']","[90, 62]",True,316532.0,,,,,,,,,,,6.0,Charles Pickel,,Famalicao,Maritimo,
2331424705.0,11.0,0.0,20.0,264.0,47.46000000000001,44.744,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Foul', 'StandingSave', 'Zone']",[63],False,114188.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331425033.0,10.0,0.0,28.0,935.0,57.75,21.284000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'FreekickTaken', 'PassEndX', 'Angle']","[90, 116, 29, 131, 34, 37, 215, 217]",True,316532.0,38.535,20.264000000000003,,,,,,,,,6.0,Charles Pickel,False,Famalicao,Maritimo,-0.00416422
2331425145.0,11.0,0.0,30.0,935.0,38.535,20.264000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Angle', 'Zone']","[90, 116, 29, 35, 36, 215, 217]",True,422248.0,38.745,51.00000000000002,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Maritimo,-0.0005445499999999995
2331425199.0,12.0,0.0,34.0,935.0,38.745,51.00000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'StandingSave', 'PassEndX', 'Angle']","[90, 118, 116, 29, 35, 36, 215, 217]",True,365413.0,69.72000000000001,55.62400000000001,,,,,,,,,4.0,Alex,True,Famalicao,Maritimo,0.006556279999999999
2331425351.0,13.0,0.0,35.0,935.0,69.72000000000001,55.62400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone', 'StandingSave']","[90, 118, 116, 29, 34, 37, 215, 217]",True,365414.0,56.38500000000001,46.58000000000001,,,,,,,,,9.0,Marcos Paulo,False,Famalicao,Maritimo,-0.0018475100000000001
2331425415.0,14.0,0.0,36.0,935.0,55.964999999999996,46.51200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[90, 116, 29, 34, 37, 215, 217]",True,344716.0,47.775,29.648000000000003,,,,,,,,,88.0,Pêpê,False,Famalicao,Maritimo,-0.0020099799999999998
2331425609.0,15.0,0.0,39.0,935.0,48.72,29.240000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Longball', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[90, 118, 116, 126, 204, 35, 37, 216, 217]",True,422248.0,72.97500000000002,3.944,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Maritimo,0.00637531
2331425751.0,16.0,0.0,44.0,935.0,73.39500000000001,3.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY', 'Angle']","[90, 118, 116, 29, 204, 35, 216, 217]",True,119622.0,82.425,3.808,,,,,,,,,7.0,Ivo Rodrigues,False,Famalicao,Maritimo,0.00634183
,,0.0,44.0,,82.425,3.808,,,Carry,,,,,96207.0,76.33500000000001,2.5840000000000005,,,,,,,,,90.0,Diogo Figueiras,False,Famalicao,Maritimo,-0.00634183
2331425847.0,17.0,0.0,47.0,935.0,76.33500000000001,2.5840000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle']","[90, 118, 116, 29, 34, 36, 215, 217]",True,96207.0,64.78500000000001,7.48,,,,,,,,,90.0,Diogo Figueiras,False,Famalicao,Maritimo,-0.00377069
2331425915.0,18.0,0.0,49.0,935.0,64.78500000000001,7.48,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle']","[90, 116, 29, 34, 36, 215, 217]",True,316532.0,50.61000000000002,18.156000000000002,,,,,,,,,6.0,Charles Pickel,False,Famalicao,Maritimo,-0.00315932
2331426045.0,19.0,0.0,51.0,935.0,50.61000000000002,18.156000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Zone', 'Length']","[90, 116, 29, 34, 36, 215, 217]",True,422248.0,48.72,46.172,,,,,,,,,43.0,Alexandre Penetra,False,Famalicao,Maritimo,0.0
,,0.0,51.0,,48.72,46.172,,,Carry,,,,,365413.0,55.44,53.516000000000005,,,,,,,,,4.0,Alex,False,Famalicao,Maritimo,0.0018268500000000014
2331426139.0,20.0,0.0,55.0,935.0,55.44,53.516000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Angle']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,365413.0,73.71000000000001,56.16800000000002,,,,,,,,,4.0,Alex,True,Famalicao,Maritimo,0.007897079999999997
,,0.0,55.0,,73.71000000000001,56.16800000000002,,,Carry,,,,,365414.0,66.465,56.1,,,,,,,,,9.0,Marcos Paulo,False,Famalicao,Maritimo,-0.005311739999999999
2331426153.0,21.0,0.0,57.0,935.0,66.465,56.1,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[90, 69]",True,365414.0,,,,,,,,,,,9.0,Marcos Paulo,,Famalicao,Maritimo,
