id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2366574563.0,8.0,0.0,27.0,5948.0,37.17,23.732,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,83058.0,48.825,24.276000000000003,,,,,,,,,,,,,False,Arouca,Vizela,0.00159954
2366574577.0,9.0,0.0,28.0,5948.0,47.88,24.412,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,322648.0,36.330000000000005,26.656,,,,,,,,,,,,,False,Arouca,Vizela,-0.0029675199999999995
2366574583.0,10.0,0.0,32.0,5948.0,33.075,31.688,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,83058.0,34.965,19.448000000000004,,,,,,,,,,,,,False,Arouca,Vizela,-0.0002191399999999996
2366574587.0,11.0,0.0,32.0,5948.0,35.28,20.876,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,322648.0,31.5,31.688,,,,,,,,,,,,,False,Arouca,Vizela,0.0002191399999999996
2366574595.0,12.0,0.0,34.0,5948.0,31.5,31.688,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,83058.0,39.9,29.92,,,,,,,,,,,,,False,Arouca,Vizela,0.0013027000000000004
2366574601.0,13.0,0.0,35.0,5948.0,39.9,29.92,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,316658.0,31.185000000000002,19.788000000000004,,,,,,,,,,,,,False,Arouca,Vizela,-0.00152184
2366574615.0,14.0,0.0,36.0,5948.0,31.185000000000002,19.788000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,322648.0,44.20500000000001,23.052,,,,,,,,,,,,,False,Arouca,Vizela,0.0015871199999999992
2366574627.0,15.0,0.0,38.0,5948.0,44.20500000000001,23.052,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Longball', 'Angle', 'Zone']","[91, 120, 128, 36, 37, 217, 218]",True,326486.0,78.96000000000001,33.32,,,,,,,,,,,,,True,Arouca,Vizela,0.01115975
2366574637.0,10.0,0.0,40.0,2899.0,32.865,36.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,342610.0,,,,,,,,,,,,,39.0,Koffi Kouao,,Arouca,Vizela,
2366574643.0,11.0,0.0,41.0,2899.0,32.865,36.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,342610.0,16.065000000000005,35.63200000000002,,,,,,,,,,,39.0,Koffi Kouao,False,Arouca,Vizela,-0.0004965400000000002
2366574653.0,12.0,0.0,43.0,2899.0,16.065000000000005,35.63200000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length', 'Longball', 'StandingSave']","[91, 120, 128, 36, 37, 216, 218]",True,280347.0,58.38,37.74,,,,,,,,,,,87.0,Charles,True,Arouca,Vizela,0.006068059999999998
2366574667.0,16.0,0.0,46.0,5948.0,43.995,27.200000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'HeadPass', 'StandingSave', 'Angle']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,326486.0,48.93000000000002,10.540000000000001,,,,,,,,,,,,,False,Arouca,Vizela,0.00121894
2366574685.0,17.0,0.0,51.0,5948.0,44.73,26.384,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,316658.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366574679.0,13.0,0.0,51.0,2899.0,63.73500000000002,51.884,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Zone']","[91, 120, 29, 35, 38, 216, 218]",True,344143.0,62.895,41.208000000000006,,,,,,,,,,,22.0,Kévin Zohi,False,Arouca,Vizela,0.0012672300000000011
2366574699.0,14.0,0.0,53.0,2899.0,61.74,43.248000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'OppositeRelatedEvent', 'Foul', 'Offensive']","[91, 63]",True,344143.0,,,,,,,,,,,,,22.0,Kévin Zohi,,Arouca,Vizela,
2366574695.0,18.0,0.0,53.0,5948.0,43.260000000000005,24.752,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive', 'Foul']",[64],False,316658.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366574917.0,15.0,1.0,25.0,2899.0,65.10000000000001,41.61600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'FreekickTaken', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 117, 30, 132, 35, 37, 216, 218]",True,66224.0,51.13500000000001,44.064,,,,,,,,,,,17.0,Marcos Paulo,False,Arouca,Vizela,-0.005679420000000001
