id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379843325.0,9.0,0.0,25.0,2899.0,43.89,64.94,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']","[91, 142]",True,119543.0,,,,,,,,,,,,9.0,Cassiano,,Boavista,Vizela,
2379843751.0,18.0,0.0,25.0,122.0,56.91,2.176,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,400993.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379843519.0,11.0,0.0,35.0,2899.0,43.47,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle', 'ThrowIn']","[91, 212, 36, 38, 216]",True,124107.0,56.07,64.80400000000002,,,,,,,,,,37.0,Richard Ofori,False,Boavista,Vizela,0.0034732899999999987
2380124371.0,789.0,0.0,36.0,122.0,47.25,3.74,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,400993.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379843477.0,13.0,0.0,36.0,122.0,49.77,3.264,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[91, 70]",True,400993.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379843543.0,12.0,0.0,36.0,2899.0,55.23,64.736,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']","[91, 143]",True,119543.0,,,,,,,,,,,,9.0,Cassiano,,Boavista,Vizela,
2379843647.0,15.0,0.0,42.0,122.0,55.755,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'ThrowIn']","[91, 212, 36, 37, 216]",True,400993.0,66.88500000000002,10.948000000000002,,,,,,,,,,,,True,Boavista,Vizela,0.0039675100000000005
2380124469.0,868.0,0.0,45.0,2899.0,36.015,58.412000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,421851.0,,,,,,,,,,,,79.0,Nuno Moreira,,Boavista,Vizela,
2379843663.0,16.0,0.0,45.0,122.0,66.25500000000001,10.812000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 120, 29, 35, 38, 216, 218]",True,404198.0,64.78500000000001,8.568,,,,,,,,,,,,False,Boavista,Vizela,0.0
2379843701.0,17.0,0.0,46.0,122.0,68.565,4.0120000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone']","[91, 120, 29, 36, 37, 217, 218]",True,400993.0,88.30499999999999,22.508000000000003,,,,,,,,,,,,True,Boavista,Vizela,0.03746078
