id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368779317.0,7.0,0.0,15.0,297.0,24.150000000000002,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,322771.0,8.61,37.536,,,,,,,,,,,,,False,Vizela,Porto,-0.0006024800000000007
2368779345.0,8.0,0.0,18.0,297.0,8.715000000000002,34.88400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,373842.0,19.32,18.632,,,,,,,,,,,,,False,Vizela,Porto,0.0006024800000000007
2368779373.0,9.0,0.0,21.0,297.0,22.68000000000001,19.584000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,104368.0,21.525000000000002,47.12400000000001,,,,,,,,,,,,,False,Vizela,Porto,0.0
2368779433.0,10.0,0.0,24.0,297.0,21.0,45.15200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Longball', 'PassEndY', 'Length', 'Angle', 'Chipped', 'StandingSave', 'PassEndX']","[91, 117, 124, 127, 36, 38, 216, 218]",True,322771.0,46.410000000000004,5.372000000000001,,,,,,,,,,,,,False,Vizela,Porto,0.0024703999999999993
2368779437.0,11.0,0.0,28.0,297.0,44.31,7.48,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,395173.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368779429.0,6.0,0.0,28.0,2899.0,60.69,60.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Zone', 'Defensive', 'StandingSave', 'OppositeRelatedEvent', 'Foul']",[64],False,344143.0,,,,,,,,,,,,,22.0,Kévin Zohi,,Vizela,Porto,
2368779595.0,12.0,0.0,50.0,297.0,41.685,11.56,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'FreekickTaken', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 132, 36, 37, 216, 218]",True,104368.0,48.93000000000002,21.42,,,,,,,,,,,,,False,Vizela,Porto,0.0021440899999999995
2368779629.0,13.0,0.0,53.0,297.0,53.865,25.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,384887.0,46.83000000000001,45.356,,,,,,,,,,,,,False,Vizela,Porto,-0.0026039999999999987
2368779647.0,14.0,0.0,58.0,297.0,46.725,46.784,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,358801.0,53.445,44.47200000000001,,,,,,,,,,,,,False,Vizela,Porto,0.0025646799999999997
2368779681.0,15.0,1.0,0.0,297.0,49.665,45.90000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,384887.0,40.32,36.65200000000001,,,,,,,,,,,,,False,Vizela,Porto,-0.0016648199999999991
