id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2322151153.0,2.0,0.0,8071.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322151141.0,2.0,0.0,1463.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322245087.0,793.0,0.0,8071.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322245103.0,640.0,0.0,1463.0,,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322123447.0,1.0,0.0,8071.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber', 'InvolvedPlayers', 'TeamFormation', 'CaptainPlayerId']",[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322124281.0,1.0,0.0,1463.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Tondela,Portimonense,
2322151197.0,3.0,0.0,1463.0,380546.0,52.5,34.476000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[90, 116, 29, 34, 37, 215, 217]",True,0.0,38.43,34.20400000000001,,,,,,,,,,14.0,Beto,False,Tondela,Portimonense,-0.002219519999999999
2322151233.0,4.0,0.0,1463.0,380545.0,38.43,34.816,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Angle', 'PassEndX', 'Length']","[90, 116, 29, 34, 37, 214, 217]",True,2.0,30.555000000000007,27.064000000000004,,,,,,,,,,4.0,Willyan,False,Tondela,Portimonense,-0.0013027000000000004
,,0.0,,342696.0,30.555000000000007,27.064000000000004,,,Carry,,,,,2.0,32.025,25.840000000000007,,,,,,,,,,3.0,Lucas Possignolo,False,Tondela,Portimonense,0.0
2322151243.0,5.0,0.0,1463.0,342696.0,32.025,25.840000000000007,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,4.0,31.605000000000008,48.55200000000001,,,,,,,,,,3.0,Lucas Possignolo,False,Tondela,Portimonense,-0.0002191399999999996
2322151285.0,6.0,0.0,1463.0,360107.0,31.71,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle']","[90, 116, 29, 35, 36, 215, 217]",True,7.0,41.160000000000004,64.464,,,,,,,,,,44.0,Pedrão,False,Tondela,Portimonense,0.00015804999999999986
2322151369.0,7.0,0.0,1463.0,373033.0,41.160000000000004,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX']","[90, 116, 29, 34, 37, 214, 217]",True,10.0,34.545,54.06,,,,,,,,,,5.0,Fali Candé,False,Tondela,Portimonense,-0.0006677699999999998
,,0.0,,360107.0,34.545,54.06,,,Carry,,,,,10.0,34.545,49.912000000000006,,,,,,,,,,44.0,Pedrão,False,Tondela,Portimonense,0.00050972
2322151421.0,8.0,0.0,1463.0,360107.0,34.545,49.912000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[90, 116, 29, 35, 37, 215, 217]",True,13.0,35.910000000000004,23.324000000000005,,,,,,,,,,44.0,Pedrão,False,Tondela,Portimonense,0.0
,,0.0,,342696.0,35.910000000000004,23.324000000000005,,,Carry,,,,,13.0,40.11000000000001,21.080000000000002,,,,,,,,,,3.0,Lucas Possignolo,False,Tondela,Portimonense,0.0015871199999999992
2322151471.0,9.0,0.0,1463.0,342696.0,40.11000000000001,21.080000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Length']","[90, 118, 116, 29, 35, 37, 215, 217]",True,17.0,52.815,4.488000000000001,,,,,,,,,,3.0,Lucas Possignolo,False,Tondela,Portimonense,-0.0002082999999999998
