name,minutes,playerId,team
Fabrício,551,106408.0,Portimonense
Pedro Sá,829,342698.0,Portimonense
Lucas Fernandes,914,317741.0,Portimonense
Fali Candé,1254,373033.0,Portimonense
Willyan,1333,380545.0,Portimonense
Aylton Boa Morte,1115,342996.0,Portimonense
Lucas Possignolo,1325,342696.0,Portimonense
Fahd Moufi,1530,308886.0,Portimonense
Carlinhos,1211,116103.0,Portimonense
Pedrão,1421,360107.0,Portimonense
Samuel,1620,310029.0,Portimonense
Iván Angulo,1070,381687.0,Portimonense
Wilinton Aponza,526,423988.0,Portimonense
Filipe Relvas,394,422207.0,Portimonense
Henrique Jocú,9,422208.0,Portimonense
Anderson Oliveira,635,383619.0,Portimonense
Ewerton,301,342697.0,Portimonense
Renato Júnior,329,422211.0,Portimonense
Luquinhas,377,381910.0,Portimonense
Shoya Nakajima,572,345275.0,Portimonense
Abraham Marcus,82,425384.0,Portimonense
Giannelli Imbula,130,81959.0,Portimonense
Beto,275,380546.0,Portimonense
Achraf Lazaar,5,108374.0,Portimonense
Sana Gomes,-1,422209.0,Portimonense
Jeferson Bahia,13,422210.0,Portimonense
