id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2362014421.0,9.0,0.0,31.0,297.0,8.295,31.076000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'Longball', 'Length', 'Chipped']","[91, 117, 124, 127, 36, 38, 215, 218]",True,373842.0,28.77,2.924,,,,,,,,,,,,,False,Portimonense,Porto,0.00036602999999999983
2362014441.0,10.0,0.0,33.0,297.0,28.14,4.352,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,342701.0,27.195,19.108000000000004,,,,,,,,,,,,,False,Portimonense,Porto,0.0026560800000000016
2362014455.0,11.0,0.0,36.0,297.0,30.975,25.568,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,384887.0,26.985,16.728,,,,,,,,,,,,,False,Portimonense,Porto,-0.0007288599999999996
2362014537.0,12.0,0.0,38.0,297.0,27.195,16.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,114301.0,8.295,33.592,,,,,,,,,,,,,False,Portimonense,Porto,-1.3259999999999314e-05
2362014547.0,13.0,0.0,43.0,297.0,9.135,35.90400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,373842.0,15.120000000000001,29.648000000000003,,,,,,,,,,,,,False,Portimonense,Porto,0.0014166600000000001
2362014573.0,14.0,0.0,44.0,297.0,14.700000000000001,29.512,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,114301.0,8.085,34.88400000000001,,,,,,,,,,,,,False,Portimonense,Porto,-0.0014166600000000001
2362014593.0,15.0,0.0,47.0,297.0,8.19,34.816,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'Longball', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 127, 36, 38, 215, 218]",True,373842.0,20.37,4.0120000000000005,,,,,,,,,,,,,False,Portimonense,Porto,-0.0009620200000000009
2362014603.0,16.0,0.0,49.0,297.0,20.37,4.0120000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Angle', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,342701.0,10.08,12.988,,,,,,,,,,,,,False,Portimonense,Porto,0.00033735000000000015
2362014637.0,17.0,0.0,51.0,297.0,9.555,13.464000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,104368.0,23.625,11.764,,,,,,,,,,,,,False,Portimonense,Porto,0.0019230999999999996
2362014651.0,18.0,0.0,52.0,297.0,23.730000000000008,11.764,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Zone', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,384887.0,19.215,5.372000000000001,,,,,,,,,,,,,False,Portimonense,Porto,-0.0009752800000000002
