id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2350470799.0,2.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350470775.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350506601.0,877.0,0.0,0.0,288.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350506671.0,811.0,0.0,0.0,1463.0,0.0,0.0,8.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350462513.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'PlayerPosition', 'TeamFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350463359.0,1.0,0.0,0.0,288.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'JerseyNumber', 'InvolvedPlayers', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Braga,Portimonense,
2350470787.0,3.0,0.0,0.0,1463.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Zone', 'Angle', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,422211.0,41.160000000000004,41.956,,,,,,,,,,91.0,Renato Júnior,False,Braga,Portimonense,-0.002219519999999999
2350470811.0,4.0,0.0,2.0,1463.0,40.635000000000005,42.432,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'Length', 'Angle', 'PassEndX']","[90, 116, 29, 34, 37, 214, 217]",True,342698.0,26.880000000000006,26.384000000000004,,,,,,,,,,21.0,Pedro Sá,False,Braga,Portimonense,-0.0013027000000000004
,,0.0,2.0,,26.880000000000006,26.384000000000004,,,Carry,,,,,360107.0,22.47,23.12,,,,,,,,,,44.0,Pedrão,False,Braga,Portimonense,-0.00015244999999999842
2350470817.0,5.0,0.0,6.0,1463.0,22.47,23.12,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'StandingSave', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,360107.0,9.87,38.556,,,,,,,,,,44.0,Pedrão,False,Braga,Portimonense,0.0008141799999999994
,,0.0,6.0,,9.87,38.556,,,Carry,,,,,310029.0,8.085,37.536,,,,,,,,,,94.0,Samuel,False,Braga,Portimonense,0.0
2350470829.0,6.0,0.0,8.0,1463.0,8.085,37.536,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'PassEndX']","[90, 116, 29, 34, 37, 214, 217]",True,310029.0,7.14,9.996000000000002,,,,,,,,,,94.0,Samuel,False,Braga,Portimonense,-0.0019098400000000003
,,0.0,8.0,,7.14,9.996000000000002,,,Carry,,,,,360107.0,9.240000000000004,8.364,,,,,,,,,,44.0,Pedrão,False,Braga,Portimonense,0.0002954400000000001
2350470835.0,7.0,0.0,14.0,1463.0,9.240000000000004,8.364,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 214, 217]",True,360107.0,5.25,23.256000000000004,,,,,,,,,,44.0,Pedrão,False,Braga,Portimonense,0.00249687
2350470843.0,8.0,0.0,16.0,1463.0,5.25,23.256000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Angle', 'Longball', 'Zone', 'StandingSave', 'Length']","[90, 117, 119, 127, 35, 37, 214, 217]",True,310029.0,26.145,0.0,,,,,,,,,,94.0,Samuel,False,Braga,Portimonense,-0.0004313600000000004
