id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,isOwnGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2548051231.0,7.0,0.0,18.0,1463,58.065,65.008,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Angle', 'Zone']","[91, 120, 29, 36, 37, 216, 218]",True,116103.0,59.85,67.116,,,,,,,,,,,7.0,Carlinhos,False,Portimonense,Benfica,
2548051245.0,8.0,0.0,25.0,299,55.125,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'ThrowIn', 'PassEndY', 'Angle', 'Longball', 'Length']","[91, 212, 36, 37, 217]",True,303544.0,77.385,2.3120000000000003,,,,,,,,,,,,,True,Portimonense,Benfica,0.006485330000000001
2548051249.0,9.0,0.0,26.0,299,77.49,2.3800000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'Angle', 'PassEndY', 'OppositeRelatedEvent']","[91, 120, 29, 35, 37, 217, 218]",True,395802.0,72.765,5.576,,,,,,,,,,,,,False,Portimonense,Benfica,
2548154487.0,844.0,0.0,26.0,1463,23.205000000000002,61.336000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,422207.0,,,,,,,,,,,,,22.0,Filipe Relvas,,Portimonense,Benfica,
2548051253.0,8.0,0.0,28.0,1463,24.150000000000002,59.50000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,373777.0,,,,,,,,,,,,,23.0,Park Ji-Soo,,Portimonense,Benfica,
2548051309.0,9.0,0.0,28.0,1463,22.995,59.024,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,373777.0,6.93,37.468,,,,,,,,,,,23.0,Park Ji-Soo,False,Portimonense,Benfica,-1.3259999999999314e-05
,,0.0,28.0,1463,6.93,37.468,,,Carry,,,,,126293.0,5.670000000000001,30.872,,,,,,,,,,,32.0,Kosuke Nakamura,False,Portimonense,Benfica,0.0
2548051393.0,10.0,0.0,32.0,1463,5.670000000000001,30.872,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Zone', 'Length', 'StandingSave', 'Longball', 'Angle']","[91, 120, 128, 36, 37, 216, 218]",True,126293.0,57.435,31.076000000000004,,,,,,,,,,,32.0,Kosuke Nakamura,True,Portimonense,Benfica,
2548051375.0,10.0,0.0,36.0,299,46.410000000000004,37.80800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[197, 200]",False,376916.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548051399.0,11.0,0.0,36.0,1463,58.589999999999996,30.192,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,444818.0,,,,,,,,,,,,,99.0,Yago Cariello,,Portimonense,Benfica,
2548051411.0,11.0,0.0,36.0,299,45.675000000000004,38.556000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'HeadPass', 'Angle', 'Zone', 'PassEndY', 'Length']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,376916.0,61.53,27.676000000000005,,,,,,,,,,,,,True,Portimonense,Benfica,0.0020492999999999987
2548051415.0,12.0,0.0,37.0,299,60.165,28.696000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395802.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548051433.0,13.0,0.0,38.0,299,60.06,28.696000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,395802.0,66.36,54.264,,,,,,,,,,,,,False,Portimonense,Benfica,0.0018081900000000012
2548051447.0,14.0,0.0,39.0,299,66.36,54.264,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'HeadPass', 'Zone']","[91, 120, 29, 139, 36, 38, 217, 218]",True,326505.0,76.44,46.852000000000004,,,,,,,,,,,,,True,Portimonense,Benfica,
2548051481.0,12.0,0.0,41.0,1463,24.675,23.732,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'HeadPass', 'Length']","[91, 117, 30, 139, 36, 38, 216, 218]",True,445423.0,36.96000000000001,21.624000000000002,,,,,,,,,,,43.0,Alemão,False,Portimonense,Benfica,0.002678699999999999
2548051491.0,13.0,0.0,43.0,1463,38.010000000000005,20.604000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,36375.0,,,,,,,,,,,,,8.0,Maurício,,Portimonense,Benfica,
2548051601.0,14.0,0.0,43.0,1463,38.325,20.060000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,36375.0,35.805,21.284000000000002,,,,,,,,,,,8.0,Maurício,False,Portimonense,Benfica,-0.0015871199999999992
,,0.0,43.0,1463,35.805,21.284000000000002,,,Carry,,,,,308886.0,61.53,20.672,,,,,,,,,,,18.0,Fahd Moufi,True,Portimonense,Benfica,0.00416422
2548051607.0,15.0,0.0,47.0,1463,61.53,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Offensive']","[91, 53]",True,308886.0,,,,,,,,,,,,,18.0,Fahd Moufi,,Portimonense,Benfica,
2548051617.0,15.0,0.0,47.0,299,43.47,47.328,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Defensive']","[91, 143]",True,465388.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548051621.0,16.0,0.0,49.0,299,36.225,53.448,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,361961.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548051641.0,17.0,0.0,49.0,299,36.225,53.448,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,361961.0,51.345,58.276,,,,,,,,,,,,,False,Portimonense,Benfica,0.0016982100000000003
2548051749.0,18.0,0.0,52.0,299,58.065,59.160000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Longball', 'StandingSave', 'Length', 'Angle']","[91, 119, 117, 127, 205, 36, 38, 217, 218]",True,326505.0,89.14500000000001,50.93200000000001,,,,,,,,,,,,,True,Portimonense,Benfica,0.024551789999999997
2548051811.0,19.0,0.0,58.0,299,93.87,59.976000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,135127.0,85.67999999999999,59.364000000000004,,,,,,,,,,,,,False,Portimonense,Benfica,-0.007287600000000002
2548051831.0,20.0,1.0,1.0,299,100.38,57.188,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'StandingSave', 'PassEndY', 'Zone', 'Angle', 'Cross', 'PassEndX', 'LeftFoot']","[91, 138, 124, 126, 36, 38, 217, 218]",True,326505.0,100.69500000000001,37.876000000000005,,,,,,,,,,,,,True,Portimonense,Benfica,
2548051883.0,16.0,1.0,2.0,1463,3.9899999999999998,29.308000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Head', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 94, 95, 57, 215]",True,445423.0,19.425,38.012,,,,,,,,,,,43.0,Alemão,,Portimonense,Benfica,
2548155475.0,845.0,1.0,4.0,1463,18.900000000000002,34.816,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Head', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'Zone']","[91, 94, 95, 57, 215]",True,373524.0,20.265,34.612,,,,,,,,,,,15.0,Yony González,,Portimonense,Benfica,
2548051893.0,21.0,1.0,5.0,299,85.575,32.368,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['RegularPlay', 'RightFoot', 'GoalMouthY', 'BlockedX', 'LowRight', 'OutOfBoxCentre', 'OppositeRelatedEvent', 'Blocked', 'Zone', 'BlockedY', 'StandingSave', 'GoalMouthZ']","[91, 10, 2, 3, 11, 12]",True,465388.0,,,91.1,46.8,19.0,46.0,True,,,,,,,,,Portimonense,Benfica,
2548052195.0,20.0,1.0,5.0,1463,14.595,36.04,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['OutfielderBlock', 'Zone', 'OppositeRelatedEvent', 'StandingSave']","[91, 58]",True,422207.0,,,,,,,,,,,,,22.0,Filipe Relvas,,Portimonense,Benfica,
2548052019.0,19.0,1.0,7.0,1463,9.870000000000001,44.336000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,422207.0,,,,,,,,,,,,,22.0,Filipe Relvas,,Portimonense,Benfica,
2548051909.0,22.0,1.0,7.0,299,95.13,23.664,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['Zone', 'MissRight', 'OppositeRelatedEvent']",[122],False,465388.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548052329.0,23.0,1.0,31.0,299,104.47500000000001,0.34,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle', 'CornerTaken']","[91, 119, 117, 30, 205, 31, 32, 34, 35, 37, 217, 218]",True,326505.0,98.49,5.236000000000001,,,,,,,,,,,,,False,Portimonense,Benfica,0.0
2548052355.0,24.0,1.0,33.0,299,98.49,5.236000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,361961.0,81.165,5.576,,,,,,,,,,,,,False,Portimonense,Benfica,-0.010362779999999999
2548052427.0,25.0,1.0,36.0,299,82.11,5.44,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,303544.0,94.92000000000002,2.176,,,,,,,,,,,,,False,Portimonense,Benfica,0.007287600000000002
2548052457.0,26.0,1.0,40.0,299,84.94500000000001,5.1000000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'LeftFoot', 'Angle', 'StandingSave', 'Zone', 'PassEndY', 'Cross', 'PassEndX', 'Longball', 'Length']","[91, 138, 124, 126, 36, 37, 217, 218]",True,326505.0,95.23500000000001,39.236000000000004,,,,,,,,,,,,,True,Portimonense,Benfica,
2548052495.0,21.0,1.0,42.0,1463,10.08,28.220000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Head', 'PassEndY', 'Zone', 'Angle', 'Length', 'PassEndX']","[91, 94, 95, 57, 215]",True,373777.0,3.57,16.32,,,,,,,,,,,23.0,Park Ji-Soo,,Portimonense,Benfica,
2548052531.0,27.0,1.0,46.0,299,100.17000000000002,51.748,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'ShotAssist', 'Angle', 'PassEndX', 'Length', 'Zone', 'KeyPass']","[91, 119, 117, 30, 123, 205, 40, 46, 35, 38, 217, 218]",True,465388.0,88.09500000000001,47.260000000000005,,,,,,,,,,,,,False,Portimonense,Benfica,0.008434170000000005
2548052583.0,22.0,1.0,48.0,1463,17.22,24.004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']",[55],False,444818.0,,,,,,,,,,,,,99.0,Yago Cariello,,Portimonense,Benfica,
2548052559.0,28.0,1.0,48.0,299,87.78,43.996,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 54]",True,135127.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548052561.0,29.0,1.0,49.0,299,85.365,45.967999999999996,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['OutOfBoxCentre', 'StandingSave', 'BlockedY', 'BlockedX', 'Assisted', 'RightFoot', 'RelatedEventId', 'GoalMouthZ', 'Blocked', 'LowCentre', 'FromCorner', 'GoalMouthY', 'OppositeRelatedEvent', 'Zone']","[91, 10, 2, 5, 11, 12]",True,135127.0,,,89.7,60.1,19.0,50.9,True,27.0,465388.0,,,,,,,Portimonense,Benfica,
2548052623.0,23.0,1.0,49.0,1463,12.075000000000001,31.076000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['OutfielderBlock', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 58]",True,445423.0,,,,,,,,,,,,,43.0,Alemão,,Portimonense,Benfica,
2549362555.0,849.0,1.0,51.0,1463,23.835,32.708000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,36375.0,,,,,,,,,,,,,8.0,Maurício,,Portimonense,Benfica,
2548052647.0,24.0,1.0,51.0,1463,22.89,32.504,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,36375.0,25.725,39.1,,,,,,,,,,,8.0,Maurício,False,Portimonense,Benfica,0.0
,,1.0,51.0,1463,25.725,39.1,,,Carry,,,,,116103.0,21.735,41.480000000000004,,,,,,,,,,,7.0,Carlinhos,False,Portimonense,Benfica,0.0
2548052659.0,25.0,1.0,52.0,1463,21.735,41.480000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,116103.0,27.195,36.720000000000006,,,,,,,,,,,7.0,Carlinhos,False,Portimonense,Benfica,0.0
,,1.0,52.0,1463,27.195,36.720000000000006,,,Carry,,,,,373524.0,32.025,36.448,,,,,,,,,,,15.0,Yony González,False,Portimonense,Benfica,0.0
