id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2443476637.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443476605.0,2.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443544097.0,840.0,0.0,0.0,296,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443544161.0,765.0,0.0,0.0,288,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443439945.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'JerseyNumber', 'TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443441669.0,1.0,0.0,0.0,296,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Braga,Sporting,
2443476651.0,3.0,0.0,0.0,296,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,135563.0,31.5,34.068000000000005,,,,,,,,,,,,False,Braga,Sporting,-0.005571519999999998
2443476669.0,4.0,0.0,3.0,296,31.185000000000002,37.128,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,71268.0,31.605000000000004,50.184000000000005,,,,,,,,,,,,False,Braga,Sporting,-0.0002191399999999996
2443476695.0,5.0,0.0,5.0,296,31.395,50.388,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,283978.0,36.330000000000005,49.43600000000001,,,,,,,,,,,,False,Braga,Sporting,0.0015871199999999992
2443476715.0,6.0,0.0,7.0,296,38.22,53.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'StandingSave', 'Angle', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,394933.0,43.260000000000005,57.25600000000001,,,,,,,,,,,,False,Braga,Sporting,0.0
2443476723.0,7.0,0.0,8.0,296,43.575,57.800000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,344378.0,39.69,66.096,,,,,,,,,,,,False,Braga,Sporting,-0.0008845199999999998
2443476755.0,8.0,0.0,10.0,296,39.69,66.096,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,296364.0,35.385000000000005,59.50000000000001,,,,,,,,,,,,False,Braga,Sporting,-0.0014860800000000007
2443476787.0,9.0,0.0,13.0,296,34.964999999999996,60.248,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[91, 117, 30, 35, 215, 218]",True,344378.0,25.41,60.248,,,,,,,,,,,,False,Braga,Sporting,-0.0013280500000000008
2443476915.0,10.0,0.0,15.0,296,25.62,58.480000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,283978.0,8.82,34.408,,,,,,,,,,,,False,Braga,Sporting,-1.3259999999999314e-05
2443476995.0,11.0,0.0,25.0,296,13.755,36.312000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,23285.0,23.94,13.396,,,,,,,,,,,,False,Braga,Sporting,-0.0014034000000000008
2443476999.0,12.0,0.0,30.0,296,38.115,17.204,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX', 'Length']","[91, 118, 120, 29, 36, 37, 216, 218]",True,395992.0,38.535000000000004,18.972,,,,,,,,,,,,False,Braga,Sporting,
2443477023.0,4.0,0.0,32.0,288,67.935,42.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,407949.0,,,,,,,,,,,,99.0,Vítor Oliveira,,Braga,Sporting,
2443477135.0,14.0,0.0,40.0,296,77.49,48.55200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive', 'Foul']","[91, 63]",True,394933.0,,,,,,,,,,,,,,,Braga,Sporting,
2443477141.0,5.0,0.0,40.0,288,27.51,19.448000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Foul', 'Defensive', 'Zone']",[64],False,381792.0,,,,,,,,,,,,8.0,Al Musrati,,Braga,Sporting,
2443477683.0,15.0,1.0,35.0,296,75.81,47.53200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",MissedShots,Successful,"['RightFoot', 'GoalMouthZ', 'DirectFreekick', 'StandingSave', 'OutOfBoxCentre', 'Zone', 'GoalMouthY']","[91, 7, 10, 86, 2, 5, 12]",True,362352.0,,,58.3,59.0,True,,,,,,,,,,Braga,Sporting,
2443477815.0,7.0,1.0,42.0,288,4.515,31.756000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'GoalKick', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,296521.0,12.39,28.628000000000004,,,,,,,,,,1.0,Matheus,False,Braga,Sporting,0.0014166600000000001
2443477877.0,8.0,1.0,44.0,288,12.495000000000001,28.492,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'StandingSave', 'Longball', 'Chipped', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 124, 127, 36, 37, 215, 218]",True,363935.0,32.97,65.07600000000001,,,,,,,,,,3.0,Vítor Tormena,False,Braga,Sporting,-0.0010506300000000003
2443477893.0,9.0,1.0,47.0,288,32.97,65.07600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,140118.0,26.040000000000003,62.35600000000001,,,,,,,,,,6.0,Nuno Sequeira,False,Braga,Sporting,-0.0013280500000000008
2443477913.0,10.0,1.0,50.0,288,26.040000000000003,62.35600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,322689.0,14.175,55.624,,,,,,,,,,10.0,André Horta,False,Braga,Sporting,0.00033735000000000015
2443477975.0,11.0,1.0,52.0,288,14.175,55.624,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY', 'PassEndX', 'Chipped', 'Longball']","[91, 120, 124, 128, 36, 38, 216, 218]",True,422882.0,63.73500000000001,55.148,,,,,,,,,,4.0,Sikou Niakaté,True,Braga,Sporting,
2443477969.0,17.0,1.0,57.0,296,35.7,15.028000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395992.0,,,,,,,,,,,,,,,Braga,Sporting,
2443478017.0,18.0,1.0,59.0,296,25.935,19.380000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,395992.0,30.87,23.052,,,,,,,,,,,,False,Braga,Sporting,0.00109158
