id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2502961793.0,6.0,0.0,12.0,296,28.77,61.336000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'StandingSave', 'Offensive', 'Angle', 'Zone', 'PassEndY', 'OppositeRelatedEvent']","[91, 118, 120, 29, 36, 38, 215, 218]",True,296364.0,31.290000000000003,60.248,,,,,,,,,,,,False,Sporting,Braga,
2502961809.0,9.0,0.0,12.0,288,75.81,7.752000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'Zone', 'OppositeRelatedEvent', 'Defensive']","[91, 60]",True,384566.0,,,,,,,,,,,,2.0,Víctor Gómez,,Sporting,Braga,
2502961829.0,7.0,0.0,14.0,296,24.78,57.05200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,296364.0,12.18,54.944,,,,,,,,,,,,False,Sporting,Braga,-0.0006379300000000001
2502961851.0,8.0,0.0,15.0,296,12.18,54.944,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,395992.0,4.095,39.1,,,,,,,,,,,,False,Sporting,Braga,0.0006246700000000008
2502961889.0,9.0,0.0,17.0,296,4.095,39.1,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Longball', 'Zone', 'PassEndX', 'Length', 'Angle']","[91, 118, 120, 128, 36, 37, 216, 218]",True,23285.0,39.06,47.19200000000001,,,,,,,,,,,,True,Sporting,Braga,
2502961933.0,10.0,0.0,21.0,288,63.839999999999996,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone', 'HeadPass']","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,381792.0,77.49,26.452,,,,,,,,,,8.0,Al Musrati,True,Sporting,Braga,0.004500169999999998
2502961955.0,11.0,0.0,22.0,288,77.49,26.452,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,300483.0,,,,,,,,,,,,23.0,Simon Banza,,Sporting,Braga,
2502961987.0,12.0,0.0,23.0,288,77.49,26.452,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave', 'Chipped', 'Length']","[91, 119, 117, 30, 124, 205, 36, 38, 217, 218]",True,300483.0,90.72000000000001,5.236000000000001,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,0.010999230000000002
,,0.0,23.0,288,90.72000000000001,5.236000000000001,,,Carry,,,,,283362.0,93.45,0.8840000000000001,,,,,,,,,,45.0,Iuri Medeiros,False,Sporting,Braga,0.0
2502961995.0,13.0,0.0,26.0,288,93.45,0.8840000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Zone']","[91, 120, 29, 35, 37, 217, 218]",True,283362.0,88.2,4.08,,,,,,,,,,45.0,Iuri Medeiros,False,Sporting,Braga,
2502961997.0,10.0,0.0,26.0,296,16.8,65.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,296364.0,,,,,,,,,,,,,,,Sporting,Braga,
2502962031.0,11.0,0.0,27.0,296,16.8,65.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,296364.0,17.115000000000002,57.05200000000001,,,,,,,,,,,,False,Sporting,Braga,0.0009897299999999994
2502962045.0,12.0,0.0,31.0,296,27.51,52.904,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Longball', 'Angle', 'Length', 'StandingSave', 'Chipped', 'Zone', 'PassEndY']","[91, 120, 124, 128, 36, 37, 216, 218]",True,409279.0,66.36,55.964,,,,,,,,,,,,True,Sporting,Braga,
2502962067.0,14.0,0.0,33.0,288,34.755,13.804000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'HeadPass', 'Angle', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 139, 36, 38, 216, 218]",True,83475.0,40.845,3.128,,,,,,,,,,15.0,Paulo Oliveira,False,Sporting,Braga,0.0006677700000000016
2502962073.0,15.0,0.0,35.0,288,40.845,3.128,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,363935.0,,,,,,,,,,,,3.0,Vítor Tormena,,Sporting,Braga,
2502962103.0,16.0,0.0,35.0,288,40.845,3.4000000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Longball', 'Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,363935.0,73.39500000000001,21.896000000000004,,,,,,,,,,3.0,Vítor Tormena,True,Sporting,Braga,0.012859730000000002
,,0.0,35.0,288,73.39500000000001,21.896000000000004,,,Carry,,,,,300483.0,70.77000000000001,12.512,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,-0.00010719000000000353
2502962131.0,17.0,0.0,39.0,288,70.77000000000001,12.512,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,300483.0,79.38,3.4000000000000004,,,,,,,,,,23.0,Simon Banza,False,Sporting,Braga,0.0035479100000000013
,,0.0,39.0,288,79.38,3.4000000000000004,,,Carry,,,,,283362.0,74.44500000000001,6.324000000000001,,,,,,,,,,45.0,Iuri Medeiros,False,Sporting,Braga,-0.00634183
2502962161.0,18.0,0.0,42.0,288,74.44500000000001,6.324000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'StandingSave', 'PassEndX', 'Length', 'Zone', 'Angle', 'PassEndY']","[91, 119, 117, 30, 124, 205, 35, 37, 217, 218]",True,283362.0,72.34500000000001,26.792,,,,,,,,,,45.0,Iuri Medeiros,False,Sporting,Braga,0.002630199999999999
,,0.0,42.0,288,72.34500000000001,26.792,,,Carry,,,,,346183.0,72.87,30.396000000000004,,,,,,,,,,19.0,Uros Racic,False,Sporting,Braga,0.0
