id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2458968215.0,2.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2458968187.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2459025753.0,858.0,0.0,0.0,288,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2459026751.0,844.0,0.0,0.0,121,0.0,0.0,6.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2458936389.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'PlayerPosition', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2458936431.0,1.0,0.0,0.0,121,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'TeamPlayerFormation', 'CaptainPlayerId', 'PlayerPosition', 'JerseyNumber', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Rio Ave,Braga,
2458968311.0,3.0,0.0,0.0,121,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,374632.0,33.705000000000005,25.976000000000003,,,,,,,,,,,,False,Rio Ave,Braga,-0.005790659999999998
2458968337.0,4.0,0.0,2.0,121,33.6,25.840000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,149468.0,14.805,9.112,,,,,,,,,,,,False,Rio Ave,Braga,-0.0035276000000000005
2458968383.0,5.0,0.0,4.0,121,14.490000000000002,8.908000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,444575.0,5.460000000000001,30.736000000000004,,,,,,,,,,,,False,Rio Ave,Braga,0.0006246700000000008
2458968423.0,6.0,0.0,10.0,121,5.460000000000001,30.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Chipped', 'PassEndX', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 117, 124, 127, 36, 38, 215, 218]",True,284656.0,28.77,4.0120000000000005,,,,,,,,,,,,False,Rio Ave,Braga,0.00036602999999999983
2458968459.0,7.0,0.0,13.0,121,29.085,4.148,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,395954.0,17.325,8.16,,,,,,,,,,,,False,Rio Ave,Braga,-0.00198043
2458968511.0,8.0,0.0,14.0,121,17.430000000000003,7.888,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Chipped', 'Angle', 'Zone']","[91, 118, 120, 29, 124, 36, 38, 216, 218]",True,444575.0,45.885000000000005,3.74,,,,,,,,,,,,False,Rio Ave,Braga,
2458968455.0,3.0,0.0,16.0,288,58.800000000000004,64.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,140118.0,,,,,,,,,,,,6.0,Nuno Sequeira,,Rio Ave,Braga,
2458968475.0,4.0,0.0,17.0,288,58.800000000000004,64.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,140118.0,,,,,,,,,,,,6.0,Nuno Sequeira,,Rio Ave,Braga,
2458968523.0,5.0,0.0,17.0,288,58.800000000000004,64.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,140118.0,65.415,65.48400000000001,,,,,,,,,,6.0,Nuno Sequeira,False,Rio Ave,Braga,0.002714640000000001
2458968529.0,6.0,0.0,19.0,288,65.625,65.62,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Offensive', 'Length', 'Angle', 'StandingSave', 'OppositeRelatedEvent', 'Zone', 'PassEndY']","[91, 120, 29, 36, 216, 218]",True,127130.0,67.41000000000001,65.62,,,,,,,,,,21.0,Ricardo Horta,False,Rio Ave,Braga,
2458968563.0,9.0,0.0,19.0,121,28.035,2.5160000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Zone', 'Defensive', 'StandingSave', 'OppositeRelatedEvent']","[91, 60]",True,395954.0,,,,,,,,,,,,,,,Rio Ave,Braga,
