id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2338945613.0,8.0,0.0,32.0,299.0,17.22,18.836000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'Longball', 'Angle', 'PassEndY', 'Zone']","[90, 116, 126, 34, 36, 214, 217]",True,300640.0,13.334999999999999,58.82000000000002,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Portimonense,-0.0009915600000000007
,,0.0,32.0,,13.334999999999999,58.82000000000002,,,Carry,,,,,21778.0,18.9,63.92,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Portimonense,-0.00033735000000000015
2338945647.0,9.0,0.0,38.0,299.0,18.9,63.92,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Defensive', 'Foul', 'Zone']","[90, 62]",True,21778.0,,,,,,,,,,,,5.0,Jan Vertonghen,,Benfica,Portimonense,
2338945717.0,11.0,0.0,38.0,1463.0,86.10000000000001,4.08,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone', 'StandingSave', 'Foul']",[63],False,342996.0,,,,,,,,,,,,,,,Benfica,Portimonense,
2338946143.0,10.0,1.0,10.0,299.0,26.88000000000001,63.44400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'StandingSave', 'FreekickTaken', 'Chipped', 'Zone', 'PassEndX', 'Length', 'Longball']","[90, 119, 123, 127, 132, 35, 37, 215, 217]",True,21778.0,65.83500000000001,56.98400000000001,,,,,,,,,,5.0,Jan Vertonghen,True,Benfica,Portimonense,0.01025493
2338946171.0,12.0,1.0,12.0,1463.0,46.935,14.484000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'Length', 'Angle', 'HeadPass', 'PassEndX']","[90, 119, 28, 138, 35, 36, 215, 217]",True,342696.0,59.01000000000001,26.04400000000001,,,,,,,,,,,,False,Benfica,Portimonense,0.003049879999999998
2338946181.0,11.0,1.0,14.0,299.0,48.72,45.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[196, 199]",False,142318.0,,,,,,,,,,,,28.0,Julian Weigl,,Benfica,Portimonense,
2338946175.0,13.0,1.0,14.0,1463.0,56.28,22.644,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[197, 198]",False,317741.0,,,,,,,,,,,,,,,Benfica,Portimonense,
2338946205.0,12.0,1.0,14.0,299.0,51.55500000000002,48.75600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'HeadPass', 'StandingSave', 'Zone', 'Length']","[90, 118, 116, 29, 138, 35, 37, 215, 217]",True,142318.0,61.11000000000002,46.784,,,,,,,,,,28.0,Julian Weigl,False,Benfica,Portimonense,0.0025646799999999997
,,1.0,14.0,,61.11000000000002,46.784,,,Carry,,,,,281025.0,60.06,45.08400000000002,,,,,,,,,,15.0,Roman Yaremchuk,False,Benfica,Portimonense,0.0
