id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2332714907.0,5.0,0.0,4.0,299.0,46.30500000000002,14.620000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone']","[90, 116, 29, 34, 36, 215, 217]",True,135127.0,37.38,18.360000000000003,,,,,,,,,,27.0,Rafa,False,Benfica,Boavista,-0.00274078
2332714915.0,6.0,0.0,7.0,299.0,37.38,18.768,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'Zone', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,300640.0,35.805,33.93200000000001,,,,,,,,,,4.0,Lucas Veríssimo,False,Benfica,Boavista,-0.0013679799999999995
,,0.0,7.0,,35.805,33.93200000000001,,,Carry,,,,,75691.0,35.595,36.24400000000001,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,0.0
2332714923.0,7.0,0.0,9.0,299.0,35.595,36.24400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,75691.0,31.71,51.74800000000002,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,-0.0007288599999999996
2332714925.0,8.0,0.0,12.0,299.0,31.919999999999998,51.204,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave']","[90, 116, 29, 35, 36, 215, 217]",True,21778.0,44.52,61.81200000000001,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,0.0006677699999999998
2332714931.0,9.0,0.0,15.0,299.0,44.625,61.94800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[90, 118, 116, 29, 35, 37, 215, 217]",True,107252.0,67.095,52.564,,,,,,,,,,3.0,Alejandro Grimaldo,True,Benfica,Boavista,0.007440799999999999
,,0.0,15.0,,67.095,52.564,,,Carry,,,,,125476.0,68.565,53.176000000000016,,,,,,,,,,20.0,João Mário,False,Benfica,Boavista,0.0
2332714935.0,10.0,0.0,17.0,299.0,68.565,53.176000000000016,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[90, 118, 116, 29, 204, 35, 36, 216, 217]",True,125476.0,91.03500000000001,65.212,,,,,,,,,,20.0,João Mário,False,Benfica,Boavista,0.016147250000000002
,,0.0,17.0,,91.03500000000001,65.212,,,Carry,,,,,400828.0,97.125,63.376000000000005,,,,,,,,,,9.0,Darwin Núñez,False,Benfica,Boavista,0.003075179999999997
2332714939.0,11.0,0.0,21.0,299.0,97.125,63.376000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'Offensive', 'Zone', 'OverRun']","[90, 203]",True,400828.0,,,,,,,,,,,,9.0,Darwin Núñez,,Benfica,Boavista,
