id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,0.0,8.0,,74.02500000000002,9.588000000000001,,,Carry,,,,,142318.0,73.29000000000002,13.600000000000001,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.0
2359938047.0,7.0,0.0,10.0,299.0,73.29000000000002,13.600000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'Length', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,142318.0,72.24,28.220000000000002,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,-0.00016371999999999914
,,0.0,10.0,,72.24,28.220000000000002,,,Carry,,,,,125476.0,74.655,33.728,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0
2359938109.0,8.0,0.0,15.0,299.0,74.655,33.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,125476.0,80.01,3.5360000000000005,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0037116300000000005
,,0.0,15.0,,80.01,3.5360000000000005,,,Carry,,,,,114323.0,86.625,8.976000000000003,,,,,,,,,,22.0,Valentino Lazaro,True,Belenenses SAD,Benfica,0.0019695999999999984
2359938121.0,9.0,0.0,22.0,299.0,86.625,8.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,114323.0,93.24,5.44,,,,,,,,,,22.0,Valentino Lazaro,False,Belenenses SAD,Benfica,0.005318000000000003
,,0.0,22.0,,93.24,5.44,,,Carry,,,,,106151.0,96.39,4.828,,,,,,,,,,34.0,André Almeida,False,Belenenses SAD,Benfica,0.0
2359938131.0,10.0,0.0,23.0,299.0,96.39,4.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'StandingSave', 'RightFoot', 'Angle', 'Cross', 'Chipped', 'PassEndY', 'Zone', 'PassEndX']","[91, 137, 124, 126, 36, 37, 217, 218]",True,106151.0,100.905,29.92,,,,,,,,,,34.0,André Almeida,True,Belenenses SAD,Benfica,0.21952771999999998
2359938189.0,3.0,0.0,24.0,292.0,3.465,34.272,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Error,Successful,['LeadingToGoal'],[98],False,380548.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359938207.0,4.0,0.0,25.0,292.0,3.2550000000000003,36.04,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Goal,Successful,"['LeftFoot', 'LowRight', 'Zone', 'RegularPlay', 'OwnGoal', 'GoalMouthY', 'SmallBoxCentre', 'GoalMouthZ', 'StandingSave']","[91, 23]",True,380548.0,,,4.4,46.4,True,True,True,,,,,,,,Belenenses SAD,Benfica,
