id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isOwnGoal,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2373895707.0,11.0,0.0,21.0,299.0,77.80499999999999,8.024000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,407139.0,80.42999999999999,3.6040000000000014,,,,,,,,,,,55.0,Paulo Bernardo,False,Benfica,Moreirense,0.00634183
2373895755.0,12.0,0.0,22.0,299.0,80.42999999999999,3.6040000000000014,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,74016.0,73.92000000000003,4.148,,,,,,,,,,,14.0,Haris Seferovic,False,Benfica,Moreirense,-0.00634183
,,0.0,22.0,,73.92000000000003,4.148,,,Carry,,,,,119542.0,78.12,2.924,,,,,,,,,,,2.0,Gilberto,False,Benfica,Moreirense,0.0
2373895775.0,13.0,0.0,26.0,299.0,78.12,2.924,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,119542.0,75.60000000000002,9.316,,,,,,,,,,,2.0,Gilberto,False,Benfica,Moreirense,0.0027939199999999983
2373895803.0,14.0,0.0,28.0,299.0,75.60000000000002,9.316,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 35, 37, 216, 218]",True,74016.0,64.155,21.692,,,,,,,,,,,14.0,Haris Seferovic,False,Benfica,Moreirense,-0.004663889999999997
,,0.0,28.0,,64.155,21.692,,,Carry,,,,,75691.0,63.839999999999996,25.024000000000008,,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Moreirense,0.0
2373895829.0,15.0,0.0,31.0,299.0,63.839999999999996,25.024000000000008,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'PassEndY', 'StandingSave', 'Longball']","[91, 119, 117, 127, 36, 37, 216, 218]",True,75691.0,65.94,61.132000000000005,,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Moreirense,-0.0019007200000000016
,,0.0,31.0,,65.94,61.132000000000005,,,Carry,,,,,107252.0,64.995,63.376000000000005,,,,,,,,,,,3.0,Alejandro Grimaldo,False,Benfica,Moreirense,0.0
2373895859.0,16.0,0.0,34.0,299.0,64.995,63.376000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,107252.0,58.905,51.204,,,,,,,,,,,3.0,Alejandro Grimaldo,False,Benfica,Moreirense,-0.0013324699999999988
,,0.0,34.0,,58.905,51.204,,,Carry,,,,,376916.0,58.27500000000001,47.87200000000001,,,,,,,,,,,91.0,Morato,False,Benfica,Moreirense,0.0007378299999999983
2373895909.0,17.0,0.0,37.0,299.0,58.27500000000001,47.87200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 119, 117, 30, 35, 38, 216, 218]",True,376916.0,54.18000000000002,31.28,,,,,,,,,,,91.0,Morato,False,Benfica,Moreirense,3.931999999999894e-05
,,0.0,37.0,,54.18000000000002,31.28,,,Carry,,,,,75691.0,61.95,23.256000000000004,,,,,,,,,,,30.0,Nicolás Otamendi,True,Benfica,Moreirense,0.002456040000000003
2373895923.0,18.0,0.0,42.0,299.0,61.95,23.256000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,75691.0,75.495,17.544,,,,,,,,,,,30.0,Nicolás Otamendi,True,Benfica,Moreirense,0.004771079999999997
,,0.0,42.0,,75.495,17.544,,,Carry,,,,,407139.0,73.39500000000001,19.652000000000005,,,,,,,,,,,55.0,Paulo Bernardo,False,Benfica,Moreirense,0.0
2373920303.0,557.0,0.0,43.0,299.0,73.39500000000001,19.652000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,407139.0,74.34,25.976000000000003,,,,,,,,,,,55.0,Paulo Bernardo,False,Benfica,Moreirense,-0.0002709099999999992
,,0.0,43.0,,74.34,25.976000000000003,,,Carry,,,,,74016.0,76.44,25.364000000000008,,,,,,,,,,,14.0,Haris Seferovic,False,Benfica,Moreirense,0.0002709099999999992
2373920503.0,558.0,0.0,44.0,299.0,76.44,25.364000000000008,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 29, 36, 37, 217, 218]",True,74016.0,81.27000000000001,32.368,,,,,,,,,,,14.0,Haris Seferovic,False,Benfica,Moreirense,0.010990860000000002
2373920453.0,321.0,0.0,45.0,108.0,26.565,26.792,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,328016.0,,,,,,,,,,,,,,,,Benfica,Moreirense,
2373920595.0,322.0,0.0,46.0,108.0,28.56,29.852,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,328016.0,40.74,37.128,,,,,,,,,,,,,False,Benfica,Moreirense,0.0013027000000000004
2373920675.0,323.0,0.0,49.0,108.0,38.745,38.28400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Longball', 'Chipped', 'Length', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY']","[91, 120, 124, 128, 36, 38, 216, 218]",True,135347.0,68.985,18.836000000000002,,,,,,,,,,,,,True,Benfica,Moreirense,0.006724860000000001
2373920649.0,559.0,0.0,52.0,299.0,34.230000000000004,51.204,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,376916.0,,,,,,,,,,,,,91.0,Morato,,Benfica,Moreirense,
,,0.0,52.0,,34.230000000000004,51.204,,,Carry,,,,,376916.0,25.62,52.632000000000005,,,,,,,,,,,91.0,Morato,False,Benfica,Moreirense,-0.0011710800000000014
2373896091.0,21.0,0.0,53.0,299.0,25.62,52.632000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,376916.0,15.015,33.728,,,,,,,,,,,91.0,Morato,False,Benfica,Moreirense,0.0014034000000000008
2373896133.0,22.0,0.0,57.0,299.0,15.015,33.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Zone', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,110273.0,23.835,28.492000000000004,,,,,,,,,,,99.0,Odysseas Vlachodimos,False,Benfica,Moreirense,-0.000661730000000001
,,0.0,57.0,,23.835,28.492000000000004,,,Carry,,,,,75691.0,36.75,22.712,,,,,,,,,,,30.0,Nicolás Otamendi,True,Benfica,Moreirense,0.0025262500000000007
2373896173.0,23.0,1.0,3.0,299.0,36.75,22.712,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,75691.0,39.165,5.236000000000001,,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Moreirense,-0.0014290699999999993
,,1.0,3.0,,39.165,5.236000000000001,,,Carry,,,,,119542.0,39.165,7.004000000000001,,,,,,,,,,,2.0,Gilberto,False,Benfica,Moreirense,0.0
2373896209.0,24.0,1.0,5.0,299.0,39.165,7.004000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,119542.0,32.025,24.14,,,,,,,,,,,2.0,Gilberto,False,Benfica,Moreirense,-0.00015804999999999986
