name,minutes,playerId,team
Julian Weigl,1243,142318.0,Benfica
João Mário,1234,125476.0,Benfica
Rafa,1204,135127.0,Benfica
Valentino Lazaro,371,114323.0,Benfica
André Almeida,554,106151.0,Benfica
Nicolás Otamendi,1305,75691.0,Benfica
Haris Seferovic,330,74016.0,Benfica
Jan Vertonghen,1260,21778.0,Benfica
Alejandro Grimaldo,1159,107252.0,Benfica
Darwin Núñez,1026,400828.0,Benfica
Odysseas Vlachodimos,1530,110273.0,Benfica
Morato,668,376916.0,Benfica
Gil Dias,354,299375.0,Benfica
Adel Taarabt,334,24642.0,Benfica
Pizzi,319,81928.0,Benfica
Gonçalo Ramos,578,395802.0,Benfica
Gilberto,687,119542.0,Benfica
Soualiho Meité,329,105161.0,Benfica
Roman Yaremchuk,666,281025.0,Benfica
Gian-Luca Waldschmidt,141,148484.0,Benfica
Éverton,786,146760.0,Benfica
Carlos Vinícius,7,363077.0,Benfica
Lucas Veríssimo,838,300640.0,Benfica
Diogo Gonçalves,422,343029.0,Benfica
Rodrigo Pinho,83,291652.0,Benfica
Paulo Bernardo,175,407139.0,Benfica
Helton Leite,90,130432.0,Benfica
Nemanja Radonjic,77,302441.0,Benfica
Gedson Fernandes,50,361726.0,Benfica
