id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2513087325.0,2.0,0.0,290,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513087329.0,2.0,0.0,297,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513136907.0,807.0,0.0,297,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513136943.0,1010.0,0.0,290,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513063071.0,1.0,0.0,297,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'CaptainPlayerId', 'InvolvedPlayers', 'TeamFormation', 'TeamPlayerFormation', 'PlayerPosition']",[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513063919.0,1.0,0.0,290,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamFormation', 'TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513087375.0,3.0,0.0,297,120608.0,52.395,33.932,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,0.0,39.165,33.79600000000001,,,,,,,,,,,,False,Porto,Gil Vicente,-0.004268819999999998
2513087397.0,4.0,0.0,297,351744.0,39.165,33.79600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Angle', 'Zone', 'Length', 'Longball', 'PassEndX', 'Chipped']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,2.0,72.97500000000001,62.900000000000006,,,,,,,,,,,,True,Porto,Gil Vicente,0.00859483
2513087405.0,5.0,0.0,297,10105.0,72.45,60.79200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[197, 199]",False,5.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2513087387.0,3.0,0.0,290,404281.0,32.550000000000004,7.208,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[198, 200]",False,5.0,,,,,,,,,,,,2.0,Zé Carlos,,Porto,Gil Vicente,
