id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2485495957.0,13.0,0.0,41.0,299,43.575,44.47200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'Chipped', 'Longball']","[91, 119, 117, 124, 127, 36, 38, 216, 218]",True,369430.0,64.575,2.3120000000000003,,,,,,,,,,,,False,Benfica,Gil Vicente,0.00475886
2485495963.0,14.0,0.0,44.0,299,64.78500000000001,2.3800000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 35, 37, 216, 218]",True,401520.0,45.99,10.676,,,,,,,,,,,,False,Benfica,Gil Vicente,-0.0036051999999999994
2485495995.0,16.0,0.0,49.0,299,58.800000000000004,18.632,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'Longball']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,443613.0,77.91000000000001,45.424,,,,,,,,,,,,True,Benfica,Gil Vicente,0.011696060000000001
2485496009.0,18.0,0.0,54.0,299,78.435,45.424,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,125476.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496029.0,5.0,0.0,56.0,290,6.615,19.244000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,[],[93],False,124712.0,,,,,,,,,,,,1.0,Stanislav Kritsyuk,,Benfica,Gil Vicente,
2485496095.0,6.0,1.0,0.0,290,9.66,29.92,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone', 'KeeperThrow']","[91, 36, 38, 215, 218]",True,124712.0,28.980000000000004,27.472,,,,,,,,,,1.0,Stanislav Kritsyuk,False,Benfica,Gil Vicente,0.0004965400000000002
2485496117.0,7.0,1.0,3.0,290,28.980000000000004,27.472,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,331609.0,29.505000000000003,9.044,,,,,,,,,,21.0,Vitor Carvalho,False,Benfica,Gil Vicente,-0.0015471700000000005
2485496127.0,8.0,1.0,5.0,290,30.345,8.228,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 120, 29, 36, 38, 216, 218]",True,322735.0,58.065,6.868,,,,,,,,,,15.0,Carraça,True,Benfica,Gil Vicente,
2485496141.0,19.0,1.0,6.0,299,49.455000000000005,61.336000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,107252.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496151.0,20.0,1.0,7.0,299,58.589999999999996,58.07200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,107252.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496155.0,9.0,1.0,8.0,290,44.94,8.024000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,402797.0,,,,,,,,,,,,10.0,Kanya Fujimoto,,Benfica,Gil Vicente,
2485496211.0,21.0,1.0,9.0,299,65.625,60.18000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length']","[91, 119, 117, 30, 37, 216, 218]",True,107252.0,65.625,66.504,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0
2485496215.0,22.0,1.0,13.0,299,73.29,63.580000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,125476.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496253.0,10.0,1.0,14.0,290,31.5,3.3320000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,322735.0,37.695,3.196,,,,,,,,,,15.0,Carraça,False,Benfica,Gil Vicente,0.0014860800000000007
2485496261.0,11.0,1.0,16.0,290,37.695,3.196,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,345380.0,,,,,,,,,,,,7.0,Bilel Aouacheria,,Benfica,Gil Vicente,
,,1.0,16.0,290,37.695,3.196,,,Carry,,,,,345380.0,68.67000000000002,4.284,,,,,,,,,,7.0,Bilel Aouacheria,True,Benfica,Gil Vicente,0.0061879299999999995
2485496311.0,12.0,1.0,20.0,290,68.67000000000002,4.284,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 53]",True,345380.0,,,,,,,,,,,,7.0,Bilel Aouacheria,,Benfica,Gil Vicente,
2485496305.0,23.0,1.0,20.0,299,36.330000000000005,63.71600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 143]",True,75691.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496465.0,14.0,1.0,38.0,290,69.19500000000001,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'ThrowIn', 'Zone', 'PassEndX', 'Length']","[91, 212, 36, 37, 217]",True,322735.0,88.62,7.276,,,,,,,,,,15.0,Carraça,True,Benfica,Gil Vicente,0.01740012
2485496473.0,15.0,1.0,40.0,290,88.62,7.276,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,345380.0,91.98,4.352,,,,,,,,,,7.0,Bilel Aouacheria,False,Benfica,Gil Vicente,0.0
2485496507.0,16.0,1.0,41.0,290,91.98,4.352,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'PassEndX', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,402797.0,91.245,13.532,,,,,,,,,,10.0,Kanya Fujimoto,False,Benfica,Gil Vicente,0.005819199999999997
,,1.0,41.0,290,91.245,13.532,,,Carry,,,,,322735.0,91.14,18.224,,,,,,,,,,15.0,Carraça,False,Benfica,Gil Vicente,0.014241460000000004
2485496511.0,17.0,1.0,44.0,290,91.14,18.224,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,322735.0,,,,,,,,,,,,15.0,Carraça,,Benfica,Gil Vicente,
2485496533.0,25.0,1.0,45.0,299,9.240000000000002,46.24,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Chipped', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 124, 36, 37, 215, 218]",True,369712.0,9.870000000000001,50.11600000000001,,,,,,,,,,,,False,Benfica,Gil Vicente,-0.0008975500000000004
2485496549.0,26.0,1.0,47.0,299,9.870000000000001,50.11600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[91, 94, 95, 215]",True,75691.0,15.540000000000001,68.0,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496723.0,19.0,2.0,2.0,290,89.14500000000001,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'ThrowIn']","[91, 212, 36, 37, 217]",True,322735.0,97.54500000000002,6.460000000000001,,,,,,,,,,15.0,Carraça,False,Benfica,Gil Vicente,0.003075179999999997
,,2.0,2.0,290,97.54500000000002,6.460000000000001,,,Carry,,,,,345380.0,98.385,4.216,,,,,,,,,,7.0,Bilel Aouacheria,False,Benfica,Gil Vicente,0.0
2485496729.0,20.0,2.0,6.0,290,98.385,4.216,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,345380.0,,,,,,,,,,,,7.0,Bilel Aouacheria,,Benfica,Gil Vicente,
2485496735.0,28.0,2.0,6.0,299,6.615,63.784000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 143]",True,369430.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496739.0,29.0,2.0,7.0,299,6.300000000000001,63.444,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,369430.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496737.0,21.0,2.0,7.0,290,97.54500000000002,4.148,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,345380.0,,,,,,,,,,,,7.0,Bilel Aouacheria,,Benfica,Gil Vicente,
2485496763.0,30.0,2.0,7.0,299,7.455,63.444,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Length', 'PassEndX', 'Longball', 'Zone', 'Angle', 'PassEndY']","[91, 120, 124, 128, 36, 38, 216, 218]",True,369430.0,62.370000000000005,51.748,,,,,,,,,,,,True,Benfica,Gil Vicente,
2485496787.0,22.0,2.0,12.0,290,38.325,20.128000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135962.0,,,,,,,,,,,,26.0,Rúben Fernandes,,Benfica,Gil Vicente,
