id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2420214551.0,2.0,0.0,292.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420214561.0,2.0,0.0,5948.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420323587.0,693.0,0.0,292.0,,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420323687.0,847.0,0.0,5948.0,,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420130221.0,1.0,0.0,292.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamFormation', 'CaptainPlayerId', 'TeamPlayerFormation', 'InvolvedPlayers', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420130279.0,1.0,0.0,5948.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'InvolvedPlayers', 'CaptainPlayerId']",[],False,0.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2420214625.0,3.0,0.0,292.0,235920.0,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,0.0,32.655,33.592,,,,,,,,,,,False,Arouca,Belenenses SAD,-0.0035222199999999995
2420214747.0,4.0,0.0,292.0,70884.0,34.44,34.88400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Angle', 'PassEndY', 'Longball', 'Zone', 'Length', 'StandingSave']","[91, 120, 128, 36, 37, 217, 218]",True,2.0,85.155,50.38800000000002,,,,,,,,,,,True,Arouca,Belenenses SAD,0.017228260000000002
2420214781.0,3.0,0.0,5948.0,322648.0,15.75,18.632,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'HeadPass', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[91, 118, 120, 29, 139, 36, 38, 215, 218]",True,6.0,23.31,14.280000000000001,,,,,,,,,21.0,Leandro Silva,False,Arouca,Belenenses SAD,-0.0003536300000000006
2421454419.0,706.0,0.0,292.0,120594.0,82.84500000000001,55.42,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 70]",True,7.0,,,,,,,,,,,,,,Arouca,Belenenses SAD,
2421454469.0,857.0,0.0,5948.0,423912.0,22.155,12.58,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent', 'StandingSave']","[91, 143]",True,7.0,,,,,,,,,,,15.0,Oday Dabbagh,,Arouca,Belenenses SAD,
,,0.0,,423912.0,22.155,12.58,,,Carry,,,,,7.0,19.845,14.688000000000002,,,,,,,,,15.0,Oday Dabbagh,False,Arouca,Belenenses SAD,-0.0006379300000000001
2420214833.0,4.0,0.0,5948.0,423912.0,19.845,14.688000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndX', 'Length', 'Angle', 'Zone', 'PassEndY']","[91, 117, 30, 139, 35, 38, 215, 218]",True,8.0,9.975,7.2760000000000025,,,,,,,,,15.0,Oday Dabbagh,False,Arouca,Belenenses SAD,-0.00304079
2420214869.0,5.0,0.0,5948.0,416503.0,10.395,6.596,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,11.0,,,,,,,,,,,72.0,Thales,,Arouca,Belenenses SAD,
