id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368130281.0,10.0,0.0,1463.0,380545.0,36.435,27.06400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone', 'Longball']","[91, 120, 128, 36, 37, 217, 218]",True,42.0,75.28500000000001,31.89200000000001,,,,,,,,,,,,True,Portimonense,Arouca,0.012527729999999999
2368130395.0,8.0,0.0,5948.0,326486.0,23.1,30.532,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,47.0,10.395000000000001,31.552,,,,,,,,,,13.0,João Basso,False,Portimonense,Arouca,-0.0007549299999999991
2368130429.0,9.0,0.0,5948.0,291654.0,9.975,30.532,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Chipped', 'PassEndY', 'Longball', 'Zone', 'Length', 'Angle']","[91, 118, 120, 124, 128, 36, 38, 215, 218]",True,50.0,31.185000000000002,0.0,,,,,,,,,,1.0,Victor Braga,False,Portimonense,Arouca,0.00036602999999999983
2368140885.0,11009.0,0.0,1463.0,423988.0,67.62,13.94,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,,,,Portimonense,Arouca,
2368130705.0,12.0,1.0,1463.0,373033.0,74.02500000000002,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Zone', 'ThrowIn', 'Length']","[91, 212, 36, 38, 217]",True,4.0,77.175,62.764000000000024,,,,,,,,,,,,False,Portimonense,Arouca,0.0
2368130719.0,13.0,1.0,1463.0,317741.0,77.175,62.764000000000024,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'LayOff', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,5.0,74.44500000000001,65.62,,,,,,,,,,,,False,Portimonense,Arouca,0.0
2368130977.0,14.0,1.0,1463.0,373033.0,72.34500000000001,65.008,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PlayerCaughtOffside', 'Zone', 'PassEndY', 'PassEndX']","[91, 217]",True,7.0,85.365,52.7,,,,,,,,,,,,,Portimonense,Arouca,
2368130903.0,11.0,1.0,5948.0,326486.0,22.575,12.58,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,7.0,,,,,,,,,,,,13.0,João Basso,,Portimonense,Arouca,
2368131293.0,12.0,1.0,5948.0,416503.0,26.145,6.460000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['FreekickTaken', 'PassEndY', 'Longball', 'IndirectFreekickTaken', 'Chipped', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 120, 124, 128, 133, 36, 37, 216, 218]",True,34.0,64.26000000000002,15.98,,,,,,,,,,72.0,Thales,True,Portimonense,Arouca,0.01025493
2368131331.0,15.0,1.0,1463.0,380545.0,39.795,49.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[197, 200]",False,36.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368131307.0,13.0,1.0,5948.0,323573.0,65.205,18.224,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[198, 199]",False,36.0,,,,,,,,,,,,14.0,Pité,,Portimonense,Arouca,
2368131441.0,16.0,1.0,1463.0,380545.0,38.745,47.53200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 139, 36, 38, 216, 218]",True,37.0,47.98500000000002,47.464,,,,,,,,,,,,False,Portimonense,Arouca,0.00159954
2368131451.0,17.0,1.0,1463.0,381687.0,47.98500000000001,47.464,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,38.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368131469.0,18.0,1.0,1463.0,381687.0,47.98500000000002,47.464,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,38.0,41.37,39.57600000000001,,,,,,,,,,,,False,Portimonense,Arouca,-0.0016648199999999991
2368131525.0,15.0,1.0,5948.0,298402.0,68.67000000000002,15.708000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[91, 54]",True,41.0,,,,,,,,,,,,10.0,André Bukia,,Portimonense,Arouca,
2368196839.0,452.0,1.0,1463.0,380545.0,36.330000000000005,52.29200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']",[55],False,41.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368131479.0,19.0,1.0,1463.0,116103.0,41.160000000000004,39.30400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 118, 120, 29, 35, 37, 215, 218]",True,41.0,32.655,44.812000000000005,,,,,,,,,,,,False,Portimonense,Arouca,-0.00152184
2368131483.0,14.0,1.0,5948.0,298402.0,71.61,12.172,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,42.0,,,,,,,,,,,,10.0,André Bukia,,Portimonense,Arouca,
,,1.0,,298402.0,71.61,12.172000000000004,,,Carry,,,,,42.0,86.83500000000001,12.716000000000001,,,,,,,,,,10.0,André Bukia,True,Portimonense,Arouca,0.00551751
2368131503.0,20.0,1.0,1463.0,373033.0,35.805,54.128,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']",[55],False,43.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368263703.0,769.0,1.0,5948.0,298402.0,69.19500000000001,13.872,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 54]",True,43.0,,,,,,,,,,,,10.0,André Bukia,,Portimonense,Arouca,
2368131575.0,16.0,1.0,5948.0,298402.0,86.83500000000001,12.716000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle', 'Chipped', 'Cross']","[91, 124, 126, 36, 37, 217, 218]",True,44.0,96.60000000000001,19.856,,,,,,,,,,10.0,André Bukia,True,Portimonense,Arouca,0.03489323
2368131627.0,21.0,1.0,1463.0,373033.0,15.015,52.564,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,47.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368131669.0,22.0,1.0,1463.0,360107.0,5.565,37.672,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 94, 95, 215]",True,48.0,0.0,42.16,,,,,,,,,,,,,Portimonense,Arouca,
2368131649.0,17.0,1.0,5948.0,298402.0,101.43,22.848000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'Zone', 'OppositeRelatedEvent']",[122],False,48.0,,,,,,,,,,,,10.0,André Bukia,,Portimonense,Arouca,
2368131679.0,23.0,1.0,1463.0,360107.0,3.57,45.15200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'Zone', 'OppositeRelatedEvent']",[122],False,48.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368141977.0,11014.0,1.0,1463.0,381687.0,85.365,52.7,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,,,,Portimonense,Arouca,
2368132297.0,18.0,2.0,5948.0,96271.0,104.37,0.476,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'CornerTaken', 'Zone', 'Cross', 'Angle', 'PassEndY', 'Chipped', 'PassEndX']","[91, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,13.0,101.53500000000001,25.976000000000003,,,,,,,,,,8.0,Arsénio,True,Portimonense,Arouca,0.21952771999999998
2368132339.0,24.0,2.0,1463.0,423988.0,3.2550000000000003,42.772000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Zone', 'Head', 'PassEndY', 'Length', 'Angle', 'PassEndX']","[91, 94, 95, 57, 215]",True,17.0,15.225,33.252,,,,,,,,,,,,,Portimonense,Arouca,
2368132309.0,19.0,2.0,5948.0,326486.0,89.565,38.284,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['FromCorner', 'LowCentre', 'BoxCentre', 'BlockedY', 'Zone', 'OppositeRelatedEvent', 'GoalMouthY', 'BlockedX', 'GoalMouthZ', 'RightFoot']","[91, 9, 10, 1, 5, 12]",True,19.0,,,99.0,50.0,10.8,50.8,True,,,,,13.0,João Basso,,Portimonense,Arouca,
