id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2351892377.0,2.0,0.0,0.0,5948.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351892375.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351972493.0,814.0,0.0,0.0,5948.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351972501.0,934.0,0.0,0.0,290.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351870933.0,1.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'InvolvedPlayers', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351871365.0,1.0,0.0,0.0,5948.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Gil Vicente,Arouca,
2351892389.0,3.0,0.0,0.0,290.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[90, 116, 29, 34, 36, 215, 217]",True,369398.0,44.625,35.29200000000001,,,,,,,,,,,,False,Gil Vicente,Arouca,0.0
2351892411.0,4.0,0.0,1.0,290.0,44.625,35.29200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[90, 116, 29, 34, 36, 214, 217]",True,322643.0,32.025,55.964,,,,,,,,,,,,False,Gil Vicente,Arouca,-0.004251079999999999
2351892419.0,5.0,0.0,4.0,290.0,34.335000000000015,56.84800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 37, 214, 217]",True,322733.0,23.52,42.160000000000004,,,,,,,,,,,,False,Gil Vicente,Arouca,-0.0004294100000000016
2351892437.0,6.0,0.0,6.0,290.0,23.835,42.228,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[90, 116, 29, 35, 37, 214, 217]",True,135962.0,25.935,19.788000000000004,,,,,,,,,,,,False,Gil Vicente,Arouca,-0.00015244999999999842
