id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2375351715.0,10.0,0.0,13.0,5948.0,48.825,36.924,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'Zone', 'Defensive', 'OppositeRelatedEvent']","[91, 60]",True,322648.0,,,,,,,,,,,,21.0,Leandro Silva,,Arouca,Benfica,
2375351703.0,6.0,0.0,13.0,299.0,56.175000000000004,32.708000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Offensive', 'OppositeRelatedEvent', 'Length', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 120, 29, 36, 38, 216, 218]",True,125476.0,58.27500000000001,30.12400000000001,,,,,,,,,,,,False,Arouca,Benfica,0.0
2375351719.0,11.0,0.0,14.0,5948.0,48.510000000000005,31.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,316658.0,,,,,,,,,,,,18.0,Eboue Kouassi,,Arouca,Benfica,
2375351723.0,12.0,0.0,15.0,5948.0,48.51000000000001,31.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,316658.0,45.675000000000004,18.088,,,,,,,,,,18.0,Eboue Kouassi,False,Arouca,Benfica,-0.00215424
2375351743.0,13.0,0.0,18.0,5948.0,45.675000000000004,18.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,36712.0,24.150000000000002,20.468000000000004,,,,,,,,,,5.0,David Simão,False,Arouca,Benfica,-0.004278239999999999
,,0.0,18.0,,24.150000000000002,20.468000000000004,,,Carry,,,,,326486.0,26.775000000000002,23.32400000000001,,,,,,,,,,13.0,João Basso,False,Arouca,Benfica,0.0
2375351761.0,14.0,0.0,23.0,5948.0,26.775000000000002,23.32400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,326486.0,31.919999999999998,4.216,,,,,,,,,,13.0,João Basso,False,Arouca,Benfica,-0.0002364500000000009
2375351773.0,15.0,0.0,26.0,5948.0,31.815,3.5360000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Chipped', 'Longball', 'StandingSave', 'PassEndX', 'Zone', 'Angle']","[91, 120, 124, 128, 36, 37, 217, 218]",True,416503.0,73.29000000000002,18.428,,,,,,,,,,72.0,Thales,True,Arouca,Benfica,0.014345809999999999
2375351789.0,7.0,0.0,28.0,299.0,27.3,53.44800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'HeadPass', 'Zone', 'Length']","[91, 117, 30, 139, 36, 38, 216, 218]",True,21778.0,36.330000000000005,50.524,,,,,,,,,,,,False,Arouca,Benfica,0.00050972
2375351795.0,8.0,0.0,29.0,299.0,36.330000000000005,50.524,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'HeadPass']","[91, 117, 30, 139, 36, 37, 216, 218]",True,142318.0,38.115,60.52,,,,,,,,,,,,False,Arouca,Benfica,-0.0014290699999999993
2375351797.0,9.0,0.0,31.0,299.0,38.115,60.52,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 118, 120, 29, 36, 38, 216, 218]",True,107252.0,51.87,56.64400000000002,,,,,,,,,,,,False,Arouca,Benfica,0.00258273
2375351825.0,16.0,0.0,32.0,5948.0,57.96000000000002,10.268000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,416503.0,66.15,9.248000000000001,,,,,,,,,,72.0,Thales,False,Arouca,Benfica,0.0025853399999999985
,,0.0,32.0,,66.15,9.248000000000001,,,Carry,,,,,298402.0,66.15,6.460000000000003,,,,,,,,,,10.0,André Bukia,False,Arouca,Benfica,-0.0012528699999999997
2375351829.0,17.0,0.0,33.0,5948.0,66.15,6.460000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,298402.0,,,,,,,,,,,,10.0,André Bukia,,Arouca,Benfica,
,,0.0,33.0,,66.15,6.460000000000003,,,Carry,,,,,298402.0,63.315,6.936000000000003,,,,,,,,,,10.0,André Bukia,False,Arouca,Benfica,0.0
2375351839.0,18.0,0.0,34.0,5948.0,63.315,6.936,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Offensive', 'Foul', 'OppositeRelatedEvent']","[91, 63]",True,298402.0,,,,,,,,,,,,10.0,André Bukia,,Arouca,Benfica,
2375351851.0,10.0,0.0,34.0,299.0,41.685,61.064,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Zone', 'Defensive', 'StandingSave', 'Foul', 'OppositeRelatedEvent']",[64],False,107252.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375351949.0,19.0,0.0,48.0,5948.0,60.165,3.3320000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Zone', 'StandingSave', 'Angle', 'Length', 'FreekickTaken']","[91, 117, 30, 132, 35, 37, 216, 218]",True,416503.0,35.28,15.64,,,,,,,,,,72.0,Thales,False,Arouca,Benfica,-0.0041410599999999985
2375351977.0,20.0,0.0,51.0,5948.0,35.28,15.64,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,326486.0,35.595,45.492,,,,,,,,,,13.0,João Basso,False,Arouca,Benfica,0.00050972
2375351985.0,21.0,0.0,54.0,5948.0,34.65,46.24,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,83058.0,37.8,63.98800000000002,,,,,,,,,,53.0,Abdoulaye Ba,False,Arouca,Benfica,0.00015804999999999986
,,0.0,54.0,,37.8,63.98800000000002,,,Carry,,,,,416502.0,36.225,63.64800000000002,,,,,,,,,,6.0,Mateus Quaresma,False,Arouca,Benfica,-0.0014860800000000007
2375351993.0,12.0,0.0,55.0,299.0,72.97500000000001,3.128,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[91, 60]",True,135127.0,,,,,,,,,,,,,,,Arouca,Benfica,
