id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387377559.0,5.0,0.0,108.0,342769.0,38.955000000000005,46.30800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Chipped', 'PassEndX', 'PassEndY', 'Length', 'Zone', 'StandingSave', 'Longball']","[91, 120, 124, 128, 36, 38, 217, 218]",True,6.0,72.34500000000001,26.996,,,,,,,,,,28.0,Pablo Santos,True,Arouca,Moreirense,0.01115975
2387377579.0,3.0,0.0,5948.0,401804.0,34.545,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'HeadPass']","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,8.0,40.74,42.84,,,,,,,,,,,,False,Arouca,Moreirense,0.0013679799999999995
2387377601.0,6.0,0.0,108.0,328016.0,64.68,23.528,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Offensive']","[197, 199]",False,10.0,,,,,,,,,,,,4.0,Artur Jorge,,Arouca,Moreirense,
2387377611.0,4.0,0.0,5948.0,428999.0,40.32,44.47200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[198, 200]",False,10.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387377623.0,7.0,0.0,108.0,328016.0,65.10000000000001,21.896000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Zone', 'HeadPass', 'Angle']","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,10.0,73.185,23.12,,,,,,,,,,4.0,Artur Jorge,False,Arouca,Moreirense,0.004771079999999997
,,0.0,,318686.0,73.185,23.12,,,Carry,,,,,10.0,72.55499999999999,20.740000000000002,,,,,,,,,,11.0,Yan,False,Arouca,Moreirense,0.0
2387377649.0,8.0,0.0,108.0,318686.0,72.55499999999999,20.740000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,11.0,65.52,15.028000000000002,,,,,,,,,,11.0,Yan,False,Arouca,Moreirense,-0.005418929999999999
,,0.0,,122089.0,65.52,15.028000000000002,,,Carry,,,,,11.0,66.045,9.520000000000001,,,,,,,,,,77.0,Paulinho,False,Arouca,Moreirense,0.0
2387377715.0,10.0,0.0,108.0,122089.0,66.045,9.520000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,14.0,70.875,3.128000000000001,,,,,,,,,,77.0,Paulinho,False,Arouca,Moreirense,0.0025178200000000005
2387377723.0,11.0,0.0,108.0,318686.0,69.825,3.808,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Chipped', 'Length']","[91, 120, 29, 124, 36, 37, 217, 218]",True,17.0,87.99,21.216,,,,,,,,,,11.0,Yan,True,Arouca,Moreirense,0.03746078
2387377709.0,5.0,0.0,5948.0,316658.0,13.86,39.1,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'PassEndX', 'HeadPass', 'Angle', 'PassEndY']","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,18.0,21.315,53.788,,,,,,,,,,,,False,Arouca,Moreirense,-0.0014034000000000008
2387415409.0,290.0,0.0,108.0,122089.0,81.27000000000001,16.728,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[91, 53]",True,21.0,,,,,,,,,,,,77.0,Paulinho,,Arouca,Moreirense,
2387377739.0,6.0,0.0,5948.0,36712.0,23.730000000000004,51.272000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']","[91, 143]",True,21.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387377767.0,7.0,0.0,5948.0,416502.0,22.680000000000003,56.440000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,22.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387377799.0,8.0,0.0,5948.0,416502.0,22.68000000000001,57.05200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Zone', 'Length', 'Angle', 'PassEndX']","[91, 118, 120, 29, 36, 38, 215, 218]",True,23.0,23.94,54.264000000000024,,,,,,,,,,,,False,Arouca,Moreirense,0.0
2387415617.0,291.0,0.0,108.0,318686.0,81.27000000000001,16.592,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,24.0,,,,,,,,,,,,11.0,Yan,,Arouca,Moreirense,
2387377839.0,10.0,0.0,5948.0,401804.0,19.32,48.144,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'StandingSave', 'Longball', 'Length']","[91, 120, 128, 36, 37, 216, 218]",True,25.0,54.70500000000001,68.0,,,,,,,,,,,,True,Arouca,Moreirense,0.0047229199999999985
2387377907.0,13.0,0.0,108.0,328016.0,50.19,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'ThrowIn', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[91, 212, 35, 37, 216]",True,34.0,38.115,5.644000000000001,,,,,,,,,,4.0,Artur Jorge,False,Arouca,Moreirense,-0.0012207699999999995
,,0.0,,322792.0,38.115,5.644000000000001,,,Carry,,,,,34.0,40.32,10.540000000000001,,,,,,,,,,3.0,Lazar Rosic,False,Arouca,Moreirense,0.0008845199999999998
2387377945.0,14.0,0.0,108.0,322792.0,40.32,10.540000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Longball', 'Zone']","[91, 117, 127, 35, 37, 216, 218]",True,37.0,35.910000000000004,43.656000000000006,,,,,,,,,,3.0,Lazar Rosic,False,Arouca,Moreirense,-0.0010425699999999996
,,0.0,,342769.0,35.910000000000004,43.656000000000006,,,Carry,,,,,37.0,37.8,46.172,,,,,,,,,,28.0,Pablo Santos,False,Arouca,Moreirense,0.0015871199999999992
2387377997.0,15.0,0.0,108.0,342769.0,37.8,46.172,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndX', 'PlayerCaughtOffside', 'StandingSave', 'PassEndY', 'Zone', 'Longball']","[91, 217]",True,42.0,81.79500000000002,56.848,,,,,,,,,,28.0,Pablo Santos,,Arouca,Moreirense,
2387378007.0,12.0,0.0,5948.0,326486.0,37.59,23.256000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,42.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387388997.0,11015.0,0.0,108.0,135347.0,81.79500000000002,56.848,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,99.0,Rafael Martins,,Arouca,Moreirense,
2387378223.0,13.0,1.0,5948.0,326486.0,32.655,15.844,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'Length', 'StandingSave', 'PassEndX', 'IndirectFreekickTaken', 'Angle', 'Zone', 'PassEndY']","[91, 117, 30, 132, 36, 37, 216, 218]",True,6.0,36.54,22.916000000000004,,,,,,,,,,,,False,Arouca,Moreirense,0.00050972
2387378255.0,14.0,1.0,5948.0,316658.0,35.805,22.848000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,8.0,33.81,16.388,,,,,,,,,,,,False,Arouca,Moreirense,-0.00050972
2387378307.0,15.0,1.0,5948.0,326486.0,34.230000000000004,16.728,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,11.0,32.550000000000004,46.784,,,,,,,,,,,,False,Arouca,Moreirense,0.00050972
2387378331.0,16.0,1.0,5948.0,401804.0,34.965,47.94000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,14.0,43.050000000000004,64.80400000000002,,,,,,,,,,,,False,Arouca,Moreirense,0.00015804999999999986
2387378369.0,17.0,1.0,5948.0,416502.0,43.050000000000004,64.80400000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,16.0,32.655,55.62400000000001,,,,,,,,,,,,False,Arouca,Moreirense,-0.0006677699999999998
2387378451.0,18.0,1.0,5948.0,401804.0,33.81,50.79600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,19.0,35.385000000000005,29.240000000000002,,,,,,,,,,,,False,Arouca,Moreirense,0.0002191399999999996
2387378505.0,19.0,1.0,5948.0,326486.0,38.64,19.584000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 37, 216, 218]",True,25.0,38.64,38.48800000000001,,,,,,,,,,,,False,Arouca,Moreirense,-6.527999999999916e-05
2387378551.0,20.0,1.0,5948.0,401804.0,37.8,42.228,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,27.0,54.18000000000002,66.50400000000002,,,,,,,,,,,,False,Arouca,Moreirense,0.0021094999999999985
2387378593.0,21.0,1.0,5948.0,416502.0,45.675000000000004,62.62800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,32.0,35.17500000000001,51.61200000000001,,,,,,,,,,,,False,Arouca,Moreirense,-0.0018885399999999993
2387378619.0,22.0,1.0,5948.0,401804.0,34.44,49.84400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,35.0,34.965,30.328000000000003,,,,,,,,,,,,False,Arouca,Moreirense,0.0002191399999999996
2387378639.0,23.0,1.0,5948.0,326486.0,36.330000000000005,25.16,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,38.0,46.410000000000004,7.208000000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.0013788199999999994
2387378669.0,24.0,1.0,5948.0,416503.0,46.83000000000001,4.42,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'StandingSave', 'PassEndX', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,39.0,61.11000000000002,3.128000000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.002252519999999999
2387378691.0,25.0,1.0,5948.0,298402.0,61.11000000000002,3.128000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,41.0,66.78,5.236000000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.002714640000000001
2387378695.0,26.0,1.0,5948.0,416503.0,68.25,2.9920000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,43.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387378907.0,17.0,1.0,108.0,392742.0,41.685,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'ThrowIn', 'Angle', 'Zone', 'PassEndY']","[91, 212, 36, 38, 216]",True,56.0,49.56,63.17200000000001,,,,,,,,,,18.0,Pedro Amador,False,Arouca,Moreirense,0.0012207699999999995
2387378909.0,18.0,1.0,108.0,135347.0,50.295,62.424,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,59.0,,,,,,,,,,,,99.0,Rafael Martins,,Arouca,Moreirense,
2387378905.0,28.0,2.0,5948.0,326486.0,41.265,13.804000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'HeadPass', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,0.0,45.78,11.764,,,,,,,,,,,,False,Arouca,Moreirense,0.0016982100000000003
2387378925.0,19.0,2.0,108.0,135347.0,61.11000000000001,60.724,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,1.0,,,,,,,,,,,,99.0,Rafael Martins,,Arouca,Moreirense,
2387378933.0,29.0,2.0,5948.0,316658.0,43.68000000000001,14.824000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,2.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387378995.0,30.0,2.0,5948.0,316658.0,40.53,16.524,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Foul', 'OppositeRelatedEvent', 'Offensive']","[91, 63]",True,4.0,,,,,,,,,,,,,,,Arouca,Moreirense,
2387378987.0,20.0,2.0,108.0,135347.0,64.47,51.476000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Foul', 'Defensive']",[64],False,4.0,,,,,,,,,,,,99.0,Rafael Martins,,Arouca,Moreirense,
