name,minutes,playerId,team
Bruno Xadas,828,335707.0,Maritimo
Diogo Mendes,1207,422003.0,Maritimo
Iván Rossi,879,282241.0,Maritimo
Jorge Sáenz,397,381584.0,Maritimo
Zainadine Júnior,1530,137058.0,Maritimo
Léo Andrade,999,345713.0,Maritimo
Claudio Winck,1515,101952.0,Maritimo
Ali Alipour,1039,403771.0,Maritimo
Vitor Costa,1299,329366.0,Maritimo
Paulo Victor,1440,74433.0,Maritimo
André Vidigal,1196,361831.0,Maritimo
Pedro Pelágio,673,368411.0,Maritimo
Rodrigo Andrade,4,422004.0,Maritimo
Rúben Macedo,57,368944.0,Maritimo
Joel Tagueu,619,241843.0,Maritimo
Henrique,358,114188.0,Maritimo
Edgar Costa,669,121726.0,Maritimo
Stefano Beltrame,501,123359.0,Maritimo
Rafik Guitane,717,357533.0,Maritimo
Matheus Costa,644,422005.0,Maritimo
Clésio,113,137656.0,Maritimo
Ricardinho,451,416884.0,Maritimo
Fabio China,397,322657.0,Maritimo
Miguel Silva,180,322791.0,Maritimo
Milson,16,395174.0,Maritimo
André Teles,83,322666.0,Maritimo
Filipe Cardoso,16,430399.0,Maritimo
Miguel Sousa,6,430400.0,Maritimo
Moises Castillo Mosquera,9,401126.0,Maritimo
Tim Söderström,68,366840.0,Maritimo
