id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2372639883.0,12.0,0.0,23.0,935.0,36.54,58.276,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Length', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,344716.0,41.265,65.008,,,,,,,,,,,,False,Braga,Famalicao,-0.0008845199999999998
2372639859.0,5.0,0.0,24.0,288.0,53.13,3.5360000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Defensive']",[55],False,83475.0,,,,,,,,,,,,15.0,Paulo Oliveira,,Braga,Famalicao,
2372641737.0,49.0,0.0,24.0,935.0,51.87,64.464,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Offensive']","[91, 54]",True,297245.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372639887.0,13.0,0.0,31.0,935.0,73.605,60.996000000000016,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'StandingSave', 'PassEndX', 'Length', 'Chipped', 'Longball', 'PassEndY']","[91, 120, 124, 128, 36, 38, 217, 218]",True,297245.0,96.075,34.20400000000001,,,,,,,,,,,,True,Braga,Famalicao,0.08682973
2372639899.0,6.0,0.0,33.0,288.0,8.925,35.836000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,296521.0,,,,,,,,,,,,1.0,Matheus,,Braga,Famalicao,
2372639967.0,7.0,0.0,37.0,288.0,11.655,36.65200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Length', 'Angle', 'KeeperThrow']","[91, 36, 37, 215, 218]",True,296521.0,21.21,48.144,,,,,,,,,,1.0,Matheus,False,Braga,Famalicao,-0.0008141799999999994
,,0.0,37.0,,21.21,48.144,,,Carry,,,,,361852.0,23.205000000000002,48.00800000000001,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,0.0
2372639991.0,8.0,0.0,42.0,288.0,23.205000000000002,48.00800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,361852.0,28.35,30.056000000000004,,,,,,,,,,4.0,Diogo Leite,False,Braga,Famalicao,0.0013107199999999996
,,0.0,42.0,,28.35,30.056000000000004,,,Carry,,,,,381792.0,33.81,28.220000000000002,,,,,,,,,,8.0,Al Musrati,False,Braga,Famalicao,0.0
2372640001.0,9.0,0.0,46.0,288.0,33.81,28.220000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Chipped', 'Zone', 'StandingSave', 'Longball', 'Length', 'PassEndX', 'PassEndY']","[91, 120, 124, 128, 36, 37, 216, 218]",True,381792.0,63.839999999999996,49.57200000000001,,,,,,,,,,8.0,Al Musrati,True,Braga,Famalicao,0.008027560000000001
2372640025.0,14.0,0.0,48.0,935.0,32.13000000000001,22.236000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'Angle', 'StandingSave', 'PassEndY', 'HeadPass', 'PassEndX']","[91, 120, 29, 139, 36, 38, 216, 218]",True,422248.0,61.74,20.672000000000004,,,,,,,,,,,,True,Braga,Famalicao,0.005751339999999999
2372640061.0,10.0,0.0,50.0,288.0,39.375,49.64,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'Length', 'PassEndY', 'Longball']","[91, 119, 117, 127, 36, 38, 216, 218]",True,361852.0,58.065,35.02000000000001,,,,,,,,,,4.0,Diogo Leite,True,Braga,Famalicao,0.004203539999999999
2372640063.0,11.0,0.0,52.0,288.0,57.435,34.748000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[197, 199]",False,430433.0,,,,,,,,,,,,96.0,Miguel Falé,,Braga,Famalicao,
