id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2353480561.0,420.0,0.0,25.0,288.0,54.915,20.672,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['StandingSave', 'OppositeRelatedEvent', 'Defensive', 'Zone']","[90, 59]",True,361852.0,,,,,,,,,,,,4.0,Diogo Leite,,Benfica,Braga,
2353440815.0,13.0,0.0,25.0,299.0,57.54,50.592000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'OppositeRelatedEvent', 'Zone', 'PassEndY', 'Offensive', 'Length', 'StandingSave']","[90, 119, 28, 34, 37, 215, 217]",True,400828.0,57.015,49.64,,,,,,,,,,,,False,Benfica,Braga,0.0
2353440823.0,6.0,0.0,26.0,288.0,56.7,29.716000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,140118.0,,,,,,,,,,,,5.0,Nuno Sequeira,,Benfica,Braga,
2353440839.0,7.0,0.0,27.0,288.0,56.7,29.716000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Angle', 'StandingSave', 'PassEndY', 'Zone']","[90, 118, 116, 29, 35, 36, 215, 217]",True,140118.0,64.89,36.92400000000001,,,,,,,,,,5.0,Nuno Sequeira,False,Benfica,Braga,0.0030754200000000023
2353440867.0,8.0,0.0,28.0,288.0,64.89,36.92400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'Longball', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY']","[90, 119, 127, 35, 37, 216, 217]",True,127130.0,94.71000000000001,21.964,,,,,,,,,,21.0,Ricardo Horta,True,Benfica,Braga,0.03494068
2353440871.0,14.0,0.0,31.0,299.0,8.295,49.096,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,75691.0,,,,,,,,,,,,,,,Benfica,Braga,
2353440921.0,15.0,0.0,34.0,299.0,7.455,64.19200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[90, 116, 29, 35, 37, 214, 217]",True,75691.0,13.965000000000003,64.05600000000001,,,,,,,,,,,,False,Benfica,Braga,0.0014131300000000003
2353440943.0,16.0,0.0,37.0,299.0,6.615,63.036000000000016,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'Zone', 'PassEndX', 'PassEndY']","[90, 116, 29, 34, 37, 214, 217]",True,107252.0,5.04,56.71200000000001,,,,,,,,,,,,False,Benfica,Braga,0.0011176900000000002
2353440957.0,17.0,0.0,38.0,299.0,5.04,56.71200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'Zone', 'StandingSave', 'Longball', 'PassEndX', 'Length']","[90, 117, 119, 127, 35, 36, 215, 217]",True,21778.0,40.005,65.41600000000001,,,,,,,,,,,,True,Benfica,Braga,0.003761950000000001
2353480835.0,421.0,0.0,42.0,288.0,59.115,8.024000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,83475.0,,,,,,,,,,,,15.0,Paulo Oliveira,,Benfica,Braga,
