id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2421120151.0,10.0,0.0,30.0,935.0,52.395,61.81200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,297245.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421120147.0,10.0,0.0,32.0,288.0,43.785,5.44,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395940.0,,,,,,,,,,,,70.0,Fabiano,,Famalicao,Braga,
,,0.0,32.0,,43.785000000000004,5.44,,,Carry,,,,,395940.0,34.65,4.760000000000001,,,,,,,,,,70.0,Fabiano,False,Famalicao,Braga,-0.0014860800000000007
2421120175.0,12.0,0.0,34.0,288.0,34.65,4.760000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,395940.0,11.76,17.136,,,,,,,,,,70.0,Fabiano,False,Famalicao,Braga,8.600000000000968e-07
,,0.0,34.0,,11.76,17.136,,,Carry,,,,,415682.0,12.075000000000001,20.06,,,,,,,,,,91.0,Lukas Hornicek,False,Famalicao,Braga,0.0
2421120179.0,13.0,0.0,36.0,288.0,12.075000000000001,20.06,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,415682.0,22.26,44.47200000000001,,,,,,,,,,91.0,Lukas Hornicek,False,Famalicao,Braga,0.0002355900000000008
2421120195.0,14.0,0.0,39.0,288.0,22.26,44.336000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,361852.0,27.51,35.088,,,,,,,,,,4.0,Diogo Leite,False,Famalicao,Braga,0.0013107199999999996
,,0.0,39.0,,27.51,35.088,,,Carry,,,,,374812.0,29.82,35.496,,,,,,,,,,16.0,David Carmo,False,Famalicao,Braga,0.0
2421120227.0,15.0,0.0,40.0,288.0,29.82,35.496,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,374812.0,48.930000000000014,34.61200000000001,,,,,,,,,,16.0,David Carmo,False,Famalicao,Braga,0.0035222199999999995
,,0.0,40.0,,48.930000000000014,34.61200000000001,,,Carry,,,,,127130.0,59.22,34.476000000000006,,,,,,,,,,21.0,Ricardo Horta,True,Famalicao,Braga,0.0020492999999999987
2421120247.0,16.0,0.0,44.0,288.0,59.22,34.476000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,127130.0,74.655,51.74800000000001,,,,,,,,,,21.0,Ricardo Horta,True,Famalicao,Braga,0.00711993
,,0.0,44.0,,74.655,51.74800000000001,,,Carry,,,,,402823.0,80.01,53.992,,,,,,,,,,57.0,Rodrigo Gomes,False,Famalicao,Braga,0.00551751
2421120251.0,17.0,0.0,47.0,288.0,80.01,53.992,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'StandingSave', 'Zone']","[91, 53]",True,402823.0,,,,,,,,,,,,57.0,Rodrigo Gomes,,Famalicao,Braga,
2421120261.0,11.0,0.0,48.0,935.0,24.99,14.008000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Defensive', 'Zone']","[91, 142]",True,422248.0,,,,,,,,,,,,,,,Famalicao,Braga,
2421160559.0,425.0,0.0,48.0,288.0,79.275,53.924,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,402823.0,,,,,,,,,,,,57.0,Rodrigo Gomes,,Famalicao,Braga,
2421120283.0,18.0,0.0,50.0,288.0,81.58500000000001,56.44000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,322689.0,84.315,50.25200000000001,,,,,,,,,,10.0,André Horta,False,Famalicao,Braga,-0.0009806999999999975
,,0.0,50.0,,84.315,50.25200000000001,,,Carry,,,,,372828.0,90.19500000000001,48.824,,,,,,,,,,9.0,Abel Ruiz,True,Famalicao,Braga,0.026359360000000002
2421120313.0,19.0,0.0,52.0,288.0,90.19500000000001,48.824,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'RegularPlay', 'ShotAssist', 'IntentionalAssist', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'BigChanceCreated', 'IntentionalGoalAssist', 'KeyPass']","[91, 92, 100, 119, 117, 30, 123, 203, 205, 40, 46, 52, 35, 38, 217, 218]",True,372828.0,89.565,39.712,,,,,,,,,,9.0,Abel Ruiz,False,Famalicao,Braga,0.053139639999999995
2421120317.0,20.0,0.0,55.0,288.0,89.565,39.712,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Goal,Successful,"['BoxCentre', 'RelatedEventId', 'Zone', 'StandingSave', 'RightFoot', 'RegularPlay', 'GoalMouthY', 'BigChance', 'LowRight', 'GoalMouthZ', 'IntentionalAssist', 'Assisted']","[91, 24, 9, 10, 202, 1, 3, 12, 17, 19, 25]",True,127130.0,,,19.0,372828.0,3.8,45.7,True,True,,,,21.0,Ricardo Horta,,Famalicao,Braga,
2421120845.0,12.0,2.0,21.0,935.0,52.710000000000015,34.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,142352.0,44.1,34.68,,,,,,,,,,,,False,Famalicao,Braga,-0.0020492999999999987
2421120857.0,13.0,2.0,22.0,935.0,43.785000000000004,33.52400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,344716.0,37.695,22.712,,,,,,,,,,,,False,Famalicao,Braga,6.527999999999916e-05
2421120867.0,14.0,2.0,24.0,935.0,37.695,22.712,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'StandingSave', 'PassEndY', 'Chipped', 'Zone', 'PassEndX', 'Angle', 'Length']","[91, 117, 124, 127, 36, 37, 216, 218]",True,422248.0,42.210000000000015,60.24800000000001,,,,,,,,,,,,False,Famalicao,Braga,-0.0014290699999999993
2421120871.0,21.0,2.0,29.0,288.0,67.2,4.0120000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,407949.0,,,,,,,,,,,,99.0,Vítor Oliveira,,Famalicao,Braga,
2421120869.0,15.0,2.0,29.0,935.0,41.58000000000001,62.83200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'PassEndX']","[91, 118, 120, 29, 36, 38, 216, 218]",True,243271.0,45.255,62.424,,,,,,,,,,,,False,Famalicao,Braga,0.0012207699999999995
2421120925.0,17.0,2.0,37.0,935.0,46.095,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[91, 212, 35, 38, 216]",True,243271.0,37.065,62.424,,,,,,,,,,,,False,Famalicao,Braga,-0.0012207699999999995
2421120959.0,18.0,2.0,40.0,935.0,34.02000000000001,60.79200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,365413.0,26.985,38.760000000000005,,,,,,,,,,,,False,Famalicao,Braga,0.0015471700000000005
