id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328283715.0,3.0,0.0,13.0,786.0,71.40000000000002,66.50400000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'Angle', 'Zone', 'Length', 'PassEndX']","[90, 119, 28, 35, 37, 216, 217]",True,23621.0,74.235,66.30000000000001,,,,,,,,,,,False,Pacos de Ferreira,Braga,0.0
2328283893.0,4.0,0.0,16.0,786.0,66.885,66.30000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Foul', 'Zone', 'OppositeRelatedEvent']","[90, 62]",True,23621.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328283859.0,10.0,0.0,16.0,288.0,38.115,1.7000000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Defensive', 'StandingSave', 'Zone', 'Foul', 'OppositeRelatedEvent']",[63],False,421975.0,,,,,,,,,,,2.0,Yan Couto,,Pacos de Ferreira,Braga,
2328284071.0,5.0,0.0,21.0,786.0,66.88500000000002,65.89200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone', 'FreekickTaken', 'PassEndX', 'Longball']","[90, 116, 126, 131, 34, 37, 214, 217]",True,23621.0,34.44,59.29600000000001,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.006855699999999999
2328284265.0,7.0,0.0,25.0,786.0,30.765,54.536000000000016,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'Longball', 'PassEndY', 'StandingSave', 'Zone']","[90, 116, 126, 35, 37, 214, 217]",True,380682.0,34.545,11.356,,,,,,,,,,,False,Pacos de Ferreira,Braga,0.0
2328284331.0,8.0,0.0,31.0,786.0,36.435,10.608,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,275110.0,24.78,25.568,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.001981700000000001
2328284557.0,9.0,0.0,34.0,786.0,25.935,26.656,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,322859.0,8.82,30.872,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0007549299999999991
2328284723.0,10.0,0.0,39.0,786.0,10.605,29.444000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'Angle', 'PassEndX', 'Length', 'Longball', 'StandingSave']","[90, 119, 127, 35, 36, 216, 217]",True,364187.0,79.065,61.54000000000001,,,,,,,,,,,True,Pacos de Ferreira,Braga,0.01039407
2328284743.0,11.0,0.0,45.0,288.0,20.16,6.188000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,421975.0,,,,,,,,,,,2.0,Yan Couto,,Pacos de Ferreira,Braga,
,,0.0,45.0,,20.16,6.1880000000000015,,,Carry,,,,,421975.0,18.9,3.6040000000000005,,,,,,,,,2.0,Yan Couto,False,Pacos de Ferreira,Braga,-0.0006523799999999993
2328284835.0,12.0,0.0,48.0,288.0,18.9,3.6040000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'Angle', 'StandingSave', 'PassEndY']","[90, 116, 29, 34, 36, 214, 217]",True,421975.0,4.725000000000001,11.9,,,,,,,,,2.0,Yan Couto,False,Pacos de Ferreira,Braga,-0.0009478199999999994
,,0.0,48.0,,4.725000000000001,11.9,,,Carry,,,,,363935.0,4.83,10.336000000000002,,,,,,,,,3.0,Vítor Tormena,False,Pacos de Ferreira,Braga,0.0
2328284861.0,13.0,0.0,50.0,288.0,4.83,10.336000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave', 'Length', 'Chipped']","[90, 117, 119, 28, 123, 35, 36, 214, 217]",True,363935.0,34.230000000000004,10.744000000000002,,,,,,,,,3.0,Vítor Tormena,False,Pacos de Ferreira,Braga,0.003094180000000001
2328284925.0,11.0,0.0,51.0,786.0,63.315,49.232000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'HeadPass', 'PassEndX', 'Length']","[90, 118, 116, 29, 138, 204, 35, 37, 216, 217]",True,384889.0,89.565,47.19200000000001,,,,,,,,,,,True,Pacos de Ferreira,Braga,0.035560060000000004
