id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2415054811.0,2.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415054815.0,2.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415117959.0,873.0,0.0,0.0,296.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415117981.0,760.0,0.0,0.0,290.0,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415020837.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'CaptainPlayerId', 'TeamFormation', 'JerseyNumber']",[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415021845.0,1.0,0.0,0.0,290.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'TeamPlayerFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,,Sporting,Gil Vicente,
2415054863.0,3.0,0.0,0.0,290.0,52.185,34.20400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,369398.0,46.515,35.63200000000001,,,,,,,,,,,,,False,Sporting,Gil Vicente,0.0
2415090269.0,369.0,0.0,1.0,290.0,49.35,34.816,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,322643.0,41.265,33.11600000000001,,,,,,,,,,,,,False,Sporting,Gil Vicente,-0.002219519999999999
2415054875.0,4.0,0.0,2.0,290.0,40.635000000000005,36.312000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 216, 218]",True,144360.0,36.12,44.88,,,,,,,,,,,,,False,Sporting,Gil Vicente,6.527999999999916e-05
2415054891.0,5.0,0.0,5.0,290.0,36.225,45.56,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,135962.0,38.43,60.79200000000001,,,,,,,,,,,,,False,Sporting,Gil Vicente,0.00015804999999999986
2415054903.0,6.0,0.0,8.0,290.0,38.115,64.87200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Chipped', 'Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX']","[91, 120, 29, 124, 36, 38, 216, 218]",True,322733.0,64.155,59.43200000000001,,,,,,,,,,,,,True,Sporting,Gil Vicente,0.007440799999999999
2415054921.0,3.0,0.0,9.0,296.0,30.03,6.868,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,70953.0,,,,,,,,,,,,,13.0,Luís Neto,,Sporting,Gil Vicente,
2415054979.0,4.0,0.0,14.0,296.0,31.395,6.596000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,70953.0,41.055,12.036,,,,,,,,,,,13.0,Luís Neto,False,Sporting,Gil Vicente,0.0023706000000000005
