name,minutes,playerId,team
Paulinho,1473,122089.0,Sporting
Paulinho,1473,135563.0,Sporting
Ricardo Esgaio,914,109474.0,Sporting
Pablo Sarabia,1018,94868.0,Sporting
Pedro Porro,705,362352.0,Sporting
Sebastián Coates,1530,71268.0,Sporting
João Palhinha,1282,322774.0,Sporting
Antonio Adán,1620,23285.0,Sporting
Nuno Santos,1172,384889.0,Sporting
Nuno Santos,1172,296364.0,Sporting
Matheus Reis,1053,283978.0,Sporting
Daniel Bragança,441,384888.0,Sporting
Matheus Nunes,1357,394933.0,Sporting
Luís Neto,720,70953.0,Sporting
Bruno Tabata,119,342699.0,Sporting
Tiago Tomás,167,395850.0,Sporting
Jovane Cabral,328,361964.0,Sporting
Manuel Ugarte,280,408962.0,Sporting
Gonçalo Inácio,1170,395992.0,Sporting
Pote,1194,344378.0,Sporting
Zouhair Feddal,551,106597.0,Sporting
Rúben Vinagre,391,342863.0,Sporting
Nuno Mendes,113,395221.0,Sporting
Gonçalo Esteves,183,421842.0,Sporting
Názinho,98,411913.0,Sporting
Geny Catamo,31,425093.0,Sporting
