id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2370707317.0,2.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370707311.0,2.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370730819.0,647.0,0.0,0.0,1463.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370730827.0,1006.0,0.0,0.0,296.0,0.0,0.0,9.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370685627.0,1.0,0.0,0.0,296.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'TeamPlayerFormation', 'CaptainPlayerId', 'TeamFormation', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370687061.0,1.0,0.0,0.0,1463.0,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'PlayerPosition', 'JerseyNumber', 'TeamPlayerFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,,Sporting,Portimonense,
2370707327.0,3.0,0.0,0.0,296.0,52.605000000000004,33.93200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,135563.0,32.865,31.076000000000004,,,,,,,,,,,21.0,Paulinho,False,Sporting,Portimonense,-0.0035222199999999995
2370707345.0,4.0,0.0,2.0,296.0,32.865,31.552,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,71268.0,33.705000000000005,42.160000000000004,,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Portimonense,0.0
2370707369.0,5.0,0.0,5.0,296.0,34.965,42.364000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,283978.0,38.535,37.536,,,,,,,,,,,2.0,Matheus Reis,False,Sporting,Portimonense,0.0013027000000000004
,,0.0,5.0,,38.535,37.536,,,Carry,,,,,322774.0,45.360000000000014,47.6,,,,,,,,,,,6.0,João Palhinha,False,Sporting,Portimonense,0.0016648199999999991
2370707373.0,6.0,0.0,9.0,296.0,45.360000000000014,47.6,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,322774.0,47.67,55.14800000000001,,,,,,,,,,,6.0,João Palhinha,False,Sporting,Portimonense,-0.0004458799999999992
