id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,cardType,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328632713.0,2.0,0.0,297.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328632719.0,2.0,0.0,296.0,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328698771.0,811.0,0.0,297.0,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328698803.0,733.0,0.0,296.0,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328610495.0,1.0,0.0,297.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'TeamFormation', 'PlayerPosition', 'JerseyNumber', 'CaptainPlayerId', 'TeamPlayerFormation']",[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328613165.0,1.0,0.0,296.0,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'TeamPlayerFormation', 'PlayerPosition', 'JerseyNumber', 'CaptainPlayerId']",[],False,0.0,,,,,,,,,,,,,,,Sporting,Porto,
2328632763.0,3.0,0.0,297.0,120608.0,52.5,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'StandingSave', 'Zone']","[90, 117, 119, 127, 34, 36, 215, 217]",True,0.0,50.19,68.0,,,,,,,,,,,,False,Sporting,Porto,-0.0023625399999999998
2328632849.0,4.0,0.0,296.0,362352.0,54.075,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Longball']","[90, 211, 34, 36, 214]",True,10.0,29.294999999999998,12.58,,,,,,,,,,24.0,Pedro Porro,False,Sporting,Porto,-0.0041410599999999985
2328632863.0,5.0,0.0,296.0,70953.0,29.294999999999998,12.58,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Angle', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,12.0,27.930000000000007,30.056000000000004,,,,,,,,,,13.0,Luís Neto,False,Sporting,Porto,0.0007288599999999996
2328632897.0,6.0,0.0,296.0,71268.0,27.825000000000006,29.104000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,17.0,27.615000000000002,14.552000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Porto,-0.0007288599999999996
2328632905.0,7.0,0.0,296.0,70953.0,27.615000000000002,14.552000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'PassEndX', 'Zone', 'Length', 'Angle']","[90, 116, 29, 35, 36, 215, 217]",True,19.0,36.960000000000015,16.388,,,,,,,,,,13.0,Luís Neto,False,Sporting,Porto,0.0015522899999999996
2328632933.0,8.0,0.0,296.0,322774.0,36.960000000000015,16.388,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Angle', 'Length']","[90, 116, 29, 34, 36, 214, 217]",True,20.0,28.980000000000008,16.796,,,,,,,,,,6.0,João Palhinha,False,Sporting,Porto,-0.0015522899999999996
,,0.0,,70953.0,28.980000000000008,16.796,,,Carry,,,,,20.0,31.395,21.080000000000002,,,,,,,,,,13.0,Luís Neto,False,Sporting,Porto,0.00050972
2328632953.0,9.0,0.0,296.0,70953.0,31.395,21.080000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,23.0,27.930000000000007,37.468,,,,,,,,,,13.0,Luís Neto,False,Sporting,Porto,0.0002191399999999996
,,0.0,,71268.0,27.930000000000007,37.468,,,Carry,,,,,23.0,30.345,37.876000000000005,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Porto,0.0
2328632955.0,5.0,0.0,297.0,90310.0,70.35000000000001,34.408,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'OtherBodyPart', 'Zone']",[90],True,27.0,,,,,,,,,,,,,,,Sporting,Porto,
2328632959.0,10.0,0.0,296.0,71268.0,30.345,37.876000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'PassEndX', 'Zone', 'Chipped', 'StandingSave', 'Angle']","[90, 117, 119, 28, 123, 35, 36, 215, 217]",True,27.0,35.28,40.188,,,,,,,,,,4.0,Sebastián Coates,False,Sporting,Porto,0.0
2328632973.0,6.0,0.0,297.0,120608.0,64.995,5.576,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,29.0,,,,,,,,,,,,,,,Sporting,Porto,
2328633015.0,7.0,0.0,297.0,120608.0,62.895,6.256000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'Length', 'StandingSave', 'PassEndY']","[90, 116, 29, 34, 36, 215, 217]",True,32.0,40.845,17.204,,,,,,,,,,,,False,Sporting,Porto,-0.00475886
2328633031.0,8.0,0.0,297.0,104368.0,38.535,18.428,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Angle', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,33.0,41.58000000000001,7.072000000000001,,,,,,,,,,,,False,Sporting,Porto,-0.0014290699999999993
2328633049.0,9.0,0.0,297.0,395173.0,41.37,7.072000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'PassEndX', 'StandingSave']","[90, 116, 29, 34, 36, 214, 217]",True,34.0,15.855,25.772000000000002,,,,,,,,,,,,False,Sporting,Porto,-0.0004354500000000004
2328633079.0,10.0,0.0,297.0,373842.0,14.805,30.124000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Longball', 'Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length']","[90, 117, 119, 127, 35, 36, 215, 217]",True,38.0,39.585000000000015,62.76400000000001,,,,,,,,,,,,False,Sporting,Porto,0.0004354500000000004
2328633087.0,11.0,0.0,296.0,362352.0,62.580000000000005,5.712000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[196, 198]",False,40.0,,,,,,,,,,,,24.0,Pedro Porro,,Sporting,Porto,
2328633085.0,11.0,0.0,297.0,28521.0,42.42,62.288,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 199]",False,40.0,,,,,,,,,,,,,,,Sporting,Porto,
