id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387272191.0,10.0,0.0,21.0,296.0,40.215,48.75600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,283978.0,37.905,35.02000000000001,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,-6.527999999999916e-05
,,0.0,21.0,,37.905,35.02000000000001,,,Carry,,,,,71268.0,38.010000000000005,28.084000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,0.0
2387272205.0,11.0,0.0,25.0,296.0,38.010000000000005,28.084000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'StandingSave', 'PassEndX', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,71268.0,41.265,15.912000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,-0.0004792700000000004
2387272241.0,12.0,0.0,26.0,296.0,41.265,15.912000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,395992.0,59.745000000000005,11.152,,,,,,,,,,25.0,Gonçalo Inácio,True,Maritimo,Sporting,0.003970940000000001
,,0.0,26.0,,59.745000000000005,11.152,,,Carry,,,,,384888.0,64.26000000000002,7.752000000000001,,,,,,,,,,68.0,Daniel Bragança,False,Maritimo,Sporting,0.0013324699999999988
2387272263.0,13.0,0.0,29.0,296.0,64.26000000000002,7.752000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,384888.0,73.29000000000002,2.176,,,,,,,,,,68.0,Daniel Bragança,False,Maritimo,Sporting,0.00377069
2387272303.0,14.0,0.0,31.0,296.0,73.29000000000002,2.176,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Length', 'StandingSave', 'Angle']","[91, 119, 117, 30, 35, 37, 216, 218]",True,362352.0,58.065,2.924,,,,,,,,,,24.0,Pedro Porro,False,Maritimo,Sporting,-0.006485330000000001
,,0.0,31.0,,58.065,2.924,,,Carry,,,,,384888.0,60.165,2.72,,,,,,,,,,68.0,Daniel Bragança,False,Maritimo,Sporting,0.0
2387272307.0,15.0,0.0,32.0,296.0,60.165,2.72,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 70]",True,384888.0,,,,,,,,,,,,68.0,Daniel Bragança,,Maritimo,Sporting,
2387272331.0,3.0,0.0,32.0,264.0,44.83500000000001,65.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent', 'StandingSave']","[91, 143]",True,335707.0,,,,,,,,,,,,,,,Maritimo,Sporting,
