id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,shirtNo,name,progressive,homeTeam,awayTeam,xT
2483111551.0,21.0,2.0,2.0,251,25.200000000000003,63.24,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,369884.0,38.955000000000005,65.212,,,,,,,,,3.0,Xavier Quintillá,False,Chaves,Santa Clara,0.0028141300000000015
,,2.0,2.0,251,38.955000000000005,65.212,,,Carry,,,,,422200.0,43.155,65.07600000000001,,,,,,,,,10.0,Ricardinho,False,Chaves,Santa Clara,0.0
2483111561.0,22.0,2.0,3.0,251,43.155,65.07600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,422200.0,,,,,,,,,,,10.0,Ricardinho,,Chaves,Santa Clara,
2483111573.0,23.0,2.0,5.0,251,42.63,63.17200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,416885.0,50.714999999999996,58.412000000000006,,,,,,,,,80.0,Victor Bobsin,False,Chaves,Santa Clara,0.00258273
,,2.0,5.0,251,50.714999999999996,58.412000000000006,,,Carry,,,,,431984.0,48.510000000000005,57.868,,,,,,,,,9.0,Kyosuke Tagawa,False,Chaves,Santa Clara,0.0
2483111577.0,24.0,2.0,6.0,251,48.510000000000005,57.868,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'Length', 'Zone', 'PassEndX']","[91, 118, 120, 29, 36, 37, 216, 218]",True,431984.0,49.245,68.0,,,,,,,,,9.0,Kyosuke Tagawa,False,Chaves,Santa Clara,
2483111611.0,14.0,2.0,11.0,2008,50.400000000000006,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'ThrowIn', 'Longball', 'Zone', 'Length', 'Angle', 'PassEndX']","[91, 212, 35, 37, 215]",True,381794.0,31.185000000000002,18.768,,,,,,,,,,,False,Chaves,Santa Clara,-0.0013788199999999994
2483111627.0,15.0,2.0,15.0,2008,32.655,22.1,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,121484.0,39.165,45.900000000000006,,,,,,,,,,,False,Chaves,Santa Clara,0.0015871199999999992
2483111661.0,16.0,2.0,18.0,2008,40.845,42.976000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,323355.0,41.895,20.332,,,,,,,,,,,False,Chaves,Santa Clara,0.0
2483111677.0,17.0,2.0,23.0,2008,49.35,22.78,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,362386.0,45.885000000000005,44.812000000000005,,,,,,,,,,,False,Chaves,Santa Clara,0.0
