id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,isGoal,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2503845501.0,2.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503845557.0,2.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2504004005.0,899.0,0.0,0.0,251,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2504004039.0,678.0,0.0,0.0,122,0.0,0.0,7.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503753073.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'JerseyNumber', 'PlayerPosition', 'TeamPlayerFormation', 'TeamFormation', 'CaptainPlayerId']",[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503755773.0,1.0,0.0,0.0,251,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId', 'TeamFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503845685.0,3.0,0.0,0.0,251,52.605000000000004,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'StandingSave', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,322764.0,38.115,37.944,,,,,,,,,,,,False,Santa Clara,Boavista,-0.004268819999999998
2503845767.0,4.0,0.0,2.0,251,39.27,38.964,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Angle', 'Longball', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[91, 120, 124, 128, 36, 37, 217, 218]",True,416885.0,72.34500000000001,52.768,,,,,,,,,,,,True,Santa Clara,Boavista,
2503845745.0,4.0,0.0,5.0,122,36.435,18.02,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,423602.0,,,,,,,,,,,,18.0,Ilija Vukotic,,Santa Clara,Boavista,
2503845735.0,3.0,0.0,5.0,122,32.13,12.58,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'HeadPass', 'Zone', 'Length', 'PassEndX']","[91, 117, 30, 139, 36, 37, 216, 218]",True,422313.0,36.435,18.02,,,,,,,,,,79.0,Pedro Malheiro,False,Santa Clara,Boavista,0.0005097200000000017
2503845799.0,5.0,0.0,5.0,122,36.435,18.02,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,423602.0,42.63,4.216,,,,,,,,,,18.0,Ilija Vukotic,False,Santa Clara,Boavista,-0.0014290699999999993
2503845819.0,6.0,0.0,8.0,122,42.63,4.216,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Length', 'Zone', 'PassEndY', 'Angle']","[91, 118, 120, 29, 36, 37, 216, 218]",True,91775.0,43.365,11.356,,,,,,,,,,21.0,Salvador Agra,False,Santa Clara,Boavista,
2503936819.0,453.0,0.0,8.0,251,58.800000000000004,55.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,469662.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503937037.0,454.0,0.0,9.0,251,65.415,52.088,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,322764.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503845955.0,7.0,0.0,10.0,251,66.885,50.660000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,322764.0,70.665,65.07600000000001,,,,,,,,,,,,False,Santa Clara,Boavista,0.0018699699999999986
2503846109.0,8.0,0.0,12.0,251,70.665,65.07600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,143035.0,97.23,58.004000000000005,,,,,,,,,,,,True,Santa Clara,Boavista,0.025255919999999998
2503846151.0,9.0,0.0,15.0,251,102.06,56.57600000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'StandingSave', 'Cross', 'LeftFoot', 'PassEndY', 'Chipped', 'Angle', 'PassEndX', 'Zone']","[91, 138, 124, 126, 35, 38, 217, 218]",True,281935.0,99.22500000000001,22.508000000000003,,,,,,,,,,,,False,Santa Clara,Boavista,
2503846133.0,7.0,0.0,16.0,122,5.985,42.024,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[197, 200]",False,454408.0,,,,,,,,,,,,70.0,Bruno,,Santa Clara,Boavista,
2503846197.0,10.0,0.0,16.0,251,99.015,25.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[198, 199]",False,397849.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503846175.0,8.0,0.0,16.0,122,6.195,38.48800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'PassEndX', 'Length', 'Head', 'Angle', 'Zone']","[91, 94, 95, 57, 215]",True,454408.0,0.0,48.96,,,,,,,,,,70.0,Bruno,,Santa Clara,Boavista,
2503846181.0,9.0,0.0,19.0,122,2.7300000000000004,47.19200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,454408.0,,,,,,,,,,,,70.0,Bruno,,Santa Clara,Boavista,
2503846257.0,11.0,0.0,19.0,251,102.27000000000001,20.808000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['OppositeRelatedEvent', 'Zone', 'MissRight']",[122],False,281935.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503847357.0,12.0,0.0,56.0,251,104.47500000000001,0.34,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'StandingSave', 'CornerTaken', 'Cross', 'RightFoot', 'Zone', 'Chipped', 'PassEndY', 'Length']","[91, 137, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,322764.0,96.705,29.444,,,,,,,,,,,,True,Santa Clara,Boavista,
2503847417.0,10.0,0.0,58.0,122,8.715000000000002,41.412,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Angle', 'Length', 'Zone', 'Head', 'PassEndY']","[91, 94, 95, 57, 215]",True,342705.0,25.41,21.080000000000002,,,,,,,,,,11.0,Yusupha Njie,,Santa Clara,Boavista,
2503847541.0,13.0,1.0,0.0,251,73.92000000000002,44.88,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,469662.0,78.015,57.39200000000001,,,,,,,,,,,,False,Santa Clara,Boavista,-0.00010719000000000353
2503847603.0,14.0,1.0,2.0,251,79.38,56.916000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'PassEndX', 'Zone', 'Length']","[91, 119, 117, 30, 35, 38, 216, 218]",True,422199.0,53.655,46.376000000000005,,,,,,,,,,,,False,Santa Clara,Boavista,-0.012676759999999999
2503847683.0,15.0,1.0,6.0,251,44.1,43.928,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,369083.0,21.735,23.868000000000002,,,,,,,,,,,,False,Santa Clara,Boavista,-0.004278239999999999
2503847799.0,16.0,1.0,10.0,251,21.21,22.848000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'StandingSave', 'Length', 'PassEndY', 'Longball', 'Angle']","[91, 119, 117, 127, 205, 36, 37, 217, 218]",True,337629.0,71.925,39.1,,,,,,,,,,,,True,Santa Clara,Boavista,0.013838449999999999
2503847829.0,17.0,1.0,14.0,251,70.56,42.29600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[197, 199]",False,322744.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503847795.0,11.0,1.0,14.0,122,34.44,25.704,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[198, 200]",False,120590.0,,,,,,,,,,,,23.0,Vincent Sasso,,Santa Clara,Boavista,
2503847841.0,18.0,1.0,14.0,251,71.82000000000001,39.1,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'Head']",[91],True,322744.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503848013.0,13.0,1.0,16.0,122,30.345,30.124,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,422313.0,,,,,,,,,,,,79.0,Pedro Malheiro,,Santa Clara,Boavista,
2503848003.0,12.0,1.0,16.0,122,31.605000000000004,25.432000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Longball', 'PassEndX', 'StandingSave', 'Length', 'Angle', 'PassEndY']","[91, 120, 128, 36, 37, 217, 218]",True,422313.0,91.455,31.756000000000004,,,,,,,,,,79.0,Pedro Malheiro,True,Santa Clara,Boavista,
,,1.0,16.0,122,30.345,30.124,,,Carry,,,,,422313.0,31.605000000000004,25.432000000000002,,,,,,,,,,79.0,Pedro Malheiro,False,Santa Clara,Boavista,-0.0002191399999999996
2503848041.0,19.0,1.0,22.0,251,15.015,35.904,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,337629.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503848205.0,20.0,1.0,24.0,251,15.015,35.904,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Length', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,337629.0,24.78,49.57200000000001,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0008141799999999994
2503848357.0,21.0,1.0,29.0,251,27.615000000000002,47.736000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 117, 127, 36, 38, 215, 218]",True,455563.0,31.919999999999998,9.520000000000001,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0013280300000000009
2503848471.0,22.0,1.0,35.0,251,36.12,10.336,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,416885.0,25.935,19.176000000000002,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0021341499999999996
2503848709.0,23.0,1.0,38.0,251,25.62,18.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,422199.0,9.555,39.57600000000001,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0006024800000000007
2503848799.0,24.0,1.0,45.0,251,11.235,39.1,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,337629.0,20.37,22.644,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0008141799999999994
2503848899.0,25.0,1.0,47.0,251,20.790000000000003,22.304,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,422199.0,27.615000000000002,5.848,,,,,,,,,,,,False,Santa Clara,Boavista,-0.0015645000000000017
2503848933.0,26.0,1.0,49.0,251,31.080000000000002,3.4000000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,369083.0,28.245,10.812000000000001,,,,,,,,,,,,False,Santa Clara,Boavista,0.0008183099999999992
2503849023.0,27.0,1.0,52.0,251,26.775000000000002,2.924,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,416885.0,37.48500000000001,10.404000000000002,,,,,,,,,,,,False,Santa Clara,Boavista,0.0023706000000000005
2503849079.0,28.0,1.0,55.0,251,36.75,16.32,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Length', 'Chipped', 'StandingSave', 'Zone', 'Longball', 'Angle']","[91, 120, 124, 128, 36, 37, 216, 218]",True,397849.0,64.78500000000001,45.15200000000001,,,,,,,,,,,,True,Santa Clara,Boavista,
2503849087.0,14.0,1.0,58.0,122,38.010000000000005,15.096,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'HeadPass', 'Angle', 'PassEndY', 'Zone', 'StandingSave']","[91, 117, 30, 139, 36, 37, 216, 218]",True,422313.0,49.455000000000005,22.032,,,,,,,,,,79.0,Pedro Malheiro,False,Santa Clara,Boavista,0.0021440899999999995
2503849091.0,15.0,1.0,59.0,122,49.455000000000005,22.032,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,91775.0,,,,,,,,,,,,21.0,Salvador Agra,,Santa Clara,Boavista,
2503849139.0,16.0,2.0,0.0,122,48.825,22.983999999999998,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,91775.0,,,,,,,,,,,,21.0,Salvador Agra,,Santa Clara,Boavista,
2503849255.0,29.0,2.0,0.0,251,56.175000000000004,45.016000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent', 'StandingSave']","[91, 143]",True,322764.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503849271.0,30.0,2.0,5.0,251,11.340000000000002,40.596000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,337629.0,,,,,,,,,,,,,,,Santa Clara,Boavista,
2503849395.0,31.0,2.0,5.0,251,11.340000000000002,40.596000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 37, 215, 218]",True,337629.0,28.245,50.184000000000005,,,,,,,,,,,,False,Santa Clara,Boavista,0.00027740000000000056
