id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,cardType,isOwnGoal,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2551779637.0,2.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551779621.0,3.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551887703.0,872.0,0.0,0.0,288,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551888865.0,935.0,0.0,0.0,122,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551727067.0,1.0,0.0,0.0,288,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'PlayerPosition', 'CaptainPlayerId', 'JerseyNumber', 'TeamFormation', 'InvolvedPlayers']",[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551728703.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'JerseyNumber', 'TeamFormation', 'CaptainPlayerId', 'InvolvedPlayers', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,,Boavista,Braga,
2551779689.0,3.0,0.0,0.0,288,52.29,34.272,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,322689.0,36.015,33.592,,,,,,,,,,,,,False,Boavista,Braga,-0.002219519999999999
2551779733.0,4.0,0.0,2.0,288,36.645,32.300000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Longball', 'Angle', 'Length', 'PassEndY', 'Zone', 'Chipped', 'PassEndX']","[91, 120, 124, 128, 36, 37, 217, 218]",True,83475.0,74.025,47.736000000000004,,,,,,,,,,,,,True,Boavista,Braga,
2551779715.0,4.0,0.0,5.0,122,31.290000000000003,19.856,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 200]",False,333946.0,,,,,,,,,,,,,2.0,Reggie Cannon,,Boavista,Braga,
2551779741.0,5.0,0.0,5.0,288,73.71000000000001,48.144,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[198, 199]",False,422882.0,,,,,,,,,,,,,,,,Boavista,Braga,
2551779727.0,5.0,0.0,6.0,122,32.34,18.768,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'HeadPass', 'Zone', 'Length', 'Angle']","[91, 118, 120, 29, 139, 36, 37, 216, 218]",True,333946.0,39.06,19.992,,,,,,,,,,,2.0,Reggie Cannon,False,Boavista,Braga,
2551793355.0,123.0,0.0,7.0,288,65.31,56.168,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone']","[91, 120, 29, 36, 37, 217, 218]",True,127130.0,77.385,68.0,,,,,,,,,,,,,False,Boavista,Braga,
2551779943.0,7.0,0.0,20.0,122,31.5,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'Length', 'ThrowIn', 'Angle', 'PassEndX']","[91, 212, 36, 37, 216]",True,422313.0,45.36000000000001,3.4000000000000004,,,,,,,,,,,79.0,Pedro Malheiro,False,Boavista,Braga,
