id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2476596193.0,2.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476596187.0,2.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476662423.0,650.0,0.0,0.0,122,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476662443.0,893.0,0.0,0.0,107,0.0,0.0,13.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476557065.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamPlayerFormation', 'TeamFormation', 'JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476557743.0,1.0,0.0,0.0,107,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['TeamFormation', 'InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Vitoria de Guimaraes,Boavista,
2476596237.0,3.0,0.0,0.0,122,52.5,33.932,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,423601.0,47.145,33.79600000000001,,,,,,,,,,59.0,Martim Tavares,False,Vitoria de Guimaraes,Boavista,0.0
,,0.0,0.0,122,47.145,33.79600000000001,,,Carry,,,,,318429.0,47.88,31.552,,,,,,,,,,24.0,Sebastián Pérez,False,Vitoria de Guimaraes,Boavista,0.0
2476596265.0,4.0,0.0,1.0,122,47.88,31.552,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,318429.0,41.475,8.704,,,,,,,,,,24.0,Sebastián Pérez,False,Vitoria de Guimaraes,Boavista,-0.0026987899999999995
,,0.0,1.0,122,41.475,8.704,,,Carry,,,,,422313.0,36.435,9.044,,,,,,,,,,79.0,Pedro Malheiro,False,Vitoria de Guimaraes,Boavista,0.0
