id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2527586653.0,2.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527586645.0,2.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527695089.0,750.0,0.0,0.0,264,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527695097.0,783.0,0.0,0.0,122,0.0,0.0,10.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527519095.0,1.0,0.0,0.0,264,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['JerseyNumber', 'InvolvedPlayers', 'CaptainPlayerId', 'TeamFormation', 'PlayerPosition', 'TeamPlayerFormation']",[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527520595.0,1.0,0.0,0.0,122,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['CaptainPlayerId', 'TeamPlayerFormation', 'JerseyNumber', 'TeamFormation', 'InvolvedPlayers', 'PlayerPosition']",[],False,,,,,,,,,,,,,,,,Maritimo,Boavista,
2527586697.0,3.0,0.0,0.0,264,52.395,34.068000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,361831.0,34.86000000000001,42.772000000000006,,,,,,,,,,,,False,Maritimo,Boavista,-0.00215424
2527586713.0,4.0,0.0,1.0,264,34.86000000000001,42.772000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'Zone', 'PassEndY', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,433586.0,25.305000000000003,46.647999999999996,,,,,,,,,,,,False,Maritimo,Boavista,-0.00109158
2527586801.0,5.0,0.0,4.0,264,25.305000000000003,46.647999999999996,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,401126.0,27.405,20.876,,,,,,,,,,,,False,Maritimo,Boavista,0.00109158
2527586843.0,6.0,0.0,11.0,264,28.14,20.264000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Angle', 'StandingSave', 'PassEndY', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,137058.0,33.6,2.584,,,,,,,,,,,,False,Maritimo,Boavista,-0.0013280300000000009
2527586945.0,7.0,0.0,13.0,264,33.6,2.584,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'Longball', 'Chipped', 'Angle', 'PassEndY']","[91, 120, 124, 128, 36, 37, 217, 218]",True,122089.0,101.64,17.816000000000003,,,,,,,,,,,,True,Maritimo,Boavista,
2527586949.0,3.0,0.0,18.0,122,3.2550000000000003,51.884,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",KeeperPickup,Successful,['StandingSave'],[93],False,35211.0,,,,,,,,,,,,1.0,Bracali,,Maritimo,Boavista,
2527587427.0,5.0,0.0,39.0,122,23.52,27.472,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,35211.0,28.56,16.252,,,,,,,,,,1.0,Bracali,False,Maritimo,Boavista,0.00042940999999999986
,,0.0,39.0,122,28.56,16.252,,,Carry,,,,,333946.0,26.775000000000002,17.952,,,,,,,,,,2.0,Reggie Cannon,False,Maritimo,Boavista,0.0005097200000000017
2527587539.0,6.0,0.0,41.0,122,26.775000000000002,17.952,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,333946.0,19.005000000000003,27.404,,,,,,,,,,2.0,Reggie Cannon,False,Maritimo,Boavista,-0.0009391300000000016
,,0.0,41.0,122,19.005000000000003,27.404,,,Carry,,,,,35211.0,20.685,26.384,,,,,,,,,,1.0,Bracali,False,Maritimo,Boavista,0.0
2527587643.0,7.0,0.0,44.0,122,20.685,26.384,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Angle', 'Longball', 'Chipped', 'Zone', 'Length', 'PassEndX']","[91, 120, 124, 128, 36, 38, 217, 218]",True,35211.0,82.53,21.624000000000002,,,,,,,,,,1.0,Bracali,True,Maritimo,Boavista,
2527587651.0,8.0,0.0,50.0,264,20.055000000000003,48.484,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,401126.0,,,,,,,,,,,,,,,Maritimo,Boavista,
2527587709.0,9.0,0.0,53.0,264,14.595,29.240000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[91, 118, 120, 29, 36, 37, 215, 218]",True,401126.0,23.205000000000002,30.26,,,,,,,,,,,,False,Maritimo,Boavista,
2527587791.0,8.0,0.0,54.0,122,82.005,42.908,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,422313.0,,,,,,,,,,,,79.0,Pedro Malheiro,,Maritimo,Boavista,
