id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2547471039.0,2.0,0.0,290,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547471059.0,2.0,0.0,122,,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Start,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547540021.0,785.0,0.0,290,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547540037.0,825.0,0.0,122,,0.0,0.0,12.0,"{'value': 14, 'displayName': 'PostGame'}",End,Successful,[],[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547411007.0,1.0,0.0,290,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'PlayerPosition', 'TeamPlayerFormation', 'JerseyNumber', 'CaptainPlayerId', 'TeamFormation']",[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547412607.0,1.0,0.0,122,,0.0,0.0,0.0,"{'value': 16, 'displayName': 'PreMatch'}",FormationSet,Successful,"['InvolvedPlayers', 'CaptainPlayerId', 'TeamPlayerFormation', 'TeamFormation', 'PlayerPosition', 'JerseyNumber']",[],False,0.0,,,,,,,,,,,,,,,Gil Vicente,Boavista,
2547471105.0,3.0,0.0,290,369398.0,52.71000000000001,34.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,0.0,42.63,31.28,,,,,,,,,,,,False,Gil Vicente,Boavista,-0.004268819999999998
2547471135.0,4.0,0.0,290,457068.0,42.63,31.28,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,0.0,41.79,35.02,,,,,,,,,,,,False,Gil Vicente,Boavista,0.0
2547471155.0,5.0,0.0,290,135350.0,42.105000000000004,35.292,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX', 'Angle', 'Longball']","[91, 120, 124, 128, 36, 38, 217, 218]",True,1.0,81.48,18.768,,,,,,,,,,,,True,Gil Vicente,Boavista,
2547471191.0,3.0,0.0,122,135635.0,23.94,51.544000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'HeadPass', 'Angle', 'StandingSave']","[91, 117, 30, 139, 36, 38, 215, 218]",True,4.0,28.14,37.264,,,,,,,,,,20.0,Filipe Ferreira,False,Gil Vicente,Boavista,0.001899940000000001
