name,minutes,playerId,team
Tiago Almeida,1001,394930.0,Tondela
João Pedro,1324,381795.0,Tondela
João Pedro,1324,119089.0,Tondela
Pedro Augusto,978,380894.0,Tondela
Eduardo Quaresma,797,394932.0,Tondela
Rafael Barbosa,741,354410.0,Tondela
Renat Dadashov,989,344991.0,Tondela
Modibo Sagnan,1032,375327.0,Tondela
Pedro Trigueira,1157,322763.0,Tondela
Salvador Agra,1387,91775.0,Tondela
Neto Borges,979,369863.0,Tondela
Jhon Murillo,1077,283364.0,Tondela
Naoufel Khacef,870,402065.0,Tondela
Tiago Dantas,724,408824.0,Tondela
Juan Manuel Boselli,245,425187.0,Tondela
Arcanjo,81,395962.0,Tondela
Manu Hernando,746,423973.0,Tondela
Iker Undabarrena,981,116223.0,Tondela
Daniel dos Anjos,784,307550.0,Tondela
Simone Muratore,25,333196.0,Tondela
Jota Gonçalves,373,392017.0,Tondela
Babacar Niasse,463,382161.0,Tondela
Ricardo Alves,430,136285.0,Tondela
Bebeto,636,342768.0,Tondela
