id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,0.0,8.0,299,30.135,27.812,,,Carry,,,,,369430.0,31.290000000000003,32.368,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,0.0
2482784479.0,7.0,0.0,10.0,299,31.290000000000003,32.368,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndY', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,369430.0,42.63,61.948,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,-6.108999999999976e-05
,,0.0,10.0,299,42.63,61.948,,,Carry,,,,,107252.0,39.480000000000004,62.968,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,0.0
2482784511.0,8.0,0.0,13.0,299,39.480000000000004,62.968,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,107252.0,32.550000000000004,59.092000000000006,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,-0.0014860800000000007
2482784551.0,9.0,0.0,15.0,299,32.550000000000004,59.092000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,75691.0,35.07,46.172000000000004,,,,,,,,,30.0,Nicolás Otamendi,False,Estoril,Benfica,0.00050972
2482784575.0,10.0,0.0,17.0,299,35.07,46.172000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,369712.0,27.3,40.732,,,,,,,,,61.0,Florentino,False,Estoril,Benfica,-0.0025262500000000007
2482784627.0,11.0,0.0,19.0,299,27.3,39.712,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'Longball', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 117, 124, 127, 36, 38, 216, 218]",True,369430.0,37.589999999999996,1.972,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,-6.108999999999976e-05
2482784641.0,12.0,0.0,23.0,299,38.010000000000005,3.196,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,401520.0,36.015,10.132000000000001,,,,,,,,,6.0,Alexander Bah,False,Estoril,Benfica,0.0008845199999999998
2482784707.0,13.0,0.0,24.0,299,36.015,10.132000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,369712.0,26.040000000000003,6.596,,,,,,,,,61.0,Florentino,False,Estoril,Benfica,-0.0036986500000000012
,,0.0,24.0,299,26.040000000000003,6.596,,,Carry,,,,,443613.0,28.875,20.196,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0026560800000000016
2482784741.0,14.0,0.0,30.0,299,28.875,20.196,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'Zone', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,443613.0,30.240000000000002,38.48800000000001,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0002191399999999996
,,0.0,30.0,299,30.240000000000002,38.48800000000001,,,Carry,,,,,75691.0,36.75,38.760000000000005,,,,,,,,,30.0,Nicolás Otamendi,False,Estoril,Benfica,0.0013027000000000004
